PARTS,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART B,PART B,PART B,CDSS Use Only:
Colusa,12.0,12.0,0.0,254.0,266.0,13.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,72.0,68.0,2.0,0.0,2.0,2.0,2.0,0.0,198.0,80.0,76.0,2.0,0.0,2.0,2.0,2.0,0.0,5.0,113.0,118.0,68.0,0.0,0.0,0.0,
Contra Costa,266.0,241.0,25.0,5664.0,5930.0,159.0,110.0,80.0,21.0,0.0,21.0,9.0,0.0,9.0,5497.0,1869.0,1612.0,161.0,0.0,161.0,96.0,0.0,96.0,5656.0,1979.0,1692.0,182.0,0.0,182.0,105.0,0.0,105.0,49.0,3628.0,3677.0,274.0,1.0,5.0,6.0,
Del Norte,105.0,105.0,0.0,551.0,656.0,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,204.0,199.0,4.0,1.0,3.0,1.0,0.0,1.0,482.0,220.0,215.0,4.0,1.0,3.0,1.0,0.0,1.0,7.0,255.0,262.0,174.0,0.0,0.0,0.0,
El Doradoa/,431.0,113.0,318.0,2320.0,2751.0,43.0,22.0,19.0,0.0,0.0,0.0,3.0,1.0,2.0,2355.0,951.0,748.0,111.0,36.0,75.0,92.0,39.0,53.0,2398.0,973.0,767.0,111.0,36.0,75.0,95.0,40.0,55.0,21.0,1404.0,1425.0,353.0,0.0,5.0,5.0,
Fresno,535.0,248.0,287.0,10866.0,11401.0,192.0,117.0,113.0,4.0,0.0,4.0,0.0,0.0,0.0,10950.0,4726.0,4355.0,255.0,0.0,255.0,116.0,0.0,116.0,11142.0,4843.0,4468.0,259.0,0.0,259.0,116.0,0.0,116.0,75.0,6224.0,6299.0,259.0,0.0,96.0,96.0,
Glenn,14.0,9.0,5.0,395.0,409.0,13.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,136.0,128.0,6.0,5.0,1.0,2.0,1.0,1.0,366.0,143.0,135.0,6.0,5.0,1.0,2.0,1.0,1.0,6.0,217.0,223.0,43.0,0.0,1.0,1.0,
Humboldt,276.0,195.0,81.0,3270.0,3546.0,52.0,34.0,32.0,1.0,0.0,1.0,1.0,0.0,1.0,2905.0,1069.0,793.0,108.0,4.0,104.0,168.0,7.0,161.0,2957.0,1103.0,825.0,109.0,4.0,105.0,169.0,7.0,162.0,18.0,1836.0,1854.0,589.0,0.0,1.0,1.0,
Imperiala/,382.0,305.0,77.0,3336.0,3718.0,149.0,77.0,75.0,1.0,1.0,0.0,1.0,0.0,1.0,2951.0,979.0,869.0,83.0,29.0,54.0,27.0,15.0,12.0,3100.0,1056.0,944.0,84.0,30.0,54.0,28.0,15.0,13.0,72.0,1972.0,2044.0,618.0,0.0,1.0,1.0,
Inyo,29.0,29.0,0.0,322.0,351.0,10.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,170.0,162.0,5.0,2.0,3.0,3.0,2.0,1.0,325.0,177.0,169.0,5.0,2.0,3.0,3.0,2.0,1.0,3.0,145.0,148.0,26.0,0.0,0.0,0.0,
Kerna/,2783.0,773.0,2010.0,16696.0,19479.0,680.0,419.0,379.0,23.0,12.0,11.0,17.0,10.0,7.0,15676.0,6162.0,5437.0,289.0,152.0,137.0,436.0,241.0,195.0,16356.0,6581.0,5816.0,312.0,164.0,148.0,453.0,251.0,202.0,261.0,9514.0,9775.0,3123.0,0.0,1.0,1.0,
Kings,394.0,394.0,0.0,2337.0,2731.0,64.0,36.0,34.0,2.0,1.0,1.0,0.0,0.0,0.0,2051.0,887.0,785.0,60.0,18.0,42.0,42.0,17.0,25.0,2115.0,923.0,819.0,62.0,19.0,43.0,42.0,17.0,25.0,28.0,1164.0,1192.0,616.0,0.0,3.0,3.0,
Lakea/,296.0,134.0,162.0,1252.0,1548.0,38.0,12.0,10.0,0.0,0.0,0.0,2.0,1.0,1.0,1078.0,470.0,402.0,27.0,6.0,21.0,41.0,8.0,33.0,1116.0,482.0,412.0,27.0,6.0,21.0,43.0,9.0,34.0,26.0,608.0,634.0,432.0,1.0,19.0,20.0,
Lassena/,61.0,27.0,34.0,425.0,486.0,19.0,10.0,6.0,2.0,0.0,2.0,2.0,0.0,2.0,418.0,221.0,185.0,25.0,8.0,17.0,11.0,5.0,6.0,437.0,231.0,191.0,27.0,8.0,19.0,13.0,5.0,8.0,9.0,197.0,206.0,49.0,0.0,1.0,1.0,
Los Angeles,2904.0,6235.0,-3331.0,84175.0,87079.0,4582.0,2847.0,2412.0,270.0,270.0,0.0,165.0,165.0,0.0,72829.0,31947.0,30267.0,1086.0,1086.0,0.0,594.0,594.0,0.0,77411.0,34794.0,32679.0,1356.0,1356.0,0.0,759.0,759.0,0.0,1735.0,40882.0,42617.0,9668.0,32.0,1098.0,1130.0,
Maderaa/,467.0,125.0,342.0,2580.0,3047.0,68.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2513.0,988.0,872.0,44.0,22.0,22.0,72.0,45.0,27.0,2581.0,1023.0,907.0,44.0,22.0,22.0,72.0,45.0,27.0,33.0,1525.0,1558.0,466.0,0.0,2.0,2.0,
Marin,222.0,120.0,102.0,1501.0,1723.0,34.0,20.0,17.0,2.0,1.0,1.0,1.0,1.0,0.0,1437.0,614.0,554.0,22.0,3.0,19.0,38.0,11.0,27.0,1471.0,634.0,571.0,24.0,4.0,20.0,39.0,12.0,27.0,14.0,823.0,837.0,252.0,0.0,0.0,0.0,
Mariposaa/,48.0,5.0,43.0,269.0,317.0,16.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,251.0,110.0,101.0,6.0,0.0,6.0,3.0,2.0,1.0,267.0,118.0,108.0,6.0,0.0,6.0,4.0,2.0,2.0,8.0,141.0,149.0,50.0,0.0,1.0,1.0,
Mendocinoa/,301.0,20.0,281.0,1629.0,1930.0,82.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1671.0,760.0,723.0,18.0,11.0,7.0,19.0,9.0,10.0,1753.0,814.0,777.0,18.0,11.0,7.0,19.0,9.0,10.0,28.0,911.0,939.0,177.0,0.0,0.0,0.0,
Merceda/,953.0,431.0,522.0,5050.0,6003.0,314.0,171.0,160.0,5.0,5.0,0.0,6.0,2.0,4.0,4781.0,1919.0,1769.0,68.0,37.0,31.0,82.0,41.0,41.0,5095.0,2090.0,1929.0,73.0,42.0,31.0,88.0,43.0,45.0,143.0,2862.0,3005.0,908.0,2.0,33.0,35.0,
Modoc,19.0,13.0,6.0,117.0,136.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,53.0,50.0,3.0,2.0,1.0,0.0,0.0,0.0,122.0,54.0,51.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,67.0,68.0,14.0,0.0,0.0,0.0,
Monoa/,44.0,32.0,12.0,304.0,348.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,153.0,138.0,11.0,1.0,10.0,4.0,2.0,2.0,324.0,155.0,140.0,11.0,1.0,10.0,4.0,2.0,2.0,0.0,169.0,169.0,24.0,0.0,0.0,0.0,
Monterey,638.0,526.0,112.0,5809.0,6447.0,176.0,119.0,107.0,7.0,4.0,3.0,5.0,4.0,1.0,5530.0,2120.0,2033.0,33.0,29.0,4.0,54.0,44.0,10.0,5706.0,2239.0,2140.0,40.0,33.0,7.0,59.0,48.0,11.0,57.0,3410.0,3467.0,741.0,0.0,1.0,1.0,
Napa,257.0,43.0,214.0,1059.0,1316.0,13.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1159.0,388.0,373.0,4.0,0.0,4.0,11.0,2.0,9.0,1172.0,396.0,381.0,4.0,0.0,4.0,11.0,2.0,9.0,5.0,771.0,776.0,144.0,0.0,1.0,1.0,
Nevadaa/,212.0,125.0,87.0,1418.0,1630.0,33.0,19.0,15.0,2.0,1.0,1.0,2.0,0.0,2.0,1234.0,565.0,458.0,27.0,9.0,18.0,80.0,21.0,59.0,1267.0,584.0,473.0,29.0,10.0,19.0,82.0,21.0,61.0,14.0,669.0,683.0,363.0,0.0,11.0,11.0,
Orange,46.0,46.0,0.0,14235.0,14281.0,649.0,236.0,235.0,1.0,1.0,0.0,0.0,0.0,0.0,13540.0,5639.0,5572.0,51.0,3.0,48.0,16.0,0.0,16.0,14189.0,5875.0,5807.0,52.0,4.0,48.0,16.0,0.0,16.0,413.0,7901.0,8314.0,92.0,1.0,32.0,33.0,
Placer,25.0,25.0,0.0,1156.0,1181.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1164.0,486.0,473.0,8.0,0.0,8.0,5.0,0.0,5.0,1170.0,492.0,479.0,8.0,0.0,8.0,5.0,0.0,5.0,0.0,678.0,678.0,11.0,0.0,3.0,3.0,
Plumasa/,57.0,25.0,32.0,313.0,370.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,145.0,79.0,25.0,25.0,0.0,41.0,41.0,0.0,318.0,147.0,81.0,25.0,25.0,0.0,41.0,41.0,0.0,6.0,165.0,171.0,52.0,0.0,1.0,1.0,
Riversidea/,2988.0,1976.0,1012.0,32229.0,35217.0,1289.0,861.0,805.0,29.0,17.0,12.0,27.0,16.0,11.0,30481.0,12113.0,10601.0,462.0,289.0,173.0,1050.0,667.0,383.0,31770.0,12974.0,11406.0,491.0,306.0,185.0,1077.0,683.0,394.0,428.0,18368.0,18796.0,3447.0,1.0,88.0,89.0,
Sacramento,5543.0,5543.0,0.0,15504.0,21047.0,378.0,167.0,164.0,2.0,0.0,2.0,1.0,0.0,1.0,15088.0,3760.0,3651.0,84.0,0.0,84.0,25.0,0.0,25.0,15466.0,3927.0,3815.0,86.0,0.0,86.0,26.0,0.0,26.0,211.0,11328.0,11539.0,5581.0,1.0,24.0,25.0,
San Benito,120.0,44.0,76.0,708.0,828.0,17.0,11.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,706.0,291.0,277.0,11.0,6.0,5.0,3.0,0.0,3.0,723.0,302.0,287.0,12.0,6.0,6.0,3.0,0.0,3.0,6.0,415.0,421.0,105.0,1.0,0.0,1.0,
San Bernardino,2162.0,1169.0,993.0,36784.0,38946.0,1096.0,723.0,613.0,70.0,28.0,42.0,40.0,18.0,22.0,34584.0,16509.0,14282.0,1426.0,459.0,967.0,801.0,367.0,434.0,35680.0,17232.0,14895.0,1496.0,487.0,1009.0,841.0,385.0,456.0,373.0,18075.0,18448.0,3266.0,2.0,98.0,100.0,
San Diego,221.0,117.0,104.0,23906.0,24127.0,535.0,323.0,304.0,14.0,0.0,14.0,5.0,0.0,5.0,23490.0,8577.0,8272.0,216.0,0.0,216.0,89.0,0.0,89.0,24025.0,8900.0,8576.0,230.0,0.0,230.0,94.0,0.0,94.0,212.0,14913.0,15125.0,102.0,37.0,166.0,203.0,
San Francisco,417.0,402.0,15.0,3565.0,3982.0,234.0,181.0,173.0,6.0,0.0,6.0,2.0,0.0,2.0,3378.0,1499.0,1097.0,230.0,0.0,230.0,172.0,0.0,172.0,3612.0,1680.0,1270.0,236.0,0.0,236.0,174.0,0.0,174.0,53.0,1879.0,1932.0,370.0,1.0,6.0,7.0,
San Joaquina/,1824.0,1909.0,-85.0,10805.0,12629.0,451.0,253.0,237.0,9.0,6.0,3.0,7.0,0.0,7.0,10165.0,3700.0,3254.0,241.0,103.0,138.0,205.0,112.0,93.0,10616.0,3953.0,3491.0,250.0,109.0,141.0,212.0,112.0,100.0,198.0,6465.0,6663.0,2013.0,0.0,0.0,0.0,
San Luis Obispo,316.0,316.0,0.0,1922.0,2238.0,76.0,51.0,46.0,4.0,0.0,4.0,1.0,0.0,1.0,1809.0,693.0,624.0,25.0,0.0,25.0,44.0,0.0,44.0,1885.0,744.0,670.0,29.0,0.0,29.0,45.0,0.0,45.0,25.0,1116.0,1141.0,353.0,0.0,11.0,11.0,
San Mateo,2702.0,2702.0,0.0,3651.0,6353.0,48.0,38.0,36.0,0.0,0.0,0.0,2.0,0.0,2.0,3599.0,1181.0,1031.0,100.0,0.0,100.0,50.0,0.0,50.0,3647.0,1219.0,1067.0,100.0,0.0,100.0,52.0,0.0,52.0,10.0,2418.0,2428.0,2706.0,0.0,46.0,46.0,
Santa Barbara,53.0,17.0,36.0,1081.0,1134.0,49.0,29.0,15.0,12.0,0.0,12.0,2.0,0.0,2.0,1043.0,654.0,543.0,62.0,0.0,62.0,49.0,0.0,49.0,1092.0,683.0,558.0,74.0,0.0,74.0,51.0,0.0,51.0,20.0,389.0,409.0,42.0,0.0,9.0,9.0,
Santa Clara,364.0,339.0,25.0,4389.0,4753.0,118.0,79.0,35.0,5.0,0.0,5.0,39.0,0.0,39.0,4301.0,1614.0,1461.0,67.0,0.0,67.0,86.0,2.0,84.0,4419.0,1693.0,1496.0,72.0,0.0,72.0,125.0,2.0,123.0,39.0,2687.0,2726.0,334.0,0.0,6.0,6.0,
Santa Cruz,508.0,508.0,0.0,3198.0,3706.0,41.0,28.0,21.0,3.0,3.0,0.0,4.0,4.0,0.0,3317.0,510.0,352.0,65.0,65.0,0.0,93.0,93.0,0.0,3358.0,538.0,373.0,68.0,68.0,0.0,97.0,97.0,0.0,13.0,2807.0,2820.0,348.0,0.0,8.0,8.0,
Shastaa/,248.0,140.0,108.0,3125.0,3373.0,60.0,36.0,32.0,1.0,0.0,1.0,3.0,0.0,3.0,2896.0,1330.0,1242.0,48.0,10.0,38.0,40.0,14.0,26.0,2956.0,1366.0,1274.0,49.0,10.0,39.0,43.0,14.0,29.0,24.0,1566.0,1590.0,417.0,0.0,10.0,10.0,
Sierra,3.0,3.0,0.0,36.0,39.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,33.0,21.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,23.0,21.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,0.0,0.0,0.0,
Siskiyou,99.0,97.0,2.0,815.0,914.0,27.0,16.0,9.0,5.0,2.0,3.0,2.0,0.0,2.0,742.0,221.0,197.0,8.0,3.0,5.0,16.0,8.0,8.0,769.0,237.0,206.0,13.0,5.0,8.0,18.0,8.0,10.0,11.0,521.0,532.0,145.0,0.0,2.0,2.0,
Solano,54.0,44.0,10.0,2659.0,2713.0,69.0,50.0,46.0,4.0,0.0,4.0,0.0,0.0,0.0,2570.0,1422.0,1366.0,48.0,0.0,48.0,8.0,0.0,8.0,2639.0,1472.0,1412.0,52.0,0.0,52.0,8.0,0.0,8.0,19.0,1148.0,1167.0,74.0,0.0,26.0,26.0,
Sonoma,166.0,159.0,7.0,4065.0,4231.0,62.0,38.0,28.0,6.0,0.0,6.0,4.0,0.0,4.0,3877.0,1211.0,545.0,217.0,8.0,209.0,449.0,20.0,429.0,3939.0,1249.0,573.0,223.0,8.0,215.0,453.0,20.0,433.0,24.0,2666.0,2690.0,292.0,0.0,51.0,51.0,
Stanislausa/,1353.0,786.0,567.0,10299.0,11652.0,294.0,169.0,150.0,9.0,5.0,4.0,10.0,3.0,7.0,9639.0,4095.0,3595.0,165.0,54.0,111.0,335.0,91.0,244.0,9933.0,4264.0,3745.0,174.0,59.0,115.0,345.0,94.0,251.0,125.0,5544.0,5669.0,1719.0,0.0,2.0,2.0,
Suttera/,234.0,49.0,185.0,1621.0,1855.0,45.0,27.0,23.0,2.0,1.0,1.0,2.0,1.0,1.0,1629.0,647.0,586.0,44.0,24.0,20.0,17.0,12.0,5.0,1674.0,674.0,609.0,46.0,25.0,21.0,19.0,13.0,6.0,18.0,982.0,1000.0,181.0,0.0,0.0,0.0,
Tehamaa/,136.0,26.0,110.0,1257.0,1393.0,38.0,14.0,11.0,1.0,0.0,1.0,2.0,2.0,0.0,1189.0,474.0,433.0,18.0,6.0,12.0,23.0,13.0,10.0,1227.0,488.0,444.0,19.0,6.0,13.0,25.0,15.0,10.0,24.0,715.0,739.0,166.0,0.0,6.0,6.0,
Trinitya/,26.0,22.0,4.0,232.0,258.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,123.0,88.0,23.0,1.0,22.0,12.0,2.0,10.0,241.0,125.0,90.0,23.0,1.0,22.0,12.0,2.0,10.0,5.0,111.0,116.0,17.0,0.0,1.0,1.0,
Tulare,925.0,925.0,0.0,7504.0,8429.0,333.0,204.0,191.0,6.0,0.0,6.0,7.0,0.0,7.0,7156.0,3547.0,3462.0,58.0,0.0,58.0,27.0,0.0,27.0,7489.0,3751.0,3653.0,64.0,0.0,64.0,34.0,0.0,34.0,129.0,3609.0,3738.0,940.0,1.0,26.0,27.0,
Tuolumnea/,90.0,65.0,25.0,847.0,937.0,28.0,17.0,15.0,1.0,1.0,0.0,1.0,1.0,0.0,783.0,356.0,326.0,20.0,8.0,12.0,10.0,5.0,5.0,811.0,373.0,341.0,21.0,9.0,12.0,11.0,6.0,5.0,11.0,427.0,438.0,126.0,0.0,0.0,0.0,
Venturaa/,222.0,222.0,0.0,4644.0,4866.0,84.0,70.0,63.0,5.0,3.0,2.0,2.0,1.0,1.0,4568.0,2205.0,2032.0,108.0,43.0,65.0,65.0,42.0,23.0,4652.0,2275.0,2095.0,113.0,46.0,67.0,67.0,43.0,24.0,14.0,2363.0,2377.0,214.0,0.0,26.0,26.0,
Yolo,710.0,710.0,0.0,2303.0,3013.0,58.0,47.0,35.0,7.0,0.0,7.0,5.0,0.0,5.0,2227.0,984.0,904.0,44.0,0.0,44.0,36.0,0.0,36.0,2285.0,1031.0,939.0,51.0,0.0,51.0,41.0,0.0,41.0,11.0,1243.0,1254.0,728.0,0.0,10.0,10.0,
Yuba,262.0,74.0,188.0,1676.0,1938.0,43.0,22.0,19.0,2.0,0.0,2.0,1.0,0.0,1.0,1734.0,763.0,719.0,35.0,9.0,26.0,9.0,5.0,4.0,1777.0,785.0,738.0,37.0,9.0,28.0,10.0,5.0,5.0,21.0,971.0,992.0,161.0,0.0,25.0,25.0,
