, PART A.  REQUESTS FOR EXPEDITED SERVICE,,,,,,,,, PART A.  REQUESTS FOR EXPEDITED SERVICE,,,,,,,PART B.  APPLICATION COMPLIANCE INFORMATION,,
Santa Clara,,756.0,5368.0,6124.0,5679.0,695.0,170.0,5.0,13.0,384.0,33.0,90.0,4984.0,833.0,4151.0,445.0,0.0,0.0,0.0
Santa Cruz,,119.0,1304.0,1423.0,1330.0,477.0,37.0,0.0,0.0,308.0,45.0,87.0,853.0,77.0,776.0,93.0,4.0,3.0,1.0
Shasta,,159.0,450.0,609.0,428.0,353.0,26.0,3.0,3.0,307.0,4.0,10.0,75.0,12.0,63.0,181.0,14.0,0.0,14.0
Sierra,,0.0,16.0,16.0,16.0,15.0,3.0,0.0,1.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Siskiyou,-8.0,0.0,182.0,182.0,171.0,124.0,24.0,0.0,1.0,92.0,3.0,4.0,47.0,5.0,42.0,11.0,3.0,0.0,3.0
Solano,,0.0,552.0,552.0,552.0,494.0,43.0,8.0,9.0,390.0,27.0,17.0,58.0,0.0,58.0,0.0,0.0,0.0,0.0
Sonoma,,13.0,1406.0,1419.0,1403.0,864.0,110.0,6.0,2.0,714.0,14.0,18.0,539.0,282.0,257.0,16.0,0.0,0.0,0.0
Stanislaus,,0.0,430.0,430.0,430.0,170.0,34.0,7.0,3.0,88.0,17.0,21.0,260.0,94.0,166.0,0.0,10.0,6.0,4.0
Sutter,,9.0,205.0,214.0,200.0,107.0,20.0,1.0,0.0,71.0,6.0,9.0,93.0,20.0,73.0,14.0,1.0,0.0,1.0
Tehama,,7.0,365.0,372.0,370.0,145.0,23.0,2.0,1.0,102.0,10.0,7.0,225.0,111.0,114.0,2.0,7.0,0.0,7.0
Trinity,,11.0,45.0,56.0,43.0,31.0,4.0,0.0,0.0,24.0,0.0,3.0,12.0,1.0,11.0,13.0,7.0,1.0,6.0
Tulare,,628.0,948.0,1576.0,924.0,457.0,92.0,3.0,2.0,349.0,5.0,6.0,467.0,72.0,395.0,652.0,1.0,0.0,1.0
Tuolumne,,9.0,357.0,366.0,359.0,122.0,11.0,0.0,3.0,103.0,5.0,0.0,237.0,80.0,157.0,7.0,2.0,0.0,2.0
Ventura,,291.0,1344.0,1635.0,1261.0,883.0,1.0,1.0,5.0,634.0,146.0,96.0,378.0,3.0,375.0,374.0,101.0,10.0,91.0
Yolo,,0.0,362.0,362.0,362.0,300.0,61.0,0.0,2.0,198.0,17.0,22.0,62.0,1.0,61.0,0.0,0.0,0.0,0.0
Yuba,,26.0,230.0,256.0,223.0,170.0,38.0,4.0,0.0,113.0,9.0,6.0,53.0,5.0,48.0,33.0,3.0,0.0,3.0
