"Data on CalFresh population demographics from California Department of Fianance, annual CalFresh households and persons collected from DFA 256, and July data collected from MEDS. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Note:  The presence of an asterisk (*) in a data cell indicates that the value has been suppressed to protect individual confidentiality.,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,DFA 256,DFA 256,DFA 256,DFA 256,MEDS (July data access),MEDS (July data access),MEDS (July data access),CDPH & MEDS; March data access,CDPH & MEDS; March data access,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,US Census Bureau ACS annual estimate,State Data Exchange annual projection,"EDD, Labor Market Info annual estimate","US Census Bureau ACS Estimates, DFA 256, MEDS"
,,,,,,,,,,,,,,,,,,,
County,Consortium,Calendar_Year,SFY,CF_Households_SFY_Avg,CF_Households_CY_Avg,CF_Persons_SFY_Avg,CF_Persons_CY_Avg,Elderly_CF_July,Children_CF_July,ESL_CF_July_CY,WIC_0-4_CF_Reachable,Percent_CF_0-4_in_WIC,Total_Pop_CY,Total_Elderly_60_plus_CY,Total_Children_under_18_CY,Total_ESL_over_5_CY,Total_SSI_Recipients_CY,Unemployment_Pct_CY,CF_Eligibles_CY
41 San Mateo,CalWIN,2014.0,2014/15,16112.3333333,16010.3333333,32033.9166667,32223.75,3303.0,17299.0,14317.0,,,756866.0,160118.0,160806.0,55943.0,10783.0,0.042,63838.6442794
42 Santa Barbara,CalWIN,2014.0,2014/15,16605.25,15991.9166667,36271.9166667,35297.0833333,1419.0,20996.0,13549.0,,,440090.0,83602.0,101805.0,43550.0,8393.0,0.061,83642.140157
43 Santa Clara,CalWIN,2014.0,2014/15,55466.9166667,54882.1666667,112788.75,113253.5,8931.0,57533.0,49374.0,,,1892692.0,334447.0,443114.0,174224.0,43472.0,0.052,173716.07033
44 Santa Cruz,CalWIN,2014.0,2014/15,13045.5833333,12501.25,24814.4166667,24074.8333333,1675.0,11770.0,8592.0,,,271860.0,55601.0,59433.0,23557.0,5038.0,0.087,47670.4120893
45 Shasta,C-IV,2014.0,2014/15,12905.0833333,12564.8333333,24906.6666667,24531.75,1116.0,10301.0,467.0,,,178949.0,46389.0,38462.0,2491.0,9289.0,0.097,29544.1326943
46 Sierra,C-IV,2014.0,2014/15,171.25,167.333333333,312.333333333,300.5,36.0,88.0,*,,,3161.0,1178.0,480.0,89.0,89.0,0.1,535.083802726
47 Siskiyou,C-IV,2014.0,2014/15,3230.41666667,3190.5,6993.58333333,6946.75,386.0,2912.0,187.0,,,44607.0,14052.0,8923.0,717.0,2431.0,0.113,11466.6072816
48 Solano,CalWIN,2014.0,2014/15,22476.9166667,22134.5,43630.4166667,43408.5,2244.0,20471.0,6819.0,,,425494.0,84445.0,100178.0,18343.0,11752.0,0.075,56428.9427127
49 Sonoma,CalWIN,2014.0,2014/15,19796.6666667,19297.6666667,35718.8333333,35227.0,2785.0,17385.0,10614.0,,,497957.0,120578.0,101793.0,25983.0,8488.0,0.056,69970.7608838
50 Stanislaus,C-IV,2014.0,2014/15,42907.0,42554.25,92178.8333333,92205.4166667,3532.0,46379.0,18159.0,,,531588.0,89458.0,144308.0,48829.0,20165.0,0.112,115984.89329
51 Sutter,C-IV,2014.0,2014/15,5630.33333333,5575.33333333,13058.3333333,12977.9166667,432.0,6723.0,2403.0,,,97102.0,18516.0,25353.0,8544.0,3793.0,0.127,16038.08874
52 Tehama,C-IV,2014.0,2014/15,4812.58333333,4862.08333333,10550.4166667,10781.1666667,446.0,5300.0,1291.0,,,63847.0,15194.0,15498.0,2345.0,3106.0,0.097,14124.951782
53 Trinity,C-IV,2014.0,2014/15,1005.16666667,964.166666667,1829.16666667,1787.41666667,110.0,639.0,*,,,13613.0,4741.0,2248.0,49.0,656.0,0.099,3023.15468062
54 Tulare,CalWIN,2014.0,2014/15,52032.1666667,50866.0,127255.916667,126110.083333,4540.0,67798.0,39775.0,,,459910.0,68982.0,144163.0,63244.0,17865.0,0.132,139566.347383
55 Tuolumne,C-IV,2014.0,2014/15,3042.75,2997.75,5503.08333333,5502.25,371.0,2080.0,75.0,,,54684.0,17898.0,9083.0,628.0,1639.0,0.087,9986.62194
56 Ventura,CalWIN,2014.0,2014/15,36287.9166667,35063.4166667,75812.6666667,74195.1666667,4506.0,38414.0,26383.0,,,848038.0,162984.0,204371.0,75693.0,14875.0,0.067,114149.93463
57 Yolo,CalWIN,2014.0,2014/15,9609.25,8934.0,19675.9166667,18623.9166667,1000.0,8677.0,5091.0,,,209921.0,33983.0,48160.0,11918.0,5314.0,0.077,50238.2450607
58 Yuba,C-IV,2014.0,2014/15,6082.25,5976.58333333,13414.0,13313.25,390.0,6511.0,1543.0,,,74975.0,12253.0,21474.0,4010.0,3734.0,0.112,17375.6149
00 Statewide,n/a,2015.0,2015/16,2135972.75,2133656.0,4445360.0,4475844.5,247589.0,2293850.0,1348582.0,,,39059422.0,7396184.0,9263507.0,3779748.0,1187073.0,0.062,6409430.17984
01 Alameda,CalWIN,2015.0,2015/16,61751.25,61906.0,119341.083333,120817.083333,9811.0,59282.0,40056.0,,,1621005.0,304619.0,347883.0,136922.0,47331.0,0.047,189599.382475
02 Alpine,C-IV,2015.0,2015/16,96.4166666667,100.5,160.416666667,167.666666667,14.0,59.0,0.0,,,1157.0,368.0,219.0,13.0,39.0,0.079,251.762353684
03 Amador,C-IV,2015.0,2015/16,1780.75,1782.08333333,3400.0,3396.58333333,268.0,1298.0,109.0,,,37313.0,12899.0,5853.0,411.0,688.0,0.066,4641.21526994
04 Butte,C-IV,2015.0,2015/16,16917.1666667,16561.1666667,32249.0833333,31978.1666667,1688.0,13292.0,2552.0,,,224180.0,54165.0,46362.0,3903.0,10733.0,0.072,53294.935691
05 Calaveras,C-IV,2015.0,2015/16,2841.66666667,2903.0,5285.33333333,5433.0,522.0,1914.0,128.0,,,44899.0,16053.0,7596.0,331.0,1057.0,0.065,6513.43816614
06 Colusa,C-IV,2015.0,2015/16,617.416666667,663.583333333,1407.0,1548.0,91.0,890.0,462.0,,,22271.0,4316.0,6146.0,2864.0,561.0,0.153,3891.27939813
07 Contra Costa,CalWIN,2015.0,2015/16,35370.25,35594.0,70785.8333333,71780.4166667,4266.0,36931.0,16309.0,,,1117459.0,237760.0,253005.0,74992.0,24238.0,0.05,129091.915114
08 Del Norte,C-IV,2015.0,2015/16,2598.33333333,2519.25,5317.91666667,5193.5,215.0,2197.0,215.0,,,27080.0,6401.0,5808.0,654.0,1797.0,0.086,5724.01490251
09 El Dorado,C-IV,2015.0,2015/16,7262.16666667,7302.25,12981.8333333,13136.75,1017.0,5113.0,870.0,,,183147.0,49149.0,37161.0,3365.0,2871.0,0.057,20083.8388832
10 Fresno,CalWIN,2015.0,2015/16,102957.5,100574.5,238697.916667,234603.75,7766.0,127914.0,61125.0,,,979636.0,158251.0,280110.0,107436.0,41165.0,0.102,261386.451468
11 Glenn,C-IV,2015.0,2015/16,1533.83333333,1510.0,3600.16666667,3606.83333333,146.0,1990.0,735.0,,,28960.0,6024.0,7615.0,2525.0,1106.0,0.087,6488.52258116
12 Humboldt,C-IV,2015.0,2015/16,12409.4166667,12047.8333333,21302.4166667,20982.6666667,1252.0,7848.0,931.0,,,135032.0,31776.0,27761.0,2396.0,5488.0,0.056,31850.8618046
13 Imperial,C-IV,2015.0,2015/16,17514.1666667,17257.9166667,43394.5833333,43185.0,2416.0,21617.0,23414.0,,,185072.0,30781.0,54025.0,33949.0,10128.0,0.24,47595.4528319
14 Inyo,C-IV,2015.0,2015/16,1068.66666667,1055.66666667,2092.5,2081.16666667,148.0,911.0,266.0,,,18640.0,5554.0,3864.0,495.0,394.0,0.058,2591.64347298
15 Kern,C-IV,2015.0,2015/16,70219.1666667,67625.0,163677.083333,158932.0,5815.0,89787.0,38114.0,,,883494.0,132117.0,255324.0,87761.0,31341.0,0.102,207468.110462
16 Kings,C-IV,2015.0,2015/16,10848.75,10638.25,24894.0,24667.5,890.0,13206.0,5889.0,,,149832.0,20883.0,45438.0,13818.0,4579.0,0.105,35958.1123693
17 Lake,C-IV,2015.0,2015/16,6622.66666667,6333.83333333,12694.0,12322.8333333,851.0,4973.0,893.0,,,64815.0,18688.0,13504.0,2109.0,3675.0,0.077,14762.3246435
18 Lassen,C-IV,2015.0,2015/16,1547.66666667,1544.08333333,3168.58333333,3188.91666667,143.0,1425.0,61.0,,,30958.0,6729.0,5466.0,650.0,883.0,0.073,3734.38445912
19 Los Angeles,LRS,2015.0,2015/16,576146.666667,585411.25,1150858.41667,1177606.25,60495.0,612716.0,434702.0,,,10179482.0,1845270.0,2334292.0,1352159.0,386663.0,0.067,1776819.9017
20 Madera,C-IV,2015.0,2015/16,12175.25,12093.1666667,29777.5,29757.5,853.0,17828.0,10136.0,,,154753.0,28554.0,42519.0,20134.0,4530.0,0.105,32412.6699815
21 Marin,C-IV,2015.0,2015/16,6379.0,6439.83333333,10517.8333333,10586.0,1245.0,5016.0,4041.0,,,261669.0,73726.0,53030.0,11168.0,2913.0,0.035,23708.4569124
22 Mariposa,C-IV,2015.0,2015/16,1120.33333333,1109.0,2095.16666667,2104.5,198.0,786.0,41.0,,,18088.0,6333.0,2919.0,233.0,451.0,0.072,3054.69051512
23 Mendocino,C-IV,2015.0,2015/16,6964.91666667,7060.0,13059.3333333,13191.75,892.0,5661.0,1813.0,,,88264.0,24050.0,19137.0,4327.0,3087.0,0.059,19173.6480779
24 Merced,C-IV,2015.0,2015/16,25082.25,25129.1666667,57981.8333333,58408.25,2053.0,32648.0,15791.0,,,269870.0,40370.0,80249.0,36937.0,10774.0,0.114,79373.2248558
25 Modoc,C-IV,2015.0,2015/16,478.166666667,461.0,1027.25,1000.0,45.0,443.0,39.0,,,9510.0,3069.0,1843.0,308.0,419.0,0.088,2017.08681616
26 Mono,C-IV,2015.0,2015/16,460.083333333,496.833333333,799.75,832.0,50.0,351.0,212.0,,,13841.0,2650.0,2873.0,1021.0,99.0,0.061,1202.93534982
27 Monterey,C-IV,2015.0,2015/16,23317.0,23102.8333333,51916.6666667,51644.8333333,2416.0,31750.0,23373.0,,,435342.0,77615.0,114523.0,80174.0,8376.0,0.081,67987.3326427
28 Napa,C-IV,2015.0,2015/16,3631.66666667,3632.08333333,7474.41666667,7501.5,441.0,4130.0,2947.0,,,141183.0,33498.0,30241.0,11912.0,2093.0,0.046,19657.1565494
29 Nevada,C-IV,2015.0,2015/16,4322.16666667,4271.91666667,7759.91666667,7736.58333333,662.0,2895.0,280.0,,,98067.0,33028.0,16732.0,1252.0,1806.0,0.055,18076.1028522
30 Orange,CalWIN,2015.0,2015/16,124134.75,122873.5,257279.666667,256994.916667,18936.0,141215.0,117427.0,,,3162622.0,604622.0,732558.0,331979.0,68296.0,0.045,420793.169967
31 Placer,CalWIN,2015.0,2015/16,9371.41666667,9394.08333333,17996.5,18227.4166667,1517.0,7520.0,1899.0,,,370973.0,92989.0,78893.0,9998.0,5127.0,0.05,38477.5160816
32 Plumas,C-IV,2015.0,2015/16,1139.25,1094.91666667,2124.75,2050.25,131.0,769.0,39.0,,,19598.0,7102.0,3259.0,197.0,656.0,0.104,3447.572362
33 Riverside,C-IV,2015.0,2015/16,130333.583333,129097.25,293524.0,294433.166667,14635.0,154733.0,66547.0,,,2331960.0,438135.0,602360.0,190180.0,58059.0,0.067,423742.190648
34 Sacramento,CalWIN,2015.0,2015/16,104378.5,104581.083333,218282.5,219942.75,9586.0,104370.0,48606.0,,,1488600.0,274572.0,360882.0,93427.0,62730.0,0.06,264162.852694
35 San Benito,C-IV,2015.0,2015/16,2669.75,2722.58333333,5917.75,6089.33333333,310.0,3222.0,1760.0,,,57587.0,10257.0,14811.0,5268.0,900.0,0.076,7772.21144198
36 San Bernardino,C-IV,2015.0,2015/16,180992.083333,180278.833333,398783.583333,401294.333333,18789.0,201521.0,71699.0,,,2128499.0,331715.0,580902.0,168647.0,68072.0,0.065,433056.803175
37 San Diego,CalWIN,2015.0,2015/16,143570.75,142648.0,290731.083333,291172.5,21309.0,139244.0,102557.0,,,3274141.0,613511.0,782448.0,231525.0,76341.0,0.052,508224.43483
38 San Francisco,CalWIN,2015.0,2015/16,34672.4166667,33996.75,52767.3333333,52042.25,6983.0,19320.0,21618.0,,,864783.0,183502.0,123211.0,100767.0,37327.0,0.036,102650.873581
39 San Joaquin,C-IV,2015.0,2015/16,52846.75,52985.0,119722.666667,121333.583333,5030.0,64478.0,24104.0,,,728110.0,123108.0,199184.0,63826.0,27357.0,0.089,131235.169862
40 San Luis Obispo,CalWIN,2015.0,2015/16,10104.0,10032.1666667,18587.1666667,18597.8333333,1443.0,8334.0,3385.0,,,276534.0,72978.0,51803.0,10271.0,4209.0,0.046,45501.5276271
41 San Mateo,CalWIN,2015.0,2015/16,15864.6666667,16187.8333333,30890.5833333,31802.5833333,3523.0,17117.0,14437.0,,,764711.0,166899.0,161673.0,58320.0,10434.0,0.034,71863.8390266
42 Santa Barbara,CalWIN,2015.0,2015/16,18243.0833333,17377.3333333,38409.0,37310.0833333,1754.0,21903.0,14578.0,,,444491.0,86267.0,102694.0,48492.0,8191.0,0.053,73516.8546892
43 Santa Clara,CalWIN,2015.0,2015/16,54386.9166667,55268.5,107604.083333,110775.166667,9780.0,54927.0,48326.0,,,1918777.0,350762.0,445939.0,176469.0,42694.0,0.042,160882.030417
44 Santa Cruz,CalWIN,2015.0,2015/16,14491.8333333,13845.3333333,26766.5833333,26006.4166667,2023.0,12562.0,9634.0,,,274563.0,58332.0,60093.0,21297.0,4931.0,0.075,44874.5165104
45 Shasta,C-IV,2015.0,2015/16,13005.0833333,13013.5,24845.8333333,25061.8333333,1342.0,10429.0,500.0,,,178365.0,47309.0,38078.0,2477.0,9252.0,0.078,36163.9170925
46 Sierra,C-IV,2015.0,2015/16,162.666666667,171.5,290.75,312.5,35.0,93.0,*,,,3149.0,1199.0,469.0,36.0,85.0,0.09,517.509346044
47 Siskiyou,C-IV,2015.0,2015/16,3289.66666667,3276.58333333,6998.16666667,7053.08333333,414.0,2949.0,192.0,,,44491.0,14391.0,8816.0,661.0,2389.0,0.094,11426.9597505
48 Solano,CalWIN,2015.0,2015/16,22981.0833333,22903.9166667,43641.5,43943.4166667,2537.0,20554.0,6980.0,,,429272.0,88191.0,100507.0,21251.0,11654.0,0.061,65104.9913938
49 Sonoma,CalWIN,2015.0,2015/16,19731.1666667,20042.25,35204.9166667,35963.6666667,3199.0,17640.0,10913.0,,,500919.0,125771.0,100658.0,29579.0,8388.0,0.045,58010.0909808
50 Stanislaus,C-IV,2015.0,2015/16,42910.75,43234.8333333,90703.3333333,92177.9166667,4006.0,46331.0,17652.0,,,537608.0,92818.0,144450.0,48625.0,19884.0,0.095,105439.647077
51 Sutter,C-IV,2015.0,2015/16,5782.0,5693.5,13303.5833333,13172.4166667,503.0,6729.0,2323.0,,,97617.0,19092.0,25200.0,8773.0,3793.0,0.108,22251.1858904
52 Tehama,C-IV,2015.0,2015/16,4728.91666667,4770.83333333,10325.5833333,10420.5833333,468.0,5161.0,1273.0,,,63977.0,15536.0,15480.0,2169.0,3068.0,0.08,14981.7999138
53 Trinity,C-IV,2015.0,2015/16,1027.16666667,1020.25,1815.08333333,1832.25,119.0,639.0,*,,,13562.0,4842.0,2193.0,100.0,643.0,0.078,3244.67501677
54 Tulare,CalWIN,2015.0,2015/16,53185.1666667,52963.9166667,124702.916667,124775.916667,5048.0,69084.0,41179.0,,,464337.0,71118.0,144003.0,58345.0,17848.0,0.117,136612.711474
55 Tuolumne,C-IV,2015.0,2015/16,3180.25,3134.83333333,5597.25,5586.16666667,456.0,2063.0,90.0,,,54529.0,18313.0,8931.0,577.0,1615.0,0.071,9026.37502283
56 Ventura,CalWIN,2015.0,2015/16,37734.5833333,37382.6666667,76003.0,75753.3333333,5305.0,40201.0,28284.0,,,852199.0,170155.0,202180.0,85361.0,14875.0,0.057,91148.7715603
57 Yolo,CalWIN,2015.0,2015/16,10701.3333333,10287.6666667,21190.4166667,20737.0833333,1268.0,9376.0,5571.0,,,212850.0,35287.0,48804.0,13104.0,5260.0,0.064,40868.0969332
58 Yuba,C-IV,2015.0,2015/16,6318.41666667,6250.58333333,13632.5833333,13590.75,471.0,6495.0,1485.0,,,75579.0,12715.0,21530.0,3808.0,3710.0,0.092,18760.6912254
00 Statewide,n/a,2016.0,2016/17,2032818.41667,2097658.33333,4214482.33333,4349774.41667,275731.0,2130350.0,1269610.0,148957.0,,39312229.0,7658877.0,9257380.0,3718345.0,1171642.0,0.054,6034577.90494
01 Alameda,CalWIN,2016.0,2016/17,58689.75,60502.1666667,112034.75,116103.25,10695.0,54246.0,37866.0,4039.0,0.647727979,1637176.0,316018.0,349269.0,135883.0,46141.0,0.042,175986.23878
