,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
The Sort & Filter Function allows for filtering data ,,,,,,,,
Data Sources:,,,,,,MEDS (1st month of Qtr.),MEDS (1st month of Qtr.),MEDS (1st month of Qtr.)
,,,,,,,,
County,Consortium,Month,C_Year,FFY,SFY,MC_rec_CF_Pct,CF_Persons_rec_MC,CF_Persons_rec_MC_Pct
09 El Dorado,C-IV,January,2013.0,2013.0,2013.0,0.424641350211,10064.0,0.806539509537
10 Fresno,CalWIN,January,2013.0,2013.0,2013.0,0.537872576444,178436.0,0.795321741688
11 Glenn,C-IV,January,2013.0,2013.0,2013.0,0.394473558838,3312.0,0.915422885572
12 Humboldt,C-IV,January,2013.0,2013.0,2013.0,0.416093009026,13600.0,0.840336134454
13 Imperial,C-IV,January,2013.0,2013.0,2013.0,0.50644689418,33583.0,0.887218641023
14 Inyo,C-IV,January,2013.0,2013.0,2013.0,0.389362657092,1735.0,0.871421396283
15 Kern,C-IV,January,2013.0,2013.0,2013.0,0.467383399831,118900.0,0.812669163682
16 Kings,C-IV,January,2013.0,2013.0,2013.0,0.507057967499,20906.0,0.881737663433
17 Lake,C-IV,January,2013.0,2013.0,2013.0,0.422099814806,8889.0,0.849727559507
18 Lassen,C-IV,January,2013.0,2013.0,2013.0,0.468946266574,2688.0,0.89332003988
19 Los Angeles,LRS,January,2013.0,2013.0,2013.0,0.347475724116,876888.0,0.767998822894
20 Madera,C-IV,January,2013.0,2013.0,2013.0,0.485865898645,24630.0,0.901966528729
21 Marin,C-IV,January,2013.0,2013.0,2013.0,0.311779411216,8356.0,0.86960141534
22 Mariposa,C-IV,January,2013.0,2013.0,2013.0,0.470621629293,1658.0,0.87447257384
23 Mendocino,C-IV,January,2013.0,2013.0,2013.0,0.391867817096,11218.0,0.83405204461
24 Merced,C-IV,January,2013.0,2013.0,2013.0,0.508433493812,45728.0,0.820748451943
25 Modoc,C-IV,January,2013.0,2013.0,2013.0,0.368332633347,877.0,0.874376869392
26 Mono,C-IV,January,2013.0,2013.0,2013.0,0.304772234273,562.0,0.777316735823
27 Monterey,C-IV,January,2013.0,2013.0,2013.0,0.39828868483,41986.0,0.84207781789
28 Napa,C-IV,January,2013.0,2013.0,2013.0,0.328000810004,6479.0,0.841975308642
29 Nevada,C-IV,January,2013.0,2013.0,2013.0,0.421735828212,6108.0,0.809220985692
30 Orange,CalWIN,January,2013.0,2013.0,2013.0,0.342674693147,179823.0,0.775523670285
31 Placer,CalWIN,January,2013.0,2013.0,2013.0,0.347965098906,11645.0,0.659175817955
32 Plumas,C-IV,January,2013.0,2013.0,2013.0,0.387056157139,1537.0,0.866403607666
33 Riverside,C-IV,January,2013.0,2013.0,2013.0,0.416575651471,192615.0,0.69838144756
34 Sacramento,CalWIN,January,2013.0,2013.0,2013.0,0.471777940391,162469.0,0.764739938809
35 San Benito,C-IV,January,2013.0,2013.0,2013.0,0.456871160481,5429.0,0.848148726761
36 San Bernardino,C-IV,January,2013.0,2013.0,2013.0,0.4801679619,258206.0,0.717350476741
