"This data table captures the annual data on the CalFresh population for elderly, ages 18-59, children, English as a second language, number of individuals receiving WIC, percentage of individuals on CalFresh who are also receiving WIC, total population for the calendar year, total elderly population of 60 plus, total populations of children under 18, the total number of English as a second language over the age of 5, and total SSI recipients. The data table begins in cell A2. ",,,,,,,,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,Elderly CalFresh July,Age 18 to 59 CalFresh July,Children CalFresh July,ESL CalFresh July CY,WIC Recipients CalFresh Reachable,Percentage of CalFresh Persons Receiving WIC,Total Population CY,Total Elderly 60Plus CY,Total Children Under 18 CY,Total ESL Over age 5 CY,Total SSI Recipients CY
Mono,US-06051,-118.7402371,38.0878955,C-IV,2015.0,50.0,470.0,351.0,212.0,,,13818.0,2647.0,2862.0,1021.0,99.0
Monterey,US-06053,-120.9044897,36.35433,C-IV,2015.0,2416.0,18095.0,31750.0,23373.0,,,436242.0,77866.0,113520.0,80174.0,8376.0
Napa,US-06055,-122.5128064,38.509635,C-IV,2015.0,441.0,3134.0,4130.0,2947.0,,,141546.0,33624.0,30174.0,11332.0,2093.0
Nevada,US-06057,-120.3163119,39.266135,C-IV,2015.0,662.0,4452.0,2895.0,280.0,,,98190.0,33078.0,16697.0,1252.0,1806.0
Orange,US-06059,-117.8002615,33.66707,CalWIN,2015.0,18936.0,102424.0,141215.0,117427.0,,,3161218.0,604466.0,728580.0,331979.0,68296.0
Placer,US-06061,-120.7858989,39.013999,CalWIN,2015.0,1517.0,9273.0,7520.0,1899.0,,,370738.0,92963.0,78707.0,9998.0,5127.0
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2015.0,131.0,1157.0,769.0,39.0,,,19586.0,7101.0,3236.0,197.0,656.0
Riverside,US-06065,-115.0250859,33.752845,C-IV,2015.0,14635.0,135095.0,154733.0,66547.0,,,2329256.0,437865.0,599727.0,190180.0,58059.0
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2015.0,9586.0,111012.0,104370.0,48606.0,,,1489952.0,274958.0,360331.0,93427.0,62730.0
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2015.0,310.0,2688.0,3222.0,1760.0,,,57584.0,10257.0,14800.0,5268.0,900.0
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2015.0,18789.0,187298.0,201521.0,71699.0,,,2129851.0,332066.0,579387.0,168647.0,68072.0
San Diego,US-06073,-116.693716,33.019645,CalWIN,2015.0,21309.0,141245.0,139244.0,102557.0,,,3275084.0,613778.0,772594.0,231525.0,76341.0
