"This data table captures Program Reach Index data. It provides data on CalFresh eligible individuals, the estimate frequency, and the PRI percentage. The table begins in cell A2. ",,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,CalFresh Eligibles CY,PRI Estimate Frequency,5 Year Estimate,PRI
Mono,US-06051,-118.7402371,38.0878955,C-IV,2014.0,1714.07704,5-yr. Est.,2010-2014,0.499394123
Monterey,US-06053,-120.9044897,36.35433,C-IV,2014.0,76819.0947,Annual Est.,,0.651908229
Napa,US-06055,-122.5128064,38.509635,C-IV,2014.0,13996.5831756,Annual Est.,,0.521609446
Nevada,US-06057,-120.3163119,39.266135,C-IV,2014.0,12648.7451,Annual Est.,,0.610574404
Orange,US-06059,-117.8002615,33.66707,CalWIN,2014.0,443857.489635,Annual Est.,,0.582626194
Placer,US-06061,-120.7858989,39.013999,CalWIN,2014.0,41238.667037,Annual Est.,,0.449452775
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2014.0,3602.33313676,5-yr. Est.,2010-2014,0.526140493
Riverside,US-06065,-115.0250859,33.752845,C-IV,2014.0,455320.184137,Annual Est.,,0.637511639
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2014.0,295178.394858,Annual Est.,,0.736874165
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2014.0,8761.70829708,5-yr. Est.,2010-2014,0.707415319
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2014.0,458342.861038,Annual Est.,,0.85480514
San Diego,US-06073,-116.693716,33.019645,CalWIN,2014.0,548765.953056,Annual Est.,,0.517319053
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2014.0,100797.79189,Annual Est.,,0.518779552
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2014.0,155948.402083,Annual Est.,,0.754484059
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2014.0,45982.3013383,Annual Est.,,0.393785568
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2014.0,63838.6442794,Annual Est.,,0.504768708
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2014.0,83642.140157,Annual Est.,,0.422001198
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2014.0,173716.07033,Annual Est.,,0.651946016
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2014.0,47670.4120893,Annual Est.,,0.505026751
Shasta,US-06089,-122.0883555,40.735175,C-IV,2014.0,29544.1326943,Annual Est.,,0.830342534
Sierra,US-06091,-120.0617973,39.58418,C-IV,2014.0,535.083802726,5-yr. Est.,2010-2014,0.561594275
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2014.0,11466.6072816,5-yr. Est.,2010-2014,0.605824358
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2014.0,56428.9427127,Annual Est.,,0.769259495
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2014.0,69970.7608838,Annual Est.,,0.50345315
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2014.0,115984.89329,Annual Est.,,0.794977812
Sutter,US-06101,-121.714735,39.02038,C-IV,2014.0,16038.08874,Annual Est.,,0.809198665
Tehama,US-06103,-122.6595518,40.125305,C-IV,2014.0,14124.951782,5-yr. Est.,2010-2014,0.763271042
Trinity,US-06105,-123.5069171,40.672495,C-IV,2014.0,3023.15468062,5-yr. Est.,2010-2014,0.591242214
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2014.0,139566.347383,Annual Est.,,0.903585182
