"Data on CalFresh population demographics from California Department of Fianance, annual CalFresh households and persons collected from DFA 256, and July data collected from MEDS. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The Sort & Filter Function allows for filtering data ,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,DFA 256,DFA 256,DFA 256,DFA 256,MEDS (July data access),MEDS (July data access),MEDS (July data access),CDPH & MEDS; March data access,CDPH & MEDS; March data access,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,US Census Bureau ACS annual estimate,State Data Exchange annual projection,"EDD, Labor Market Info annual estimate","US Census Bureau ACS Estimates, DFA 256, MEDS"
,,,,,,,,,,,,,,,,,,,
County,Consortium,Calendar_Year,SFY,CF_Households_SFY_Avg,CF_Households_CY_Avg,CF_Persons_SFY_Avg,CF_Persons_CY_Avg,Elderly_CF_July,Children_CF_July,ESL_CF_July_CY,WIC_0-4_CF_Reachable,Percent_CF_0-4_in_WIC,Total_Pop_CY,Total_Elderly_60_plus_CY,Total_Children_under_18_CY,Total_ESL_over_5_CY,Total_SSI_Recipients_CY,Unemployment_Pct_CY,CF_Eligibles_CY
27 Monterey,C-IV,2013.0,2013/14,21391.9166667,20616.1666667,48752.5,47192.6666667,1572.0,29909.0,21235.0,,,426613.0,72363.0,113725.0,64059.0,8458.0,0.103,83051.85586
28 Napa,C-IV,2013.0,2013/14,3355.41666667,3264.83333333,7034.25,6891.25,341.0,4081.0,2892.0,,,139282.0,31681.0,30724.0,12782.0,2156.0,0.068,16769.9836956
29 Nevada,C-IV,2013.0,2013/14,4021.58333333,3880.58333333,7605.25,7403.0,445.0,2951.0,255.0,,,97703.0,30960.0,17323.0,1576.0,1796.0,0.081,16674.10874
30 Orange,CalWIN,2013.0,2013/14,112077.25,106478.25,245451.333333,234687.75,13145.0,139033.0,111958.0,,,3110678.0,559146.0,736489.0,316852.0,67573.0,0.065,444094.592846
31 Placer,CalWIN,2013.0,2013/14,8927.75,8544.25,18276.4166667,17888.6666667,1019.0,7868.0,2021.0,,,363863.0,86207.0,81592.0,8063.0,5056.0,0.077,39483.8388222
32 Plumas,C-IV,2013.0,2013/14,878.916666667,803.666666667,1762.58333333,1679.0,82.0,676.0,22.0,,,19769.0,6746.0,3366.0,217.0,641.0,0.139,3815.72246761
33 Riverside,C-IV,2013.0,2013/14,120067.583333,116391.0,284875.0,279605.0,10225.0,151042.0,65355.0,,,2276143.0,403267.0,608689.0,173255.0,56654.0,0.099,469029.009525
34 Sacramento,CalWIN,2013.0,2013/14,97461.8333333,94846.4166667,213802.583333,210970.0,6598.0,105467.0,47601.0,,,1455502.0,254239.0,359808.0,101446.0,61371.0,0.089,306054.532733
35 San Benito,C-IV,2013.0,2013/14,2674.58333333,2669.66666667,6201.91666667,6225.91666667,246.0,3361.0,1856.0,,,56750.0,9308.0,15293.0,5777.0,882.0,0.111,8523.86921019
36 San Bernardino,C-IV,2013.0,2013/14,165319.75,159796.666667,381628.916667,373583.666667,12685.0,194878.0,70335.0,,,2091890.0,304138.0,583722.0,156056.0,66969.0,0.098,441318.993738
37 San Diego,CalWIN,2013.0,2013/14,128384.833333,122331.0,273739.416667,262347.75,13842.0,131432.0,93092.0,,,3207852.0,565651.0,767701.0,236315.0,75967.0,0.078,553957.513096
38 San Francisco,CalWIN,2013.0,2013/14,32454.8333333,32232.25,51006.9166667,50531.75,5459.0,19668.0,19818.0,,,844066.0,171754.0,117253.0,96046.0,37708.0,0.055,120297.206285
39 San Joaquin,C-IV,2013.0,2013/14,48180.8333333,46772.3333333,114908.333333,112816.5,3502.0,63093.0,23995.0,,,706148.0,113390.0,198484.0,64800.0,27071.0,0.124,156985.493243
40 San Luis Obispo,CalWIN,2013.0,2013/14,9312.16666667,9058.25,17891.1666667,17609.4166667,1072.0,8228.0,3239.0,,,273441.0,66988.0,52054.0,10073.0,4383.0,0.068,47790.7648747
41 San Mateo,CalWIN,2013.0,2013/14,15590.25,14604.5,31548.0,29752.25,2531.0,17242.0,13534.0,,,749165.0,154395.0,160624.0,58256.0,10953.0,0.052,68113.9921687
42 Santa Barbara,CalWIN,2013.0,2013/14,15194.75,14680.9166667,33962.6666667,33053.25,1086.0,20051.0,12614.0,,,435329.0,81293.0,100916.0,46332.0,8477.0,0.071,79413.5422011
43 Santa Clara,CalWIN,2013.0,2013/14,53632.5,52303.5833333,112331.166667,110861.416667,7200.0,59419.0,48568.0,,,1866836.0,320433.0,440601.0,176036.0,44002.0,0.065,215576.674569
44 Santa Cruz,CalWIN,2013.0,2013/14,12076.0,11785.0833333,23477.5833333,23049.3333333,1290.0,11843.0,8317.0,,,270609.0,53313.0,59199.0,20137.0,5077.0,0.103,42178.8443779
45 Shasta,C-IV,2013.0,2013/14,11973.5833333,11790.3333333,23768.3333333,23489.1666667,990.0,10472.0,466.0,,,178537.0,45264.0,38730.0,3086.0,9306.0,0.118,40244.8061614
46 Sierra,C-IV,2013.0,2013/14,164.083333333,158.75,299.25,303.166666667,26.0,106.0,6.0,,,3187.0,1152.0,494.0,93.0,99.0,0.129,696.60781829
47 Siskiyou,C-IV,2013.0,2013/14,3074.5,2937.33333333,6769.75,6538.08333333,275.0,2872.0,192.0,,,44652.0,13754.0,9027.0,782.0,2475.0,0.132,10390.2067401
48 Solano,CalWIN,2013.0,2013/14,21486.0833333,20843.3333333,42538.0,41574.1666667,1823.0,20249.0,6854.0,,,420732.0,80629.0,99955.0,20853.0,11691.0,0.09,61759.5140932
49 Sonoma,CalWIN,2013.0,2013/14,18904.3333333,19208.1666667,34848.0833333,35187.5,2351.0,17558.0,10432.0,,,494364.0,115353.0,102933.0,24921.0,8547.0,0.07,71126.6155845
50 Stanislaus,C-IV,2013.0,2013/14,42067.9166667,41488.9166667,91796.5833333,90975.0,2893.0,46298.0,17711.0,,,527732.0,86794.0,144977.0,48602.0,20057.0,0.129,125680.32642
51 Sutter,C-IV,2013.0,2013/14,5361.66666667,5184.58333333,12620.75,12365.8333333,369.0,6642.0,2281.0,,,96540.0,17949.0,25533.0,8366.0,3778.0,0.146,22882.8572
52 Tehama,C-IV,2013.0,2013/14,4646.16666667,4329.41666667,10462.8333333,9909.16666667,363.0,5013.0,1199.0,,,63731.0,15013.0,15545.0,2603.0,3062.0,0.117,14220.3989939
53 Trinity,C-IV,2013.0,2013/14,860.25,788.583333333,1646.66666667,1561.75,89.0,622.0,12.0,,,13667.0,4574.0,2318.0,36.0,636.0,0.121,3100.49936517
54 Tulare,CalWIN,2013.0,2013/14,48774.4166667,46831.25,119335.25,115750.5,3459.0,67240.0,37887.0,,,455891.0,66670.0,144174.0,60016.0,17554.0,0.144,147862.592648
55 Tuolumne,C-IV,2013.0,2013/14,2910.83333333,2848.16666667,5341.16666667,5225.08333333,299.0,1955.0,66.0,,,54894.0,17442.0,9204.0,696.0,1635.0,0.108,9822.27712053
56 Ventura,CalWIN,2013.0,2013/14,33733.1666667,32654.3333333,70276.5,68079.5833333,3498.0,37769.0,25095.0,,,842964.0,156705.0,206527.0,76495.0,14764.0,0.079,112131.893689
57 Yolo,CalWIN,2013.0,2013/14,8366.58333333,7975.91666667,17722.75,17032.9166667,774.0,8108.0,4707.0,,,208223.0,32644.0,47861.0,14762.0,5351.0,0.091,42449.3696024
58 Yuba,C-IV,2013.0,2013/14,5834.75,5726.16666667,13015.0833333,12857.3333333,341.0,6541.0,1586.0,,,74352.0,11813.0,21407.0,3382.0,3733.0,0.131,14308.2094
00 Statewide,n/a,2014.0,2014/15,2101993.58333,2063163.16667,4462182.41667,4428870.83333,234156.0,2226004.0,1337933.0,,,38739800.0,7106208.0,9272748.0,3760183.0,1193089.0,0.075,6980318.99332
01 Alameda,CalWIN,2014.0,2014/15,62337.5,63775.0833333,122416.166667,125982.25,9307.0,60223.0,40011.0,,,1600366.0,291449.0,346513.0,139309.0,47823.0,0.059,214362.749217
02 Alpine,C-IV,2014.0,2014/15,106.5,111.916666667,176.083333333,182.75,16.0,59.0,0.0,,,1163.0,348.0,225.0,23.0,39.0,0.088,227.604
