"This data table captures quarterly churn data on the percentage of reapplications in 30 days, 90 days, and the percentage of scheduled recertifications for 30 days, and 90 days. The data table begins in cell A2. ",,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,Quarter,30 Day Churn Pct of Reapplications,90 Day Churn Pct of Reapplications,30 Day Percentage of Scheduled Recertifications,90 Day Percentage of Scheduled Recertifications
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2014.0,Q1,0.141456703,0.20457477,0.216613638,0.242411213
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2014.0,Q1,0.073834197,0.136981865,0.0340026,0.0615285
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2014.0,Q1,0.099618321,0.183778626,0.0498092,0.083206107
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2014.0,Q1,0.097615651,0.173221928,0.0401467,0.069084981
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2014.0,Q1,0.0436093,0.126140454,0.0082029,0.0451996
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2014.0,Q1,0.03032,0.112015722,0.0143178,0.0432341
Shasta,US-06089,-122.0883555,40.735175,C-IV,2014.0,Q1,0.130202775,0.190501601,0.199573106,0.219583778
Sierra,US-06091,-120.0617973,39.58418,C-IV,2014.0,Q1,0.14893617,0.212765957,0.191489362,0.212765957
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2014.0,Q1,0.098752599,0.16008316,0.218295218,0.239085239
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2014.0,Q1,0.0255662,0.121997255,0.0085793,0.0538778
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2014.0,Q1,0.107597378,0.195140764,0.0491708,0.091785577
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2014.0,Q1,0.174799709,0.255917698,0.26684268,0.301529497
Sutter,US-06101,-121.714735,39.02038,C-IV,2014.0,Q1,0.162011173,0.209497207,0.194413408,0.212849162
Tehama,US-06103,-122.6595518,40.125305,C-IV,2014.0,Q1,0.11589896,0.163447251,0.095839525,0.100297177
Trinity,US-06105,-123.5069171,40.672495,C-IV,2014.0,Q1,0.084677419,0.149193548,0.213709677,0.237903226
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2014.0,Q1,0.182399708,0.275609979,0.108379786,0.1535228
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2014.0,Q1,0.112211221,0.207920792,0.192519252,0.226622662
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2014.0,Q1,0.132018993,0.2328654,0.074215524,0.118290669
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2014.0,Q1,0.118608696,0.188173913,0.0549565,0.098434783
Yuba,US-06115,-121.499162,39.278915,C-IV,2014.0,Q1,0.187027027,0.256756757,0.376756757,0.401621622
Statewide,,,,,2014.0,Q2,0.1196,0.2004,0.1132,0.1413
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2014.0,Q2,0.1004,0.1962,0.0653,0.1217
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2014.0,Q2,0.0,0.1053,0.0,0.0
Amador,US-06005,-120.238969,38.46328,C-IV,2014.0,Q2,0.1356,0.2156,0.2489,0.2667
Butte,US-06007,-121.5660076,39.723785,C-IV,2014.0,Q2,0.1368,0.2121,0.2846,0.3151
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2014.0,Q2,0.1083,0.172,0.2038,0.2197
Colusa,US-06011,-122.4386143,39.169245,C-IV,2014.0,Q2,0.0562,0.1205,0.2932,0.3293
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2014.0,Q2,0.08,0.1442,0.0585,0.0932
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2014.0,Q2,0.1622,0.2342,0.3946,0.4108
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2014.0,Q2,0.1096,0.1769,0.2113,0.2388
Fresno,US-06019,-120.862059,36.74633,CalWIN,2014.0,Q2,0.1315,0.2268,0.0752,0.1236
Glenn,US-06021,-122.1147288,39.591764,C-IV,2014.0,Q2,0.1391,0.2205,0.1522,0.1706
Humboldt,US-06023,-123.959972,40.73356,C-IV,2014.0,Q2,0.0849,0.1378,0.204,0.2233
Imperial,US-06025,-115.058652,33.02615,C-IV,2014.0,Q2,0.1327,0.2215,0.2196,0.2532
Inyo,US-06027,-117.7797286,36.626,C-IV,2014.0,Q2,0.1042,0.1625,0.2625,0.3125
Kern,US-06029,-118.4426011,35.29441,C-IV,2014.0,Q2,0.1993,0.2894,0.2089,0.2425
Kings,US-06031,-119.6135104,36.138775,C-IV,2014.0,Q2,0.1871,0.2705,0.38,0.4135
Lake,US-06033,-122.9624445,39.124455,C-IV,2014.0,Q2,0.0559,0.1165,0.3394,0.3795
Lassen,US-06035,-120.2636913,40.446085,C-IV,2014.0,Q2,0.0786,0.172,0.226,0.2531
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2014.0,Q2,0.0946,0.1751,0.0061,0.009
Madera,US-06039,-119.84174,37.27052,C-IV,2014.0,Q2,0.1387,0.2204,0.254,0.2746
Marin,US-06041,-122.870429,38.068145,C-IV,2014.0,Q2,0.1335,0.2026,0.2075,0.2517
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2014.0,Q2,0.0819,0.1379,0.194,0.2241
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2014.0,Q2,0.1077,0.1568,0.1975,0.2486
Merced,US-06047,-120.1246993,37.18687,C-IV,2014.0,Q2,0.1448,0.2178,0.328,0.3628
Modoc,US-06049,-120.1993372,41.590546,C-IV,2014.0,Q2,0.1633,0.2109,0.1769,0.1905
Mono,US-06051,-118.7402371,38.0878955,C-IV,2014.0,Q2,0.0917,0.2042,0.0792,0.1
Monterey,US-06053,-120.9044897,36.35433,C-IV,2014.0,Q2,0.126,0.2012,0.158,0.1847
Napa,US-06055,-122.5128064,38.509635,C-IV,2014.0,Q2,0.0997,0.1614,0.1777,0.1961
Nevada,US-06057,-120.3163119,39.266135,C-IV,2014.0,Q2,0.088,0.1641,0.2043,0.2359
