"This data table captures the point in time count for Medi-Cal persons, CalFresh persons, and dual enrollment  for Medi-Cal and CalFresh persons. The data table begins in cell A2. ",,,,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Month,Date,Calendar Year,Federal Fiscal Year,State Fiscal Year,MEDS MediCal Persons,MEDS CalFresh Persons,Dual Enroll Persons in Medi-Cal and CalFresh
Butte,US-06007,-121.5660076,39.723785,C-IV,July,41821.0,2014.0,2014.0,2014/15,76087.0,31831.0,29774.0
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,July,41821.0,2014.0,2014.0,2014/15,11015.0,5270.0,4832.0
Colusa,US-06011,-122.4386143,39.169245,C-IV,July,41821.0,2014.0,2014.0,2014/15,8089.0,1816.0,1725.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,July,41821.0,2014.0,2014.0,2014/15,236156.0,73267.0,65745.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,July,41821.0,2014.0,2014.0,2014/15,11023.0,5205.0,4974.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,July,41821.0,2014.0,2014.0,2014/15,34144.0,12933.0,11637.0
Fresno,US-06019,-120.862059,36.74633,CalWIN,July,41821.0,2014.0,2014.0,2014/15,432928.0,233544.0,212427.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,July,41821.0,2014.0,2014.0,2014/15,10919.0,3767.0,3562.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,July,41821.0,2014.0,2014.0,2014/15,44957.0,19471.0,17615.0
Imperial,US-06025,-115.058652,33.02615,C-IV,July,41821.0,2014.0,2014.0,2014/15,83419.0,41354.0,38904.0
Inyo,US-06027,-117.7797286,36.626,C-IV,July,41821.0,2014.0,2014.0,2014/15,5406.0,2156.0,1967.0
Kern,US-06029,-118.4426011,35.29441,C-IV,July,41821.0,2014.0,2014.0,2014/15,346690.0,150778.0,139376.0
Kings,US-06031,-119.6135104,36.138775,C-IV,July,41821.0,2014.0,2014.0,2014/15,51116.0,24200.0,22685.0
Lake,US-06033,-122.9624445,39.124455,C-IV,July,41821.0,2014.0,2014.0,2014/15,27051.0,11323.0,10636.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,July,41821.0,2014.0,2014.0,2014/15,7006.0,3191.0,2972.0
Los Angeles,US-06037,-117.9879672,34.26394,LRS,July,41821.0,2014.0,2014.0,2014/15,3497673.0,1203987.0,1007177.0
Madera,US-06039,-119.84174,37.27052,C-IV,July,41821.0,2014.0,2014.0,2014/15,64018.0,29124.0,27793.0
Marin,US-06041,-122.870429,38.068145,C-IV,July,41821.0,2014.0,2014.0,2014/15,38864.0,10671.0,10024.0
Mariposa,US-06043,-119.6495595,37.543615,C-IV,July,41821.0,2014.0,2014.0,2014/15,4496.0,1995.0,1883.0
Mendocino,US-06045,-123.5709822,39.380655,C-IV,July,41821.0,2014.0,2014.0,2014/15,36364.0,14220.0,12824.0
Merced,US-06047,-120.1246993,37.18687,C-IV,July,41821.0,2014.0,2014.0,2014/15,123272.0,58433.0,55495.0
Modoc,US-06049,-120.1993372,41.590546,C-IV,July,41821.0,2014.0,2014.0,2014/15,2914.0,1016.0,941.0
Mono,US-06051,-118.7402371,38.0878955,C-IV,July,41821.0,2014.0,2014.0,2014/15,3157.0,871.0,744.0
Monterey,US-06053,-120.9044897,36.35433,C-IV,July,41821.0,2014.0,2014.0,2014/15,152112.0,49500.0,46583.0
Napa,US-06055,-122.5128064,38.509635,C-IV,July,41821.0,2014.0,2014.0,2014/15,29184.0,7523.0,7036.0
Nevada,US-06057,-120.3163119,39.266135,C-IV,July,41821.0,2014.0,2014.0,2014/15,21468.0,8017.0,7298.0
Orange,US-06059,-117.8002615,33.66707,CalWIN,July,41821.0,2014.0,2014.0,2014/15,792546.0,251420.0,228054.0
Placer,US-06061,-120.7858989,39.013999,CalWIN,July,41821.0,2014.0,2014.0,2014/15,55474.0,18254.0,15432.0
Plumas,US-06063,-121.1037321,40.0234855,C-IV,July,41821.0,2014.0,2014.0,2014/15,5140.0,1892.0,1707.0
Riverside,US-06065,-115.0250859,33.752845,C-IV,July,41821.0,2014.0,2014.0,2014/15,699691.0,293187.0,253211.0
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,July,41821.0,2014.0,2014.0,2014/15,485195.0,218203.0,196278.0
San Benito,US-06069,-121.2131455,36.5928495,C-IV,July,41821.0,2014.0,2014.0,2014/15,16606.0,6192.0,5791.0
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,July,41821.0,2014.0,2014.0,2014/15,768230.0,392254.0,346018.0
San Diego,US-06073,-116.693716,33.019645,CalWIN,July,41821.0,2014.0,2014.0,2014/15,745346.0,283920.0,246894.0
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,July,41821.0,2014.0,2014.0,2014/15,214447.0,52210.0,44250.0
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,July,41821.0,2014.0,2014.0,2014/15,266150.0,120450.0,112776.0
