,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, ,,American Indian/Alaskan Native,,,,,,,,,,,,,,,ASIAN-PACIFIC ISLANDER CATEGORY,,,,,,,,,,,,ASIAN-PACIFIC ISLANDER CATEGORY,,,,,,,,,,,,ASIAN-PACIFIC ISLANDER CATEGORY,,,,,,,,,,,
Contra Costa  c/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,8.0,4.0,12.0,25.0,73.0,98.0,26.0,36.0,62.0,55.0,73.0,128.0,352.0,572.0,924.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,758.0,1224.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,25.0,21.0,46.0,0.0,0.0,0.0,1.0,10.0,11.0,26.0,36.0,62.0
El Dorado,5.0,10.0,15.0,43.0,154.0,197.0,5.0,7.0,12.0,11.0,21.0,32.0,498.0,871.0,1369.0,2.0,5.0,7.0,0.0,0.0,0.0,564.0,1068.0,1632.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,7.0,12.0
Fresno ,2563.0,1395.0,3958.0,10883.0,6775.0,17658.0,2908.0,588.0,3496.0,109.0,64.0,173.0,3018.0,2150.0,5168.0,22.0,14.0,36.0,507.0,172.0,679.0,20010.0,11158.0,31168.0,11.0,10.0,21.0,487.0,82.0,569.0,5.0,3.0,8.0,4.0,5.0,9.0,14.0,6.0,20.0,31.0,28.0,59.0,0.0,2.0,2.0,6.0,13.0,19.0,515.0,85.0,600.0,91.0,35.0,126.0,1744.0,319.0,2063.0,2908.0,588.0,3496.0
Glenn  c/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,21.0,57.0,78.0,48.0,153.0,201.0,30.0,72.0,102.0,157.0,260.0,417.0,863.0,2183.0,3046.0,4.0,4.0,8.0,0.0,0.0,0.0,1123.0,2729.0,3852.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,4.0,5.0,1.0,2.0,3.0,1.0,4.0,5.0,3.0,1.0,4.0,2.0,8.0,10.0,0.0,1.0,1.0,20.0,36.0,56.0,0.0,2.0,2.0,2.0,11.0,13.0,30.0,72.0,102.0
Imperial,68.0,109.0,177.0,1460.0,3197.0,4657.0,1.0,2.0,3.0,33.0,27.0,60.0,187.0,399.0,586.0,2.0,6.0,8.0,0.0,0.0,0.0,1751.0,3740.0,5491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,3.0
Inyo,0.0,2.0,2.0,5.0,40.0,45.0,1.0,4.0,5.0,4.0,84.0,88.0,47.0,193.0,240.0,0.0,2.0,2.0,0.0,0.0,0.0,57.0,325.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0
Kern ,1293.0,1387.0,2680.0,2843.0,8077.0,10920.0,79.0,143.0,222.0,42.0,78.0,120.0,2699.0,3883.0,6582.0,31.0,139.0,170.0,0.0,0.0,0.0,6987.0,13707.0,20694.0,2.0,3.0,5.0,33.0,37.0,70.0,2.0,1.0,3.0,2.0,8.0,10.0,7.0,4.0,11.0,8.0,43.0,51.0,6.0,6.0,12.0,5.0,5.0,10.0,4.0,4.0,8.0,6.0,12.0,18.0,4.0,20.0,24.0,79.0,143.0,222.0
Kings,170.0,275.0,445.0,704.0,1791.0,2495.0,19.0,25.0,44.0,6.0,13.0,19.0,325.0,714.0,1039.0,11.0,29.0,40.0,0.0,0.0,0.0,1235.0,2847.0,4082.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,5.0,0.0,2.0,2.0,1.0,2.0,3.0,9.0,9.0,18.0,1.0,3.0,4.0,4.0,4.0,8.0,19.0,25.0,44.0
Lake  a/,55.0,70.0,125.0,55.0,140.0,195.0,2.0,9.0,11.0,49.0,42.0,91.0,685.0,1130.0,1815.0,2.0,8.0,10.0,0.0,0.0,0.0,848.0,1399.0,2247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,11.0
Lassen,4.0,4.0,8.0,21.0,42.0,63.0,2.0,4.0,6.0,20.0,21.0,41.0,208.0,344.0,552.0,0.0,2.0,2.0,0.0,0.0,0.0,255.0,417.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,6.0
Los Angeles  ,25886.0,54063.0,79949.0,57955.0,75306.0,133261.0,4010.0,7960.0,11970.0,78.0,437.0,515.0,12170.0,21541.0,33711.0,481.0,949.0,1430.0,1275.0,2489.0,3764.0,101855.0,162745.0,264600.0,604.0,1648.0,2252.0,1358.0,1496.0,2854.0,23.0,92.0,115.0,199.0,755.0,954.0,227.0,347.0,574.0,45.0,140.0,185.0,26.0,52.0,78.0,9.0,19.0,28.0,43.0,49.0,92.0,1094.0,2807.0,3901.0,382.0,555.0,937.0,4010.0,7960.0,11970.0
Madera  ,100.0,147.0,247.0,654.0,2478.0,3132.0,6.0,15.0,21.0,22.0,26.0,48.0,470.0,821.0,1291.0,3.0,4.0,7.0,0.0,0.0,0.0,1255.0,3491.0,4746.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,4.0,5.0,6.0,15.0,21.0
Marin  c/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,0.0,1.0,1.0,6.0,6.0,12.0,1.0,1.0,2.0,2.0,11.0,13.0,72.0,167.0,239.0,0.0,1.0,1.0,0.0,0.0,0.0,81.0,187.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
Mendocino,9.0,20.0,29.0,76.0,361.0,437.0,6.0,16.0,22.0,102.0,148.0,250.0,624.0,1484.0,2108.0,1.0,3.0,4.0,0.0,0.0,0.0,818.0,2032.0,2850.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,6.0,6.0,16.0,22.0
Merced  c/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,0.0,0.0,0.0,2.0,34.0,36.0,0.0,0.0,0.0,7.0,15.0,22.0,91.0,127.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,176.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mono,0.0,2.0,2.0,2.0,14.0,16.0,0.0,1.0,1.0,4.0,13.0,17.0,17.0,64.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,94.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Monterey,168.0,160.0,328.0,1372.0,2631.0,4003.0,63.0,98.0,161.0,7.0,12.0,19.0,433.0,644.0,1077.0,23.0,67.0,90.0,0.0,0.0,0.0,2066.0,3612.0,5678.0,0.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,5.0,4.0,3.0,7.0,7.0,7.0,14.0,1.0,1.0,2.0,3.0,7.0,10.0,7.0,2.0,9.0,0.0,0.0,0.0,31.0,62.0,93.0,7.0,10.0,17.0,63.0,98.0,161.0
Napa  b/,2.0,2.0,4.0,14.0,55.0,69.0,1.0,4.0,5.0,1.0,1.0,2.0,34.0,101.0,135.0,2.0,2.0,4.0,0.0,0.0,0.0,54.0,165.0,219.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0
Nevada,0.0,4.0,4.0,9.0,29.0,38.0,0.0,2.0,2.0,3.0,10.0,13.0,266.0,491.0,757.0,1.0,2.0,3.0,0.0,0.0,0.0,279.0,538.0,817.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Orange,355.0,375.0,730.0,3834.0,6395.0,10229.0,1826.0,3079.0,4905.0,16.0,21.0,37.0,979.0,2456.0,3435.0,32.0,93.0,125.0,3308.0,877.0,4185.0,10350.0,13296.0,23646.0,10.0,12.0,22.0,87.0,18.0,105.0,0.0,0.0,0.0,8.0,28.0,36.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,22.0,1703.0,2998.0,4701.0,5.0,9.0,14.0,1826.0,3079.0,4905.0
Placer,25.0,29.0,54.0,141.0,177.0,318.0,10.0,20.0,30.0,14.0,10.0,24.0,631.0,711.0,1342.0,0.0,5.0,5.0,0.0,0.0,0.0,821.0,952.0,1773.0,2.0,2.0,4.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,9.0,10.0,20.0,30.0
Plumas,2.0,5.0,7.0,4.0,4.0,8.0,0.0,0.0,0.0,1.0,4.0,5.0,70.0,117.0,187.0,1.0,0.0,1.0,0.0,0.0,0.0,78.0,130.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riverside,2694.0,1055.0,3749.0,7179.0,3533.0,10712.0,337.0,151.0,488.0,79.0,40.0,119.0,4109.0,3028.0,7137.0,48.0,30.0,78.0,1.0,0.0,1.0,14447.0,7837.0,22284.0,4.0,14.0,18.0,33.0,3.0,36.0,2.0,6.0,8.0,8.0,4.0,12.0,30.0,12.0,42.0,13.0,4.0,17.0,3.0,5.0,8.0,7.0,2.0,9.0,56.0,12.0,68.0,71.0,43.0,114.0,110.0,46.0,156.0,337.0,151.0,488.0
Sacramento,5405.0,5166.0,10571.0,2714.0,2594.0,5308.0,2904.0,2774.0,5678.0,140.0,134.0,274.0,6947.0,6643.0,13590.0,130.0,124.0,254.0,0.0,0.0,0.0,18240.0,17435.0,35675.0,288.0,275.0,563.0,390.0,371.0,761.0,13.0,12.0,25.0,16.0,16.0,32.0,49.0,47.0,96.0,69.0,66.0,135.0,13.0,12.0,25.0,13.0,12.0,25.0,308.0,295.0,603.0,739.0,706.0,1445.0,1006.0,962.0,1968.0,2904.0,2774.0,5678.0
San Benito  ,6.0,2.0,8.0,211.0,481.0,692.0,1.0,3.0,4.0,3.0,2.0,5.0,84.0,115.0,199.0,1.0,3.0,4.0,0.0,0.0,0.0,306.0,606.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0
San Bernardino,6003.0,4179.0,10182.0,10647.0,8316.0,18963.0,649.0,589.0,1238.0,134.0,174.0,308.0,6328.0,6492.0,12820.0,63.0,185.0,248.0,0.0,0.0,0.0,23824.0,19935.0,43759.0,29.0,24.0,53.0,127.0,89.0,216.0,3.0,13.0,16.0,12.0,30.0,42.0,79.0,50.0,129.0,29.0,43.0,72.0,14.0,14.0,28.0,11.0,14.0,25.0,20.0,25.0,45.0,325.0,287.0,612.0,0.0,0.0,0.0,649.0,589.0,1238.0
San Diego,2540.0,2107.0,4647.0,5141.0,4266.0,9407.0,1170.0,971.0,2141.0,69.0,57.0,126.0,5983.0,4965.0,10948.0,378.0,314.0,692.0,0.0,0.0,0.0,15281.0,12680.0,27961.0,99.0,82.0,181.0,109.0,90.0,199.0,5.0,4.0,9.0,17.0,14.0,31.0,18.0,15.0,33.0,35.0,29.0,64.0,8.0,7.0,15.0,37.0,31.0,68.0,28.0,24.0,52.0,737.0,611.0,1348.0,77.0,64.0,141.0,1170.0,971.0,2141.0
San Francisco,2384.0,4838.0,7222.0,758.0,1836.0,2594.0,1140.0,2166.0,3306.0,22.0,161.0,183.0,558.0,3528.0,4086.0,138.0,412.0,550.0,0.0,0.0,0.0,5000.0,12941.0,17941.0,497.0,1558.0,2055.0,84.0,46.0,130.0,6.0,24.0,30.0,12.0,54.0,66.0,143.0,72.0,215.0,11.0,48.0,59.0,3.0,9.0,12.0,1.0,13.0,14.0,11.0,12.0,23.0,329.0,271.0,600.0,43.0,59.0,102.0,1140.0,2166.0,3306.0
San Joaquin,1442.0,1400.0,2842.0,1934.0,3616.0,5550.0,925.0,1594.0,2519.0,52.0,72.0,124.0,1939.0,2539.0,4478.0,81.0,158.0,239.0,0.0,0.0,0.0,6373.0,9379.0,15752.0,5.0,18.0,23.0,449.0,608.0,1057.0,3.0,4.0,7.0,2.0,4.0,6.0,8.0,9.0,17.0,24.0,78.0,102.0,3.0,12.0,15.0,8.0,12.0,20.0,255.0,375.0,630.0,120.0,326.0,446.0,48.0,148.0,196.0,925.0,1594.0,2519.0
San Luis Obispo,14.0,19.0,33.0,348.0,395.0,743.0,16.0,12.0,28.0,2.0,5.0,7.0,753.0,806.0,1559.0,0.0,12.0,12.0,0.0,10.0,10.0,1133.0,1259.0,2392.0,0.0,0.0,0.0,6.0,0.0,6.0,4.0,6.0,10.0,0.0,2.0,2.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,16.0,12.0,28.0
San Mateo,319.0,397.0,716.0,627.0,711.0,1338.0,74.0,125.0,199.0,4.0,4.0,8.0,276.0,453.0,729.0,61.0,58.0,119.0,14.0,16.0,30.0,1375.0,1764.0,3139.0,11.0,37.0,48.0,4.0,12.0,16.0,1.0,0.0,1.0,2.0,1.0,3.0,8.0,11.0,19.0,3.0,4.0,7.0,0.0,2.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,7.0,15.0,22.0,35.0,43.0,78.0,74.0,125.0,199.0
Santa Barbara,172.0,134.0,306.0,1687.0,1939.0,3626.0,32.0,45.0,77.0,15.0,10.0,25.0,711.0,907.0,1618.0,21.0,39.0,60.0,0.0,0.0,0.0,2638.0,3074.0,5712.0,1.0,6.0,7.0,2.0,18.0,20.0,3.0,2.0,5.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,5.0,0.0,5.0,4.0,6.0,10.0,12.0,9.0,21.0,32.0,45.0,77.0
Santa Clara,640.0,626.0,1266.0,5184.0,5079.0,10263.0,1905.0,2727.0,4632.0,79.0,61.0,140.0,1434.0,1412.0,2846.0,83.0,128.0,211.0,0.0,0.0,0.0,9325.0,10033.0,19358.0,84.0,150.0,234.0,601.0,402.0,1003.0,6.0,12.0,18.0,10.0,11.0,21.0,65.0,96.0,161.0,10.0,15.0,25.0,23.0,9.0,32.0,36.0,9.0,45.0,19.0,61.0,80.0,985.0,1896.0,2881.0,66.0,66.0,132.0,1905.0,2727.0,4632.0
Santa Cruz,32.0,56.0,88.0,720.0,989.0,1709.0,11.0,31.0,42.0,1.0,3.0,4.0,644.0,1154.0,1798.0,0.0,5.0,5.0,9.0,0.0,9.0,1417.0,2238.0,3655.0,1.0,8.0,9.0,5.0,10.0,15.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,5.0,7.0,11.0,31.0,42.0
Shasta,31.0,49.0,80.0,65.0,130.0,195.0,59.0,108.0,167.0,67.0,101.0,168.0,1414.0,2293.0,3707.0,4.0,4.0,8.0,0.0,0.0,0.0,1640.0,2685.0,4325.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,6.0,0.0,4.0,4.0,0.0,3.0,3.0,53.0,75.0,128.0,1.0,1.0,2.0,4.0,12.0,16.0,59.0,108.0,167.0
Sierra,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,13.0,23.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siskiyou,17.0,34.0,51.0,9.0,85.0,94.0,21.0,29.0,50.0,42.0,42.0,84.0,388.0,697.0,1085.0,1.0,0.0,1.0,0.0,0.0,0.0,478.0,887.0,1365.0,0.0,0.0,0.0,10.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,20.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,29.0,50.0
Solano  c/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,156.0,139.0,295.0,456.0,660.0,1116.0,119.0,67.0,186.0,68.0,38.0,106.0,906.0,1903.0,2809.0,5.0,5.0,10.0,0.0,0.0,0.0,1710.0,2812.0,4522.0,4.0,8.0,12.0,66.0,10.0,76.0,0.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,4.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,23.0,8.0,31.0,14.0,17.0,31.0,4.0,14.0,18.0,119.0,67.0,186.0
Stanislaus,383.0,338.0,721.0,2214.0,2265.0,4479.0,402.0,465.0,867.0,13.0,19.0,32.0,2626.0,2754.0,5380.0,9.0,11.0,20.0,0.0,0.0,0.0,5647.0,5852.0,11499.0,5.0,7.0,12.0,172.0,163.0,335.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,8.0,15.0,15.0,16.0,31.0,2.0,2.0,4.0,3.0,3.0,6.0,67.0,73.0,140.0,25.0,50.0,75.0,104.0,143.0,247.0,402.0,465.0,867.0
Sutter,17.0,42.0,59.0,108.0,435.0,543.0,25.0,42.0,67.0,9.0,17.0,26.0,327.0,541.0,868.0,0.0,6.0,6.0,0.0,0.0,0.0,486.0,1083.0,1569.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,22.0,0.0,1.0,1.0,3.0,4.0,7.0,3.0,4.0,7.0,1.0,2.0,3.0,10.0,15.0,25.0,25.0,42.0,67.0
Tehama,11.0,8.0,19.0,81.0,306.0,387.0,3.0,8.0,11.0,26.0,23.0,49.0,557.0,919.0,1476.0,1.0,1.0,2.0,0.0,0.0,0.0,679.0,1265.0,1944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0
Trinity,0.0,0.0,0.0,3.0,3.0,6.0,1.0,1.0,2.0,6.0,4.0,10.0,97.0,185.0,282.0,1.0,0.0,1.0,0.0,0.0,0.0,108.0,193.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
Tulare,422.0,187.0,609.0,6372.0,4508.0,10880.0,527.0,90.0,617.0,70.0,26.0,96.0,2803.0,1561.0,4364.0,39.0,31.0,70.0,0.0,0.0,0.0,10233.0,6403.0,16636.0,3.0,1.0,4.0,116.0,26.0,142.0,3.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,6.0,7.0,5.0,12.0,1.0,2.0,3.0,7.0,7.0,14.0,327.0,39.0,366.0,3.0,1.0,4.0,54.0,9.0,63.0,527.0,90.0,617.0
