county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,quarter,fulldate
Sacramento,16942.0,585.0,9.0,25183.0,426.0,197.0,42125.0,1011.0,206.0,45251.0,66994.0,112245.0,1456.0,919.0,1188.0,657.0,2644.0,1576.0,12.0,270.0,282.0,0.0,0.0,0.0,46630.0,46630.0,0.0,11710328.0,147752.0,11858080.0,2006,JUL,3.0,2006-07-01
San Benito,342.0,0.0,0.0,898.0,5.0,2.0,1240.0,5.0,2.0,969.0,2105.0,3074.0,0.0,0.0,15.0,7.0,15.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,1247.0,1247.0,0.0,300896.0,918.0,301814.0,2006,JUL,3.0,2006-07-01
San Bernardino,18094.0,145.0,2.0,28383.0,435.0,208.0,46477.0,580.0,210.0,49554.0,84276.0,133830.0,381.0,147.0,1290.0,488.0,1671.0,635.0,2.0,270.0,272.0,0.0,0.0,0.0,51927.0,51927.0,0.0,13197972.0,78952.0,13276924.0,2006,JUL,3.0,2006-07-01
San Diego,15645.0,824.0,560.0,14015.0,226.0,224.0,29660.0,1050.0,784.0,42644.0,32874.0,75518.0,1246.0,2550.0,544.0,285.0,1790.0,2835.0,2288.0,389.0,2677.0,0.0,0.0,0.0,34620.0,34620.0,0.0,7593211.0,579164.0,8172375.0,2006,JUL,3.0,2006-07-01
San Francisco,3359.0,51.0,0.0,16005.0,164.0,396.0,19364.0,215.0,396.0,7804.0,23116.0,30920.0,105.0,62.0,346.0,221.0,451.0,283.0,0.0,536.0,536.0,0.0,0.0,0.0,21545.0,21545.0,0.0,3237417.0,84963.0,3322380.0,2006,JUL,3.0,2006-07-01
San Joaquin,5516.0,8.0,0.0,14042.0,209.0,72.0,19558.0,217.0,72.0,15139.0,38335.0,53474.0,10.0,9.0,456.0,209.0,466.0,218.0,0.0,102.0,102.0,0.0,0.0,0.0,21415.0,21415.0,0.0,5356925.0,12704.0,5369629.0,2006,JUL,3.0,2006-07-01
San Luis Obispo,1088.0,2.0,0.0,2226.0,22.0,6.0,3314.0,24.0,6.0,2560.0,4747.0,7307.0,5.0,2.0,56.0,25.0,61.0,27.0,0.0,6.0,6.0,0.0,0.0,0.0,3787.0,3787.0,0.0,715344.0,3049.0,718393.0,2006,JUL,3.0,2006-07-01
San Mateo,1463.0,21.0,0.0,2181.0,54.0,16.0,3644.0,75.0,16.0,3507.0,4753.0,8260.0,49.0,26.0,139.0,58.0,188.0,84.0,0.0,16.0,16.0,0.0,0.0,0.0,4182.0,4182.0,0.0,815514.0,8196.0,823710.0,2006,JUL,3.0,2006-07-01
Santa Barbara,3535.0,17.0,1.0,4144.0,54.0,9.0,7679.0,71.0,10.0,7016.0,11220.0,18236.0,36.0,17.0,165.0,65.0,201.0,82.0,3.0,19.0,22.0,0.0,0.0,0.0,8464.0,8464.0,0.0,1747137.0,8917.0,1756054.0,2006,JUL,3.0,2006-07-01
Santa Clara,9189.0,149.0,1.0,15319.0,358.0,517.0,24508.0,507.0,518.0,23577.0,34367.0,57944.0,322.0,188.0,778.0,475.0,1100.0,663.0,1.0,746.0,747.0,0.0,0.0,0.0,31316.0,31316.0,0.0,5970008.0,156465.0,6126473.0,2006,JUL,3.0,2006-07-01
Santa Cruz,1529.0,7.0,1.0,3534.0,66.0,14.0,5063.0,73.0,15.0,3567.0,7255.0,10822.0,15.0,8.0,214.0,71.0,229.0,79.0,1.0,18.0,19.0,0.0,0.0,0.0,5741.0,5741.0,0.0,1148673.75,9295.0,1157968.75,2006,JUL,3.0,2006-07-01
Shasta,1505.0,0.0,0.0,4239.0,2.0,6.0,5744.0,2.0,6.0,3731.0,9553.0,13284.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,6260.0,6260.0,0.0,1294161.0,848.0,1295009.0,2006,JUL,3.0,2006-07-01
Sierra,27.0,0.0,0.0,49.0,0.0,0.0,76.0,0.0,0.0,76.0,90.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0,15880.0,0.0,15880.0,2006,JUL,3.0,2006-07-01
Siskiyou,444.0,0.0,0.0,1218.0,7.0,3.0,1662.0,7.0,3.0,1171.0,2690.0,3861.0,0.0,0.0,23.0,8.0,23.0,8.0,0.0,3.0,3.0,0.0,0.0,0.0,1785.0,1785.0,0.0,384192.0,762.0,384954.0,2006,JUL,3.0,2006-07-01
Solano,3297.0,28.0,0.0,4831.0,39.0,23.0,8128.0,67.0,23.0,8376.0,10511.0,18887.0,72.0,28.0,112.0,41.0,184.0,69.0,0.0,48.0,48.0,0.0,0.0,0.0,9151.0,9151.0,0.0,1940215.0,10568.0,1950783.0,2006,JUL,3.0,2006-07-01
Sonoma,1790.0,14.0,0.0,4467.0,27.0,20.0,6257.0,41.0,20.0,4192.0,8844.0,13036.0,35.0,16.0,83.0,29.0,118.0,45.0,0.0,24.0,24.0,0.0,0.0,0.0,7029.0,7029.0,0.0,1335544.46,7967.0,1343511.46,2006,JUL,3.0,2006-07-01
Stanislaus,5782.0,34.0,1.0,9254.0,81.0,11.0,15036.0,115.0,12.0,14847.0,23933.0,38780.0,80.0,40.0,295.0,94.0,375.0,134.0,1.0,16.0,17.0,0.0,0.0,0.0,16444.0,16444.0,0.0,3850467.0,10408.0,3860875.0,2006,JUL,3.0,2006-07-01
Sutter,509.0,1.0,0.0,1693.0,5.0,2.0,2202.0,6.0,2.0,1458.0,4427.0,5885.0,5.0,2.0,9.0,7.0,14.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,2340.0,2340.0,0.0,562367.0,753.0,563120.0,2006,JUL,3.0,2006-07-01
Tehama,584.0,4.0,0.0,1461.0,19.0,2.0,2045.0,23.0,2.0,1574.0,3516.0,5090.0,12.0,5.0,65.0,23.0,77.0,28.0,0.0,3.0,3.0,0.0,0.0,0.0,2229.0,2229.0,0.0,496664.0,2196.0,498860.0,2006,JUL,3.0,2006-07-01
Trinity,106.0,0.0,0.0,313.0,1.0,0.0,419.0,1.0,0.0,265.0,751.0,1016.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,420.0,0.0,99610.0,0.0,99610.0,2006,JUL,3.0,2006-07-01
Tulare,8162.0,37.0,7.0,13261.0,362.0,125.0,21423.0,399.0,132.0,22375.0,34385.0,56760.0,104.0,63.0,1198.0,396.0,1302.0,459.0,17.0,270.0,287.0,0.0,0.0,0.0,24095.0,24095.0,0.0,5448791.0,33366.0,5482157.0,2006,JUL,3.0,2006-07-01
Tuolumne,359.0,0.0,0.0,900.0,0.0,0.0,1259.0,0.0,0.0,984.0,1878.0,2862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337.0,1337.0,0.0,266433.0,0.0,266433.0,2006,JUL,3.0,2006-07-01
Ventura,3589.0,20.0,1.0,7934.0,91.0,44.0,11523.0,111.0,45.0,9200.0,17234.0,26434.0,41.0,23.0,253.0,97.0,294.0,120.0,1.0,55.0,56.0,0.0,0.0,0.0,12961.0,12961.0,0.0,2680390.0,19990.0,2700380.0,2006,JUL,3.0,2006-07-01
Yolo,1179.0,31.0,0.0,2300.0,49.0,37.0,3479.0,80.0,37.0,2985.0,5346.0,8331.0,84.0,43.0,122.0,63.0,206.0,106.0,0.0,48.0,48.0,0.0,0.0,0.0,4314.0,4314.0,0.0,901442.66,16165.05,917607.71,2006,JUL,3.0,2006-07-01
Yuba,770.0,0.0,0.0,2214.0,5.0,5.0,2984.0,5.0,5.0,2253.0,5755.0,8008.0,0.0,0.0,18.0,6.0,18.0,6.0,0.0,7.0,7.0,0.0,0.0,0.0,3228.0,3228.0,0.0,771058.0,1297.0,772355.0,2006,JUL,3.0,2006-07-01
