county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,quarter,fulldate
Siskiyou,476.0,3.0,0.0,868.0,11.0,2.0,1344.0,14.0,2.0,1344.0,1863.0,3207.0,6.0,3.0,29.0,14.0,35.0,17.0,0.0,2.0,2.0,1177.0,0.0,265.0,1442.0,260660.0,2655.0,1483.0,202.0,263315.0,1685.0,265000.0,2003,AUG,1360.0,3.0,2003-08-01
Solano,3228.0,8.0,3.0,1843.0,3.0,18.0,5071.0,11.0,21.0,9280.0,3597.0,12877.0,22.0,11.0,11.0,14.0,33.0,25.0,11.0,12.0,23.0,0.0,0.0,5805.0,5805.0,967676.0,2610.0,1156.0,3046.0,970286.0,4202.0,974488.0,2003,AUG,5103.0,3.0,2003-08-01
Sonoma,1736.0,8.0,0.0,2780.0,17.0,4.0,4516.0,25.0,4.0,4048.0,5376.0,9424.0,9.0,8.0,41.0,26.0,50.0,34.0,0.0,4.0,4.0,4336.0,0.0,571.0,4907.0,794847.0,7656.0,1930.0,306.0,802503.0,2236.0,804739.0,2003,AUG,4545.0,3.0,2003-08-01
Stanislaus,5554.0,56.0,1.0,5693.0,120.0,35.0,11247.0,176.0,36.0,16087.0,16303.0,32390.0,131.0,68.0,388.0,166.0,519.0,234.0,2.0,61.0,63.0,0.0,0.0,11966.0,11966.0,2598435.0,41434.0,11966.0,6318.0,2639869.0,18284.0,2658153.0,2003,AUG,11459.0,3.0,2003-08-01
Sutter,511.0,3.0,1.0,1026.0,14.0,1.0,1537.0,17.0,2.0,1426.0,2808.0,4234.0,8.0,4.0,41.0,17.0,49.0,21.0,1.0,1.0,2.0,1289.0,0.0,382.0,1671.0,329398.0,4117.0,744.0,245.0,333515.0,989.0,334504.0,2003,AUG,1556.0,3.0,2003-08-01
Tehama,681.0,2.0,0.0,1242.0,5.0,3.0,1923.0,7.0,3.0,1727.0,2890.0,4617.0,5.0,2.0,16.0,5.0,21.0,7.0,0.0,3.0,3.0,1928.0,0.0,0.0,1928.0,371494.0,1418.0,473.0,409.0,372912.0,882.0,373794.0,2003,AUG,1933.0,3.0,2003-08-01
Trinity,110.0,0.0,0.0,192.0,0.0,1.0,302.0,0.0,1.0,290.0,431.0,721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,231.0,0.0,72.0,303.0,59807.0,0.0,0.0,139.0,59807.0,139.0,59946.0,2003,AUG,303.0,3.0,2003-08-01
Tulare,10108.0,139.0,4.0,6362.0,217.0,46.0,16470.0,356.0,50.0,31632.0,15281.0,46913.0,148.0,162.0,407.0,376.0,555.0,538.0,12.0,151.0,163.0,18733.0,0.0,0.0,18733.0,3600155.0,83050.0,19405.0,7237.0,3683205.0,26642.0,3709847.0,2003,AUG,16876.0,3.0,2003-08-01
Tuolumne,373.0,0.0,0.0,528.0,0.0,0.0,901.0,0.0,0.0,1046.0,1166.0,2212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,955.0,0.0,961.0,164551.0,0.0,0.0,0.0,164551.0,0.0,164551.0,2003,AUG,901.0,3.0,2003-08-01
Ventura,3758.0,25.0,5.0,5023.0,83.0,33.0,8781.0,108.0,38.0,10388.0,12203.0,22591.0,63.0,28.0,207.0,105.0,270.0,133.0,20.0,48.0,68.0,9721.0,0.0,0.0,9721.0,1808223.0,0.0,0.0,13108.0,1808223.0,13108.0,1821331.0,2003,AUG,8927.0,3.0,2003-08-01
Yolo,1813.0,39.0,3.0,1208.0,22.0,25.0,3021.0,61.0,28.0,5362.0,2491.0,7853.0,65.0,60.0,49.0,28.0,114.0,88.0,6.0,60.0,66.0,0.0,0.0,3110.0,3110.0,635267.0,14979.0,4775.0,5599.0,650246.0,10374.0,660620.0,2003,AUG,3110.0,3.0,2003-08-01
Yuba,1058.0,35.0,0.0,1326.0,48.0,12.0,2384.0,83.0,12.0,3214.0,3554.0,6768.0,174.0,42.0,244.0,66.0,418.0,108.0,0.0,13.0,13.0,2157.0,0.0,512.0,2669.0,532164.0,27917.0,7899.0,1888.0,560081.0,9787.0,569868.0,2003,AUG,2479.0,3.0,2003-08-01
