county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
Santa Barbara,2436.0,6.0,0.0,11594.0,79.0,15.0,14030.0,85.0,15.0,6019.0,25439.0,31458.0,14.0,6.0,210.0,80.0,224.0,86.0,0.0,19.0,19.0,0.0,0.0,0.0,15767.0,15767.0,0.0,4709357.0,13634.0,4722991.0,2013,AUG,14130.0,3.0,2013-08-01
Santa Clara,6733.0,92.0,2.0,44055.0,794.0,707.0,50788.0,886.0,709.0,15942.0,90727.0,106669.0,184.0,120.0,1673.0,1084.0,1857.0,1204.0,3.0,1064.0,1067.0,0.0,0.0,0.0,55545.0,55545.0,0.0,16439294.0,309766.0,16749060.0,2013,AUG,52383.0,3.0,2013-08-01
Santa Cruz,1223.0,3.0,0.0,10221.0,52.0,9.0,11444.0,55.0,9.0,2979.0,19147.0,22126.0,3.0,5.0,132.0,58.0,135.0,63.0,0.0,9.0,9.0,0.0,0.0,0.0,12614.0,12614.0,0.0,3349178.0,8527.0,3357705.0,2013,AUG,11508.0,3.0,2013-08-01
Shasta,1668.0,6.0,0.0,10042.0,12.0,12.0,11710.0,18.0,12.0,4213.0,19104.0,23317.0,11.0,6.0,30.0,16.0,41.0,22.0,0.0,19.0,19.0,0.0,0.0,0.0,12568.0,12568.0,0.0,3453956.0,5209.0,3459165.0,2013,AUG,11740.0,3.0,2013-08-01
Sierra,11.0,0.0,0.0,142.0,0.0,0.0,153.0,0.0,0.0,31.0,270.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,164.0,0.0,43839.0,0.0,43839.0,2013,AUG,153.0,3.0,2013-08-01
Siskiyou,426.0,0.0,0.0,2485.0,5.0,2.0,2911.0,5.0,2.0,1172.0,5284.0,6456.0,0.0,0.0,10.0,5.0,10.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,3115.0,3115.0,0.0,946559.0,1019.0,947578.0,2013,AUG,2918.0,3.0,2013-08-01
Solano,3222.0,24.0,0.0,17379.0,137.0,41.0,20601.0,161.0,41.0,7680.0,33147.0,40827.0,58.0,25.0,338.0,159.0,396.0,184.0,0.0,47.0,47.0,0.0,0.0,0.0,22366.0,22366.0,0.0,6401886.88,29782.03,6431668.91,2013,AUG,20803.0,3.0,2013-08-01
Sonoma,1996.0,31.0,0.0,16408.0,191.0,48.0,18404.0,222.0,48.0,4772.0,28830.0,33602.0,77.0,31.0,444.0,221.0,521.0,252.0,0.0,62.0,62.0,0.0,0.0,0.0,19764.0,19764.0,0.0,5248502.0,38383.0,5286885.0,2013,AUG,18674.0,3.0,2013-08-01
Stanislaus,6616.0,21.0,0.0,35062.0,118.0,24.0,41678.0,139.0,24.0,17404.0,73722.0,91126.0,51.0,24.0,318.0,128.0,369.0,152.0,0.0,34.0,34.0,0.0,0.0,0.0,43717.0,43717.0,0.0,13538231.0,22549.0,13560780.0,2013,AUG,41841.0,3.0,2013-08-01
Sutter,789.0,9.0,0.0,4335.0,37.0,5.0,5124.0,46.0,5.0,2075.0,10067.0,12142.0,24.0,11.0,91.0,47.0,115.0,58.0,0.0,5.0,5.0,0.0,0.0,0.0,5444.0,5444.0,0.0,1777775.0,6320.0,1784095.0,2013,AUG,5175.0,3.0,2013-08-01
Tehama,712.0,2.0,0.0,3610.0,9.0,5.0,4322.0,11.0,5.0,1916.0,7987.0,9903.0,5.0,2.0,29.0,10.0,34.0,12.0,0.0,9.0,9.0,0.0,0.0,0.0,4697.0,4697.0,0.0,1452283.0,2104.0,1454387.0,2013,AUG,4338.0,3.0,2013-08-01
Trinity,76.0,0.0,0.0,706.0,1.0,0.0,782.0,1.0,0.0,171.0,1376.0,1547.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,853.0,0.0,237774.0,0.0,237774.0,2013,AUG,783.0,3.0,2013-08-01
Tulare,8815.0,63.0,1.0,37020.0,504.0,162.0,45835.0,567.0,163.0,24166.0,88447.0,112613.0,156.0,67.0,1427.0,544.0,1583.0,611.0,1.0,206.0,207.0,0.0,0.0,0.0,49452.0,49452.0,0.0,16788154.0,104234.0,16892388.0,2013,AUG,46565.0,3.0,2013-08-01
Tuolumne,362.0,0.0,0.0,2444.0,3.0,1.0,2806.0,3.0,1.0,932.0,4206.0,5138.0,0.0,0.0,9.0,3.0,9.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2980.0,2980.0,0.0,773671.0,1286.0,774957.0,2013,AUG,2810.0,3.0,2013-08-01
Ventura,3438.0,12.0,0.0,28435.0,269.0,112.0,31873.0,281.0,112.0,8511.0,57551.0,66062.0,23.0,17.0,699.0,306.0,722.0,323.0,0.0,133.0,133.0,0.0,0.0,0.0,34494.0,34494.0,0.0,10067247.0,61968.0,10129215.0,2013,AUG,32266.0,3.0,2013-08-01
Yolo,977.0,34.0,2.0,6648.0,112.0,69.0,7625.0,146.0,71.0,2456.0,13564.0,16020.0,94.0,50.0,260.0,162.0,354.0,212.0,2.0,97.0,99.0,0.0,0.0,0.0,8504.0,8504.0,0.0,2456080.0,39317.0,2495397.0,2013,AUG,7842.0,3.0,2013-08-01
Yuba,948.0,5.0,0.0,4752.0,28.0,4.0,5700.0,33.0,4.0,2528.0,10174.0,12702.0,9.0,5.0,88.0,30.0,97.0,35.0,0.0,4.0,4.0,0.0,0.0,0.0,6140.0,6140.0,0.0,1910236.0,4631.0,1914867.0,2013,AUG,5737.0,3.0,2013-08-01
