county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,quarter,fulldate
Kings,1302.0,45.0,1.0,2479.0,78.0,22.0,3781.0,123.0,23.0,3956.0,6410.0,10366.0,142.0,52.0,272.0,85.0,414.0,137.0,1.0,23.0,24.0,70.0,4096.0,0.0,4166.0,746756.0,27329.0,4263.0,2601.0,774085.0,6864.0,780949.0,2002,AUG,3.0,2002-08-01
Lake,823.0,5.0,0.0,1116.0,7.0,7.0,1939.0,12.0,7.0,2299.0,2276.0,4575.0,19.0,7.0,20.0,8.0,39.0,15.0,0.0,7.0,7.0,489.0,0.0,1735.0,2224.0,378038.0,2351.0,516.0,870.0,380389.0,1386.0,381775.0,2002,AUG,3.0,2002-08-01
Lassen,263.0,2.0,0.0,344.0,1.0,0.0,607.0,3.0,0.0,750.0,766.0,1516.0,3.0,2.0,3.0,1.0,6.0,3.0,0.0,0.0,0.0,271.0,0.0,375.0,646.0,117754.0,658.0,101.0,0.0,118412.0,101.0,118513.0,2002,AUG,3.0,2002-08-01
Los Angeles,100692.0,15221.0,772.0,131170.0,18850.0,10152.0,231862.0,34071.0,10924.0,251016.0,278102.0,529118.0,35018.0,17604.0,54716.0,23953.0,89734.0,41557.0,2181.0,12410.0,14591.0,0.0,299419.0,0.0,299419.0,46018264.0,7433021.0,2219722.0,1696383.0,53451285.0,3916105.0,57367390.0,2002,AUG,3.0,2002-08-01
Madera,1402.0,6.0,0.0,2940.0,13.0,6.0,4342.0,19.0,6.0,4472.0,7746.0,12218.0,14.0,6.0,56.0,13.0,70.0,19.0,0.0,7.0,7.0,66.0,4514.0,0.0,4580.0,874216.0,3516.0,860.0,3676.0,877732.0,4536.0,882268.0,2002,AUG,3.0,2002-08-01
Marin,382.0,30.0,0.0,1024.0,35.0,32.0,1406.0,65.0,32.0,903.0,1517.0,2420.0,53.0,35.0,58.0,35.0,111.0,70.0,0.0,34.0,34.0,1805.0,0.0,0.0,1805.0,228569.0,8059.0,3211.0,4370.0,236628.0,7581.0,244209.0,2002,AUG,3.0,2002-08-01
Mariposa,96.0,0.0,0.0,194.0,0.0,0.0,290.0,0.0,0.0,266.0,427.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,303.0,311.0,50987.0,0.0,0.0,0.0,50987.0,0.0,50987.0,2002,AUG,3.0,2002-08-01
Mendocino,817.0,3.0,0.0,1681.0,13.0,4.0,2498.0,16.0,4.0,2224.0,3487.0,5711.0,10.0,4.0,37.0,15.0,47.0,19.0,0.0,4.0,4.0,1011.0,0.0,1685.0,2696.0,423626.0,2407.0,1053.0,458.0,426033.0,1511.0,427544.0,2002,AUG,3.0,2002-08-01
Merced,3511.0,300.0,2.0,3327.0,245.0,26.0,6838.0,545.0,28.0,10910.0,11324.0,22234.0,1151.0,369.0,1014.0,321.0,2165.0,690.0,2.0,31.0,33.0,4.0,7407.0,0.0,7411.0,1590435.0,103633.0,60120.0,4084.0,1694068.0,64204.0,1758272.0,2002,AUG,3.0,2002-08-01
Modoc,107.0,0.0,0.0,169.0,3.0,1.0,276.0,3.0,1.0,308.0,373.0,681.0,0.0,0.0,8.0,3.0,8.0,3.0,0.0,1.0,1.0,280.0,0.0,0.0,280.0,46283.0,545.0,204.0,135.0,46828.0,339.0,47167.0,2002,AUG,3.0,2002-08-01
