county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
San Benito,301.0,4.0,0.0,546.0,22.0,8.0,847.0,26.0,8.0,882.0,1276.0,2158.0,10.0,4.0,62.0,28.0,72.0,32.0,0.0,8.0,8.0,988.0,0.0,0.0,988.0,179928.0,6635.0,1015.0,833.0,186563.0,1848.0,188411.0,2003,JUN,881.0,0,2.0,2003-06-01
Nevada,285.0,0.0,0.0,542.0,1.0,0.0,827.0,1.0,0.0,712.0,1080.0,1792.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,797.0,0.0,106.0,903.0,152304.0,44.0,117.0,0.0,152348.0,117.0,152465.0,2003,JUN,828.0,0,2.0,2003-06-01
Glenn,233.0,0.0,0.0,521.0,0.0,4.0,754.0,0.0,4.0,707.0,1412.0,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,826.0,0.0,0.0,826.0,159571.0,0.0,0.0,539.0,159571.0,539.0,160110.0,2003,JUN,758.0,0,2.0,2003-06-01
Napa,163.0,2.0,0.0,547.0,9.0,10.0,710.0,11.0,10.0,403.0,1224.0,1627.0,8.0,2.0,16.0,10.0,24.0,12.0,0.0,16.0,16.0,956.0,0.0,0.0,956.0,158624.0,2830.0,818.0,1851.0,161454.0,2669.0,164123.0,2003,JUN,731.0,0,2.0,2003-06-01
Lassen,272.0,3.0,0.0,395.0,3.0,2.0,667.0,6.0,2.0,781.0,934.0,1715.0,4.0,5.0,5.0,3.0,9.0,8.0,0.0,2.0,2.0,276.0,0.0,467.0,743.0,143986.0,646.0,471.0,278.0,144632.0,749.0,145381.0,2003,JUN,675.0,0,2.0,2003-06-01
Calaveras,217.0,0.0,0.0,436.0,0.0,0.0,653.0,0.0,0.0,561.0,902.0,1463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,0.0,132.0,715.0,124705.0,0.0,0.0,0.0,124705.0,0.0,124705.0,2003,JUN,653.0,0,2.0,2003-06-01
Amador,126.0,1.0,0.0,291.0,1.0,1.0,417.0,2.0,1.0,335.0,585.0,920.0,2.0,1.0,2.0,1.0,4.0,2.0,0.0,1.0,1.0,390.0,0.0,64.0,454.0,81525.0,0.0,0.0,0.0,81525.0,0.0,81525.0,2003,JUN,420.0,0,2.0,2003-06-01
Colusa,82.0,0.0,0.0,290.0,8.0,3.0,372.0,8.0,3.0,207.0,769.0,976.0,0.0,0.0,24.0,8.0,24.0,8.0,0.0,5.0,5.0,401.0,0.0,0.0,401.0,74413.0,1638.0,371.0,499.0,76051.0,870.0,76921.0,2003,JUN,383.0,0,2.0,2003-06-01
Inyo,61.0,0.0,0.0,318.0,0.0,0.0,379.0,0.0,0.0,177.0,541.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,394.0,65377.0,0.0,0.0,0.0,65377.0,0.0,65377.0,2003,JUN,379.0,0,2.0,2003-06-01
Trinity,114.0,0.0,0.0,197.0,0.0,0.0,311.0,0.0,0.0,309.0,455.0,764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,84.0,311.0,64678.0,0.0,0.0,0.0,64678.0,0.0,64678.0,2003,JUN,311.0,0,2.0,2003-06-01
Mariposa,87.0,0.0,0.0,213.0,0.0,0.0,300.0,0.0,0.0,254.0,472.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,304.0,314.0,59957.0,0.0,0.0,0.0,59957.0,0.0,59957.0,2003,JUN,300.0,0,2.0,2003-06-01
Modoc,98.0,0.0,0.0,184.0,2.0,0.0,282.0,2.0,0.0,265.0,388.0,653.0,0.0,0.0,8.0,3.0,8.0,3.0,0.0,0.0,0.0,284.0,0.0,0.0,284.0,52697.0,418.0,0.0,0.0,53115.0,0.0,53115.0,2003,JUN,284.0,0,2.0,2003-06-01
Plumas,78.0,0.0,0.0,141.0,0.0,0.0,219.0,0.0,0.0,184.0,306.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,7.0,0.0,229.0,37786.0,0.0,0.0,0.0,37786.0,0.0,37786.0,2003,JUN,219.0,0,2.0,2003-06-01
Mono,20.0,0.0,0.0,102.0,1.0,0.0,122.0,1.0,0.0,56.0,182.0,238.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,121.0,0.0,11.0,132.0,21896.0,366.0,99.0,0.0,22262.0,99.0,22361.0,2003,JUN,123.0,0,2.0,2003-06-01
Sierra,17.0,0.0,0.0,26.0,0.0,0.0,43.0,0.0,0.0,54.0,48.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,43.0,8437.0,0.0,0.0,0.0,8437.0,0.0,8437.0,2003,JUN,43.0,0,2.0,2003-06-01
Alpine,5.0,0.0,0.0,28.0,0.0,0.0,33.0,0.0,0.0,12.0,79.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0,6353.0,0.0,0.0,0.0,6353.0,0.0,6353.0,2003,JUN,33.0,0,2.0,2003-06-01
