county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,quarter,fulldate
Monterey,2367.0,66.0,0.0,3242.0,74.0,9.0,5609.0,140.0,9.0,6464.0,8333.0,14797.0,160.0,68.0,222.0,79.0,382.0,147.0,0.0,9.0,9.0,5192.0,0.0,361.0,5553.0,1140480.0,33670.0,5047.0,1221.0,1174150.0,6268.0,1180418.0,2003,OCT,5758.0,4.0,2003-10-01
Napa,201.0,2.0,0.0,652.0,13.0,9.0,853.0,15.0,9.0,494.0,1462.0,1956.0,2.0,2.0,26.0,18.0,28.0,20.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,163531.0,0.0,0.0,2597.0,163531.0,2597.0,166128.0,2003,OCT,877.0,4.0,2003-10-01
Nevada,303.0,0.0,0.0,549.0,0.0,0.0,852.0,0.0,0.0,771.0,1063.0,1834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0,0.0,0.0,925.0,157207.0,0.0,0.0,0.0,157207.0,0.0,157207.0,2003,OCT,852.0,4.0,2003-10-01
Orange,11930.0,137.0,12.0,15352.0,288.0,95.0,27282.0,425.0,107.0,30515.0,39950.0,70465.0,233.0,146.0,715.0,335.0,948.0,481.0,34.0,132.0,166.0,0.0,0.0,28731.0,28731.0,5481821.0,96606.0,30670.0,20143.0,5578427.0,50813.0,5629240.0,2003,OCT,27814.0,4.0,2003-10-01
Placer,830.0,5.0,0.0,936.0,12.0,1.0,1766.0,17.0,1.0,2106.0,2097.0,4203.0,9.0,8.0,18.0,25.0,27.0,33.0,0.0,1.0,1.0,927.0,0.0,1186.0,2113.0,396330.0,4056.0,2440.0,150.0,400386.0,2590.0,402976.0,2003,OCT,1784.0,4.0,2003-10-01
Plumas,93.0,0.0,0.0,120.0,0.0,0.0,213.0,0.0,0.0,192.0,242.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,11.0,0.0,220.0,34947.0,0.0,0.0,0.0,34947.0,0.0,34947.0,2003,OCT,213.0,4.0,2003-10-01
Riverside,14733.0,182.0,28.0,8237.0,159.0,64.0,22970.0,341.0,92.0,47003.0,22882.0,69885.0,574.0,204.0,509.0,215.0,1083.0,419.0,110.0,99.0,209.0,0.0,0.0,26004.0,26004.0,5380267.0,80978.0,24057.0,19094.0,5461245.0,43151.0,5504396.0,2003,OCT,23403.0,4.0,2003-10-01
Sacramento,16861.0,261.0,158.0,16592.0,173.0,245.0,33453.0,434.0,403.0,51211.0,45705.0,96916.0,554.0,501.0,520.0,373.0,1074.0,874.0,584.0,495.0,1079.0,370.0,30404.0,0.0,30774.0,7497911.0,94462.0,41382.0,79451.0,7592373.0,120833.0,7713206.0,2003,OCT,34290.0,4.0,2003-10-01
San Benito,309.0,4.0,0.0,531.0,17.0,7.0,840.0,21.0,7.0,901.0,1223.0,2124.0,11.0,4.0,37.0,20.0,48.0,24.0,0.0,7.0,7.0,1028.0,0.0,0.0,1028.0,179252.0,3564.0,1196.0,878.0,182816.0,2074.0,184890.0,2003,OCT,868.0,4.0,2003-10-01
San Bernardino,23189.0,151.0,15.0,20343.0,311.0,217.0,43532.0,462.0,232.0,66539.0,54726.0,121265.0,411.0,173.0,933.0,372.0,1344.0,545.0,41.0,321.0,362.0,0.0,0.0,49595.0,49595.0,10563346.0,122856.0,25604.0,49394.0,10686202.0,74998.0,10761200.0,2003,OCT,44226.0,4.0,2003-10-01
