county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
Tulare,9426.0,731.0,7.0,5545.0,629.0,108.0,14971.0,1360.0,115.0,28831.0,13668.0,42499.0,2145.0,2004.0,1481.0,1536.0,3626.0,3540.0,17.0,511.0,528.0,2.0,16849.0,0.0,16851.0,3418984.0,330565.0,86131.0,18340.0,3749549.0,104471.0,3854020.0,2003,JAN,16446.0,0,1.0,2003-01-01
San Francisco,4311.0,397.0,48.0,9448.0,457.0,1028.0,13759.0,854.0,1076.0,11168.0,11568.0,22736.0,853.0,480.0,493.0,610.0,1346.0,1090.0,115.0,1333.0,1448.0,0.0,15904.0,0.0,15904.0,1991683.0,132138.0,45332.0,123147.0,2123821.0,168479.0,2292300.0,2003,JAN,15689.0,0,1.0,2003-01-01
San Joaquin,6380.0,566.0,5.0,6880.0,915.0,52.0,13260.0,1481.0,57.0,18408.0,18021.0,36429.0,2102.0,694.0,3185.0,1142.0,5287.0,1836.0,11.0,66.0,77.0,123.0,15909.0,0.0,16032.0,3005081.0,425472.0,82729.0,8042.0,3430553.0,90771.0,3521324.0,2003,JAN,14798.0,0,1.0,2003-01-01
Stanislaus,5352.0,199.0,9.0,4639.0,296.0,59.0,9991.0,495.0,68.0,16275.0,14053.0,30328.0,565.0,231.0,922.0,392.0,1487.0,623.0,18.0,102.0,120.0,0.0,11114.0,0.0,11114.0,2331728.0,127951.0,27565.0,12017.0,2459679.0,39582.0,2499261.0,2003,JAN,10554.0,0,1.0,2003-01-01
Ventura,3563.0,145.0,19.0,4579.0,288.0,147.0,8142.0,433.0,166.0,9628.0,11203.0,20831.0,374.0,155.0,789.0,365.0,1163.0,520.0,57.0,189.0,246.0,82.0,8846.0,0.0,8928.0,1587712.0,93326.0,20033.0,24137.0,1681038.0,44170.0,1725208.0,2003,JAN,8741.0,0,1.0,2003-01-01
Contra Costa,5494.0,324.0,9.0,2488.0,106.0,93.0,7982.0,430.0,102.0,14831.0,4831.0,19662.0,966.0,370.0,271.0,156.0,1237.0,526.0,27.0,119.0,146.0,9856.0,0.0,0.0,9856.0,1667392.0,50735.0,25112.0,12570.0,1718127.0,37682.0,1755809.0,2003,JAN,8514.0,0,1.0,2003-01-01
Merced,3541.0,213.0,4.0,3712.0,248.0,19.0,7253.0,461.0,23.0,10649.0,13294.0,23943.0,764.0,257.0,1266.0,357.0,2030.0,614.0,4.0,22.0,26.0,5.0,7732.0,0.0,7737.0,1847167.0,92292.0,72942.0,3016.0,1939459.0,75958.0,2015417.0,2003,JAN,7737.0,0,1.0,2003-01-01
Monterey,2231.0,185.0,0.0,3629.0,242.0,23.0,5860.0,427.0,23.0,6314.0,9327.0,15641.0,470.0,194.0,697.0,269.0,1167.0,463.0,0.0,24.0,24.0,6500.0,0.0,689.0,7189.0,1237310.0,133399.0,26964.0,3827.0,1370709.0,30791.0,1401500.0,2003,JAN,6310.0,0,1.0,2003-01-01
Santa Barbara,3097.0,140.0,14.0,2729.0,186.0,36.0,5826.0,326.0,50.0,7346.0,6961.0,14307.0,329.0,161.0,474.0,237.0,803.0,398.0,28.0,45.0,73.0,6769.0,0.0,0.0,6769.0,1124937.0,85789.0,24649.0,7309.0,1210726.0,31958.0,1242684.0,2003,JAN,6202.0,0,1.0,2003-01-01
Butte,2476.0,30.0,0.0,3326.0,28.0,9.0,5802.0,58.0,9.0,7248.0,7800.0,15048.0,138.0,35.0,138.0,35.0,276.0,70.0,0.0,9.0,9.0,6471.0,0.0,0.0,6471.0,1247975.0,19985.0,4571.0,972.0,1267960.0,5543.0,1273503.0,2003,JAN,5869.0,0,1.0,2003-01-01
