county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
Monterey,2233.0,4.0,0.0,4406.0,17.0,6.0,6639.0,21.0,6.0,6179.0,11175.0,17354.0,10.0,4.0,45.0,17.0,55.0,21.0,0.0,6.0,6.0,0.0,0.0,0.0,7236.0,7236.0,0.0,1429925.0,6220.0,1436145.0,2004,JUN,6666.0,2.0,2004-06-01
Napa,276.0,2.0,1.0,713.0,5.0,6.0,989.0,7.0,7.0,630.0,1666.0,2296.0,4.0,2.0,10.0,12.0,14.0,14.0,1.0,6.0,7.0,0.0,0.0,0.0,1003.0,1003.0,0.0,202593.0,1866.0,204459.0,2004,JUN,1003.0,2.0,2004-06-01
Nevada,310.0,0.0,0.0,590.0,1.0,0.0,900.0,1.0,0.0,796.0,1216.0,2012.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,969.0,969.0,0.0,170721.0,112.0,170833.0,2004,JUN,901.0,2.0,2004-06-01
Orange,11050.0,128.0,9.0,18632.0,323.0,106.0,29682.0,451.0,115.0,28512.0,48798.0,77310.0,233.0,138.0,775.0,367.0,1008.0,505.0,26.0,149.0,175.0,0.0,0.0,0.0,31162.0,31162.0,0.0,6400658.0,50156.0,6450814.0,2004,JUN,30248.0,2.0,2004-06-01
Placer,867.0,4.0,0.0,1318.0,2.0,1.0,2185.0,6.0,1.0,2342.0,2949.0,5291.0,9.0,8.0,3.0,5.0,12.0,13.0,0.0,1.0,1.0,207.0,0.0,379.0,205.0,791.0,0.0,142840.0,378.0,143218.0,2004,JUN,2192.0,2.0,2004-06-01
Plumas,98.0,0.0,0.0,159.0,0.0,0.0,257.0,0.0,0.0,235.0,358.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,264.0,0.0,47435.0,0.0,47435.0,2004,JUN,257.0,2.0,2004-06-01
Riverside,15489.0,120.0,12.0,9699.0,159.0,57.0,25188.0,279.0,69.0,46554.0,25659.0,72213.0,331.0,137.0,513.0,187.0,844.0,324.0,42.0,79.0,121.0,0.0,0.0,0.0,27216.0,27216.0,0.0,6163153.0,27339.0,6190492.0,2004,JUN,25536.0,2.0,2004-06-01
Sacramento,23829.0,455.0,93.0,13666.0,140.0,146.0,37495.0,595.0,239.0,76255.0,30050.0,106305.0,1082.0,789.0,339.0,212.0,1421.0,1001.0,351.0,216.0,567.0,0.0,0.0,0.0,40751.0,40751.0,0.0,9404536.0,107277.0,9511813.0,2004,JUN,38329.0,2.0,2004-06-01
San Benito,377.0,1.0,0.0,709.0,4.0,3.0,1086.0,5.0,3.0,1095.0,1688.0,2783.0,2.0,1.0,11.0,4.0,13.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,1094.0,1094.0,0.0,238983.0,513.0,239496.0,2004,JUN,1094.0,2.0,2004-06-01
San Bernardino,23019.0,177.0,2.0,24630.0,406.0,223.0,47649.0,583.0,225.0,65283.0,68689.0,133972.0,464.0,188.0,1257.0,452.0,1721.0,640.0,2.0,283.0,285.0,3.0,0.0,0.0,53540.0,53543.0,355.0,12100116.0,70456.0,12170572.0,2004,JUN,48457.0,2.0,2004-06-01
San Diego,14638.0,221.0,8.0,15211.0,262.0,117.0,29849.0,483.0,125.0,39908.0,41740.0,81648.0,493.0,246.0,691.0,310.0,1184.0,556.0,17.0,161.0,178.0,0.0,0.0,450.0,32807.0,33257.0,0.0,6988732.0,53640.0,7042372.0,2004,JUN,30457.0,2.0,2004-06-01
San Francisco,5235.0,124.0,8.0,13804.0,183.0,337.0,19039.0,307.0,345.0,13597.0,17415.0,31012.0,165.0,146.0,323.0,219.0,488.0,365.0,15.0,453.0,468.0,0.0,0.0,0.0,21210.0,21210.0,0.0,2871103.0,72494.0,2943597.0,2004,JUN,19691.0,2.0,2004-06-01
San Joaquin,6225.0,13.0,0.0,11087.0,30.0,39.0,17312.0,43.0,39.0,17834.0,30450.0,48284.0,37.0,20.0,486.0,225.0,523.0,245.0,0.0,59.0,59.0,0.0,0.0,0.0,18934.0,18934.0,0.0,4242717.0,7242.0,4249959.0,2004,JUN,17394.0,2.0,2004-06-01
San Luis Obispo,1403.0,6.0,0.0,1560.0,13.0,5.0,2963.0,19.0,5.0,2999.0,3392.0,6391.0,14.0,6.0,43.0,14.0,57.0,20.0,0.0,7.0,7.0,0.0,0.0,0.0,3463.0,3463.0,0.0,600144.0,1939.0,602083.0,2004,JUN,2987.0,2.0,2004-06-01
San Mateo,1596.0,5.0,0.0,2139.0,15.0,11.0,3735.0,20.0,11.0,3871.0,4671.0,8542.0,11.0,7.0,35.0,20.0,46.0,27.0,0.0,15.0,15.0,0.0,0.0,0.0,4529.0,4529.0,0.0,825975.0,3349.0,829324.0,2004,JUN,3766.0,2.0,2004-06-01
Santa Barbara,3401.0,76.0,5.0,3436.0,83.0,26.0,6837.0,159.0,31.0,6963.0,8574.0,15537.0,137.0,76.0,238.0,117.0,375.0,193.0,9.0,40.0,49.0,0.0,0.0,0.0,7521.0,7521.0,0.0,1354405.0,13421.0,1367826.0,2004,JUN,7027.0,2.0,2004-06-01
Santa Clara,10049.0,139.0,2.0,11806.0,227.0,268.0,21855.0,366.0,270.0,26404.0,26791.0,53195.0,320.0,149.0,513.0,282.0,833.0,431.0,6.0,386.0,392.0,0.0,0.0,0.0,22441.0,22441.0,0.0,4745364.0,82505.0,4827869.0,2004,JUN,22491.0,2.0,2004-06-01
Santa Cruz,1555.0,18.0,0.0,2684.0,23.0,10.0,4239.0,41.0,10.0,3610.0,5745.0,9355.0,30.0,19.0,35.0,23.0,65.0,42.0,0.0,14.0,14.0,0.0,0.0,0.0,4682.0,4682.0,0.0,805465.0,4791.0,810256.0,2004,JUN,4290.0,2.0,2004-06-01
Shasta,1883.0,1.0,0.0,3397.0,1.0,1.0,5280.0,2.0,1.0,4907.0,7958.0,12865.0,9.0,1.0,9.0,1.0,18.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,5741.0,5741.0,0.0,1105678.0,425.0,1106103.0,2004,JUN,5283.0,2.0,2004-06-01
Sierra,15.0,0.0,0.0,32.0,0.0,0.0,47.0,0.0,0.0,43.0,64.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0,9168.0,0.0,9168.0,2004,JUN,47.0,2.0,2004-06-01
Siskiyou,557.0,0.0,0.0,1012.0,2.0,1.0,1569.0,2.0,1.0,1581.0,2199.0,3780.0,0.0,0.0,7.0,2.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1701.0,1701.0,0.0,320969.0,299.0,321268.0,2004,JUN,1572.0,2.0,2004-06-01
Solano,3610.0,19.0,2.0,2658.0,10.0,20.0,6268.0,29.0,22.0,10296.0,5155.0,15451.0,22.0,21.0,17.0,15.0,39.0,36.0,7.0,26.0,33.0,0.0,0.0,0.0,6868.0,6868.0,0.0,1327837.0,4205.0,1332042.0,2004,JUN,6319.0,2.0,2004-06-01
Sonoma,1813.0,1.0,0.0,3805.0,9.0,6.0,5618.0,10.0,6.0,4293.0,7587.0,11880.0,1.0,1.0,20.0,13.0,21.0,14.0,0.0,6.0,6.0,0.0,0.0,0.0,6074.0,6074.0,0.0,1074687.0,1199.0,1075886.0,2004,JUN,5634.0,2.0,2004-06-01
Stanislaus,5520.0,51.0,255.0,7481.0,72.0,190.0,13001.0,123.0,445.0,14558.0,20056.0,34614.0,115.0,60.0,232.0,83.0,347.0,143.0,881.0,629.0,1510.0,0.0,0.0,0.0,14583.0,14583.0,0.0,3157151.0,17451.0,3174602.0,2004,JUN,13569.0,2.0,2004-06-01
Sutter,520.0,1.0,0.0,1176.0,9.0,0.0,1696.0,10.0,0.0,1457.0,3294.0,4751.0,7.0,1.0,29.0,10.0,36.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,1893.0,0.0,403456.0,458.0,403914.0,2004,JUN,1706.0,2.0,2004-06-01
Tehama,691.0,2.0,1.0,1293.0,10.0,6.0,1984.0,12.0,7.0,1817.0,3246.0,5063.0,4.0,2.0,20.0,16.0,24.0,18.0,4.0,7.0,11.0,0.0,0.0,0.0,2170.0,2170.0,0.0,428218.0,2393.0,430611.0,2004,JUN,2003.0,2.0,2004-06-01
Trinity,107.0,0.0,0.0,223.0,0.0,0.0,330.0,0.0,0.0,277.0,493.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,329.0,355.0,0.0,67981.0,0.0,67981.0,2004,JUN,330.0,2.0,2004-06-01
Tulare,10624.0,111.0,1.0,8594.0,259.0,50.0,19218.0,370.0,51.0,32920.0,21443.0,54363.0,184.0,233.0,691.0,543.0,875.0,776.0,1.0,226.0,227.0,0.0,0.0,0.0,21515.0,21515.0,0.0,4555492.0,20709.0,4576201.0,2004,JUN,19639.0,2.0,2004-06-01
Tuolumne,370.0,0.0,0.0,585.0,0.0,1.0,955.0,0.0,1.0,975.0,1250.0,2225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1000.0,0.0,91.0,1097.0,0.0,187554.0,141.0,187695.0,2004,JUN,956.0,2.0,2004-06-01
Ventura,3848.0,22.0,1.0,5607.0,78.0,43.0,9455.0,100.0,44.0,10666.0,13469.0,24135.0,56.0,24.0,215.0,81.0,271.0,105.0,5.0,62.0,67.0,0.0,0.0,0.0,10295.0,10295.0,0.0,2027786.0,12468.0,2040254.0,2004,JUN,9599.0,2.0,2004-06-01
Yolo,1771.0,32.0,4.0,1416.0,22.0,27.0,3187.0,54.0,31.0,5146.0,3129.0,8275.0,41.0,49.0,45.0,43.0,86.0,92.0,7.0,53.0,60.0,0.0,0.0,0.0,3272.0,3272.0,0.0,725918.0,9663.0,735581.0,2004,JUN,3272.0,2.0,2004-06-01
Yuba,1079.0,0.0,0.0,1559.0,2.0,1.0,2638.0,2.0,1.0,3344.0,4260.0,7604.0,0.0,0.0,6.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2800.0,2800.0,0.0,613786.0,398.0,614184.0,2004,JUN,2641.0,2.0,2004-06-01
