county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,quarter,fulldate
San Mateo,1171.0,35.0,3.0,1365.0,59.0,36.0,2536.0,94.0,39.0,2865.0,2887.0,5752.0,78.0,42.0,119.0,66.0,197.0,108.0,6.0,59.0,65.0,0.0,2938.0,0.0,2938.0,487769.0,19488.0,5829.0,6180.0,507257.0,12009.0,519266.0,2002,NOV,4.0,2002-11-01
Santa Barbara,2940.0,150.0,16.0,2532.0,172.0,37.0,5472.0,322.0,53.0,7160.0,6389.0,13549.0,352.0,171.0,429.0,222.0,781.0,393.0,32.0,51.0,83.0,6398.0,0.0,0.0,6398.0,1048525.0,85899.0,26408.0,8516.0,1134424.0,34924.0,1169348.0,2002,NOV,4.0,2002-11-01
Santa Clara,7578.0,626.0,21.0,6181.0,1046.0,876.0,13759.0,1672.0,897.0,22308.0,13381.0,35689.0,1626.0,772.0,2619.0,1363.0,4245.0,2135.0,60.0,1209.0,1269.0,115.0,16105.0,605.0,16825.0,2803000.0,331918.0,99155.0,186791.0,3134918.0,285946.0,3420864.0,2002,NOV,4.0,2002-11-01
Santa Cruz,1155.0,60.0,2.0,1764.0,39.0,9.0,2919.0,99.0,11.0,2501.0,3213.0,5714.0,104.0,60.0,75.0,43.0,179.0,103.0,2.0,10.0,12.0,3283.0,105.0,0.0,3388.0,522636.0,21236.0,7436.0,1587.0,543872.0,9023.0,552895.0,2002,NOV,4.0,2002-11-01
Shasta,1684.0,41.0,0.0,2310.0,41.0,5.0,3994.0,82.0,5.0,4568.0,5088.0,9656.0,130.0,50.0,120.0,51.0,250.0,101.0,0.0,5.0,5.0,4560.0,0.0,291.0,4851.0,818805.0,21405.0,4418.0,776.0,840210.0,5194.0,845404.0,2002,NOV,4.0,2002-11-01
Sierra,14.0,0.0,0.0,26.0,0.0,0.0,40.0,0.0,0.0,45.0,46.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,6235.0,0.0,0.0,0.0,6235.0,0.0,6235.0,2002,NOV,4.0,2002-11-01
Siskiyou,469.0,8.0,0.0,807.0,5.0,2.0,1276.0,13.0,2.0,1323.0,1814.0,3137.0,26.0,8.0,12.0,7.0,38.0,15.0,0.0,3.0,3.0,1103.0,0.0,222.0,1325.0,248854.0,3424.0,710.0,367.0,252278.0,1077.0,253355.0,2002,NOV,4.0,2002-11-01
Solano,2644.0,79.0,2.0,1271.0,23.0,39.0,3915.0,102.0,41.0,7321.0,2391.0,9712.0,200.0,94.0,50.0,27.0,250.0,121.0,4.0,47.0,51.0,535.0,0.0,3699.0,4234.0,794696.0,24798.0,4418.0,5182.0,819494.0,9600.0,829094.0,2002,NOV,4.0,2002-11-01
Sonoma,1493.0,14.0,0.0,2092.0,95.0,24.0,3585.0,109.0,24.0,3419.0,3959.0,7378.0,32.0,18.0,255.0,113.0,287.0,131.0,0.0,36.0,36.0,2776.0,0.0,1598.0,4374.0,613204.0,28138.0,6586.0,3361.0,641342.0,9947.0,651289.0,2002,NOV,4.0,2002-11-01
Stanislaus,5420.0,233.0,9.0,4171.0,240.0,50.0,9591.0,473.0,59.0,16764.0,12404.0,29168.0,698.0,277.0,746.0,317.0,1444.0,594.0,21.0,88.0,109.0,0.0,10618.0,0.0,10618.0,2199162.0,122082.0,21616.0,10322.0,2321244.0,31938.0,2353182.0,2002,NOV,4.0,2002-11-01
Sutter,478.0,25.0,0.0,951.0,32.0,2.0,1429.0,57.0,2.0,1371.0,2402.0,3773.0,83.0,28.0,98.0,39.0,181.0,67.0,0.0,3.0,3.0,1213.0,0.0,381.0,1594.0,315089.0,15586.0,2511.0,61.0,330675.0,2572.0,333247.0,2002,NOV,4.0,2002-11-01
Tehama,670.0,21.0,0.0,1142.0,42.0,5.0,1812.0,63.0,5.0,1656.0,2426.0,4082.0,61.0,22.0,123.0,48.0,184.0,70.0,0.0,5.0,5.0,1878.0,0.0,0.0,1878.0,323636.0,12580.0,4892.0,644.0,336216.0,5536.0,341752.0,2002,NOV,4.0,2002-11-01
Trinity,115.0,0.0,0.0,180.0,0.0,1.0,295.0,0.0,1.0,337.0,361.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,225.0,0.0,71.0,296.0,59221.0,0.0,0.0,139.0,59221.0,139.0,59360.0,2002,NOV,4.0,2002-11-01
Tulare,9163.0,733.0,8.0,5110.0,481.0,90.0,14273.0,1214.0,98.0,28092.0,12548.0,40640.0,2159.0,911.0,1155.0,1029.0,3314.0,1940.0,18.0,428.0,446.0,2.0,15962.0,0.0,15964.0,3084561.0,267415.0,65060.0,15104.0,3351976.0,80164.0,3432140.0,2002,NOV,4.0,2002-11-01
Tuolumne,382.0,0.0,0.0,464.0,0.0,0.0,846.0,0.0,0.0,1061.0,1016.0,2077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,916.0,0.0,920.0,162285.0,0.0,0.0,0.0,162285.0,0.0,162285.0,2002,NOV,4.0,2002-11-01
Ventura,3505.0,141.0,19.0,4493.0,292.0,144.0,7998.0,433.0,163.0,9527.0,11268.0,20795.0,359.0,151.0,794.0,374.0,1153.0,525.0,55.0,187.0,242.0,96.0,8741.0,0.0,8837.0,1576407.0,95057.0,21585.0,24217.0,1671464.0,45802.0,1717266.0,2002,NOV,4.0,2002-11-01
Yolo,1632.0,115.0,17.0,1027.0,25.0,21.0,2659.0,140.0,38.0,4720.0,2079.0,6799.0,311.0,231.0,63.0,34.0,374.0,265.0,50.0,41.0,91.0,0.0,0.0,2837.0,2837.0,559424.0,23070.0,20439.0,8437.0,582494.0,28876.0,611370.0,2002,NOV,4.0,2002-11-01
Yuba,1152.0,39.0,1.0,1199.0,29.0,6.0,2351.0,68.0,7.0,3802.0,3014.0,6816.0,245.0,44.0,156.0,41.0,401.0,85.0,1.0,6.0,7.0,2123.0,0.0,512.0,2635.0,519445.0,25963.0,5690.0,926.0,545408.0,6616.0,552024.0,2002,NOV,4.0,2002-11-01
