county,snap_apps_rcvd,init_apps,apps_rcvd_bene_prev_30d,apps_rcvd_bene_prev_60d,apps_rcvd_bene_prev_90d,apps_rcvd_bene_over_90d,ave_days_apprv_bene,cases_sched_recert,recert_rcvd_snap_follow_mth,recert_not_rcvd_snap_follow_mth,incomp_recert_no_bene_reapp,incomp_recert_no_bene_reapp_30d,incomp_recert_no_bene_reapp_60d,incomp_recert_no_bene_reapp_90d,avg_days_btw_notice_recert,pct_reapps_churning,pct_reapps_churning_in_30d,pct_recerts_churning,pct_recerts_churning_in_30d,year,month,pct_apps_rcvd_from_this_county,pct_cases_sched_recert_this_county,quarter,fulldate
Orange,23695.0,13784.0,1918.0,922.0,693.0,6378.0,6.0,24503.0,20785.0,3718.0,2401.0,1505.0,501.0,395.0,34.0,0.1491,0.0809,0.1013,0.0635,2013,DEC,0.04858439886161392,0.05037209111092838,4.0,2013-12-01
Placer,3185.0,1873.0,294.0,129.0,90.0,799.0,10.7,2186.0,1730.0,456.0,371.0,256.0,70.0,45.0,37.7,0.1611,0.09230000000000001,0.1165,0.08039999999999999,2013,DEC,0.006530546966627572,0.004493873859057643,4.0,2013-12-01
Plumas,360.0,224.0,37.0,13.0,16.0,70.0,18.3,293.0,157.0,136.0,45.0,42.0,3.0,0.0,22.7,0.1833,0.10279999999999999,0.125,0.1167,2013,DEC,0.0007381465959139485,0.0006023353342652743,4.0,2013-12-01
Riverside,34099.0,16554.0,6629.0,1668.0,1017.0,8231.0,11.3,37425.0,23757.0,13668.0,7848.0,7066.0,594.0,188.0,25.0,0.2731,0.19440000000000002,0.2302,0.2072,2013,DEC,0.06991683548352703,0.07693651837842283,4.0,2013-12-01
Sacramento,22814.0,12330.0,2299.0,988.0,665.0,6532.0,10.7,24216.0,20689.0,3527.0,2574.0,1622.0,590.0,362.0,38.3,0.1732,0.1008,0.1128,0.0711,2013,DEC,0.04677799010883561,0.04978209028862758,4.0,2013-12-01
San Benito,984.0,390.0,204.0,49.0,46.0,295.0,16.3,1029.0,615.0,414.0,221.0,205.0,14.0,2.0,28.0,0.3039,0.2073,0.22460000000000002,0.20829999999999999,2013,DEC,0.002017600695498126,0.002115368801907738,4.0,2013-12-01
San Bernardino,40189.0,18711.0,8476.0,1850.0,1209.0,9943.0,10.0,49207.0,33068.0,16139.0,12359.0,11554.0,590.0,215.0,29.3,0.287,0.2109,0.3075,0.2875,2013,DEC,0.08240381539773799,0.10115738837266672,4.0,2013-12-01
San Diego,40669.0,20261.0,6192.0,2043.0,1311.0,10862.0,11.0,33271.0,25829.0,7442.0,5890.0,3825.0,1240.0,825.0,35.0,0.2347,0.1523,0.1448,0.0941,2013,DEC,0.08338801085895658,0.06839692459501685,4.0,2013-12-01
San Francisco,7856.0,4216.0,793.0,420.0,264.0,2163.0,10.7,6539.0,4886.0,1653.0,1045.0,673.0,234.0,138.0,35.3,0.188,0.1009,0.133,0.0857,2013,DEC,0.016107999048611054,0.01344256228928542,4.0,2013-12-01
San Joaquin,10975.0,5632.0,2094.0,511.0,339.0,2399.0,17.3,14933.0,10434.0,4499.0,2483.0,2231.0,186.0,66.0,25.0,0.2682,0.19079999999999997,0.2262,0.20329999999999998,2013,DEC,0.02250321913932107,0.030698544527588193,4.0,2013-12-01
San Luis Obispo,2816.0,1483.0,187.0,123.0,109.0,914.0,14.3,2015.0,1632.0,383.0,256.0,155.0,54.0,47.0,40.7,0.14880000000000002,0.0664,0.0909,0.055,2013,DEC,0.005773946705815775,0.00414234026807006,4.0,2013-12-01
San Mateo,4730.0,2842.0,370.0,216.0,116.0,1186.0,10.0,3194.0,2554.0,640.0,484.0,306.0,102.0,76.0,37.0,0.1484,0.0782,0.1023,0.0647,2013,DEC,0.009698426107424935,0.006566071869089713,4.0,2013-12-01
Santa Barbara,5826.0,2571.0,567.0,292.0,265.0,2131.0,21.7,4593.0,3795.0,798.0,632.0,344.0,181.0,107.0,38.0,0.1929,0.0973,0.1085,0.059000000000000004,2013,DEC,0.011945672410540733,0.009442068908806842,4.0,2013-12-01
Santa Clara,11003.0,6449.0,483.0,502.0,351.0,3218.0,16.0,12198.0,10227.0,1971.0,592.0,116.0,263.0,213.0,39.3,0.12140000000000001,0.043899999999999995,0.0538,0.0105,2013,DEC,0.022560630541225486,0.02507606282378094,4.0,2013-12-01
Santa Cruz,3878.0,1925.0,199.0,202.0,196.0,1356.0,22.7,2921.0,2311.0,610.0,244.0,82.0,94.0,68.0,40.0,0.1539,0.0513,0.0629,0.021099999999999997,2013,DEC,0.007951479163761923,0.006004851574706028,4.0,2013-12-01
Shasta,3394.0,1654.0,530.0,191.0,110.0,909.0,21.7,3914.0,2346.0,1568.0,720.0,649.0,53.0,18.0,25.0,0.24480000000000002,0.1562,0.2121,0.1912,2013,DEC,0.006959082073699837,0.008046213304826905,4.0,2013-12-01
Sierra,37.0,17.0,2.0,1.0,3.0,14.0,10.0,46.0,27.0,19.0,5.0,5.0,0.0,0.0,28.0,0.16219999999999998,0.0541,0.1351,0.1351,2013,DEC,7.586506680226693e-05,9.456459172765397e-05,4.0,2013-12-01
Siskiyou,1082.0,619.0,169.0,37.0,45.0,212.0,16.3,1109.0,705.0,404.0,217.0,201.0,13.0,3.0,28.7,0.23199999999999998,0.1562,0.2006,0.1858,2013,DEC,0.0022185406021635896,0.0022798289614340927,4.0,2013-12-01
Solano,5246.0,2742.0,165.0,303.0,226.0,1810.0,13.3,5776.0,4446.0,1330.0,392.0,93.0,187.0,112.0,42.7,0.1323,0.0315,0.0747,0.0177,2013,DEC,0.010756436228234927,0.011874023517802812,4.0,2013-12-01
