county,consortium,year,state_fiscal_year,ann_calfresh_hh_sfy_avg,ann_calfresh_hh_cy_avg,ann_calfresh_persons_sfy_avg,ann_calfresh_persons_cy_avg,ann_elderly,ann_children,ann_child_only_hh,ann_esl,ann_wic_calfresh_reachable,ann_calfresh_in_wic,ann_tot_pop,ann_elderly_over60,ann_children_under18,ann_tot_esl_over5,ann_tot_ssi_recipients,unemployment_pct,ann_calfresh_eligibles,month,quarter,fulldate
Sierra,C-IV,2013,2013/14,163.9166667,158.75,299.25,303.1666667,26.0,106.0,1.0,6.0,0.0,0.0,3187.0,1152.0,494.0,93.0,99.0,0.129,696.6078183,DEC,4.0,2013-12-01
Siskiyou,C-IV,2013,2013/14,3074.5,2937.333333,6769.75,6538.083333,275.0,2872.0,154.0,192.0,0.0,0.0,44652.0,13754.0,8990.0,782.0,2475.0,0.132,10390.20674,DEC,4.0,2013-12-01
Solano,CalWIN,2013,2013/14,21486.08333,20843.33333,42538.0,41574.16667,1823.0,20249.0,2463.0,6854.0,0.0,0.0,420701.0,80627.0,99820.0,20853.0,11691.0,0.09,61759.51409,DEC,4.0,2013-12-01
Sonoma,CalWIN,2013,2013/14,18904.33333,19208.16667,34848.08333,35187.5,2351.0,17558.0,3484.0,10432.0,0.0,0.0,494416.0,115368.0,102168.0,24921.0,8547.0,0.07,71126.61558,DEC,4.0,2013-12-01
Stanislaus,C-IV,2013,2013/14,42067.91667,41488.91667,91796.58333,90975.0,2893.0,46298.0,5663.0,17711.0,0.0,0.0,527687.0,86790.0,144854.0,48602.0,20057.0,0.129,125680.3264,DEC,4.0,2013-12-01
Sutter,C-IV,2013,2013/14,5361.583333,5184.583333,12620.75,12365.83333,369.0,6642.0,689.0,2281.0,0.0,0.0,96540.0,17949.0,25540.0,8366.0,3778.0,0.146,22882.8572,DEC,4.0,2013-12-01
Tehama,C-IV,2013,2013/14,4646.166667,4329.416667,10462.83333,9909.166667,363.0,5013.0,441.0,1199.0,0.0,0.0,63731.0,15013.0,15524.0,2603.0,3062.0,0.117,14220.39899,DEC,4.0,2013-12-01
Trinity,C-IV,2013,2013/14,860.25,788.5833333,1646.666667,1561.75,89.0,622.0,45.0,12.0,0.0,0.0,13667.0,4574.0,2316.0,36.0,636.0,0.121,3100.499365,DEC,4.0,2013-12-01
Tulare,CalWIN,2013,2013/14,48774.41667,46831.25,119335.25,115750.5,3459.0,67240.0,8233.0,37887.0,0.0,0.0,455854.0,66665.0,144191.0,60016.0,17554.0,0.144,147862.5926,DEC,4.0,2013-12-01
Tuolumne,C-IV,2013,2013/14,2910.583333,2848.166667,5341.166667,5225.083333,299.0,1955.0,137.0,66.0,0.0,0.0,54894.0,17442.0,9195.0,696.0,1635.0,0.108,9822.277121,DEC,4.0,2013-12-01
Ventura,CalWIN,2013,2013/14,33733.16667,32654.33333,70276.5,68079.58333,3498.0,37769.0,6844.0,25095.0,0.0,0.0,842639.0,156675.0,205639.0,76495.0,14764.0,0.079,112131.8937,DEC,4.0,2013-12-01
Yolo,CalWIN,2013,2013/14,8366.583333,7975.916667,17722.75,17032.91667,774.0,8108.0,874.0,4707.0,0.0,0.0,208194.0,32642.0,46533.0,14762.0,5351.0,0.091,42449.3696,DEC,4.0,2013-12-01
Yuba,C-IV,2013,2013/14,5834.75,5726.166667,13015.08333,12857.33333,341.0,6541.0,571.0,1586.0,0.0,0.0,74352.0,11813.0,21415.0,3382.0,3733.0,0.131,14308.2094,DEC,4.0,2013-12-01
California,n/a,2014,2014/15,2102019.833,2063159.833,4462182.417,4428870.833,234156.0,2226004.0,320176.0,1337933.0,0.0,0.0,38739410.0,7107137.0,9213655.0,3760183.0,1193089.0,0.075,6980318.993,DEC,4.0,2014-12-01
Alameda,CalWIN,2014,2014/15,62337.5,63775.08333,122416.1667,125982.25,9307.0,60223.0,9205.0,40011.0,0.0,0.0,1599685.0,291375.0,342632.0,139309.0,47823.0,0.059,214362.7492,DEC,4.0,2014-12-01
Alpine,C-IV,2014,2014/15,106.5,111.9166667,176.0833333,182.75,16.0,59.0,0.0,0.0,0.0,0.0,1163.0,353.0,223.0,23.0,39.0,0.088,227.604,DEC,4.0,2014-12-01
Amador,C-IV,2014,2014/15,1760.416667,1753.833333,3356.916667,3367.75,250.0,1222.0,59.0,102.0,0.0,0.0,37447.0,12635.0,5905.0,559.0,696.0,0.083,5066.8769,DEC,4.0,2014-12-01
Butte,C-IV,2014,2014/15,16067.75,15499.16667,31441.33333,30891.16667,1577.0,12850.0,878.0,2667.0,0.0,0.0,223899.0,52958.0,45701.0,5637.0,10866.0,0.087,54488.45734,DEC,4.0,2014-12-01
Calaveras,C-IV,2014,2014/15,2878.75,2754.666667,5408.75,5204.5,437.0,1778.0,88.0,133.0,0.0,0.0,45009.0,15672.0,7781.0,598.0,1056.0,0.081,6481.84314,DEC,4.0,2014-12-01
Colusa,C-IV,2014,2014/15,697.5,714.75,1641.583333,1694.5,84.0,1004.0,142.0,570.0,0.0,0.0,22139.0,4164.0,6179.0,3111.0,563.0,0.175,4329.111133,DEC,4.0,2014-12-01
Contra Costa,CalWIN,2014,2014/15,35450.41667,35192.25,73468.25,73883.5,3876.0,36150.0,5317.0,16078.0,0.0,0.0,1102941.0,226850.0,253077.0,68215.0,24288.0,0.062,129295.0124,DEC,4.0,2014-12-01
Del Norte,C-IV,2014,2014/15,2503.5,2526.75,5167.333333,5196.166667,238.0,2130.0,139.0,223.0,0.0,0.0,27235.0,6214.0,5853.0,725.0,1816.0,0.102,5678.398909,DEC,4.0,2014-12-01
El Dorado,C-IV,2014,2014/15,7135.416667,6840.5,12917.66667,12445.58333,972.0,4740.0,396.0,886.0,0.0,0.0,182547.0,47296.0,37694.0,3522.0,2851.0,0.07,27235.39067,DEC,4.0,2014-12-01
Fresno,CalWIN,2014,2014/15,96153.75,95691.08333,226513.4167,226953.1667,7362.0,122849.0,13450.0,60875.0,0.0,0.0,969410.0,152453.0,278353.0,109792.0,41053.0,0.116,281485.6439,DEC,4.0,2014-12-01
Glenn,C-IV,2014,2014/15,1504.0,1499.25,3637.333333,3655.916667,148.0,1960.0,215.0,762.0,0.0,0.0,28828.0,5854.0,7616.0,2410.0,1111.0,0.107,6547.321475,DEC,4.0,2014-12-01
Humboldt,C-IV,2014,2014/15,11405.75,10376.0,20167.41667,18791.33333,1117.0,7428.0,644.0,900.0,0.0,0.0,134730.0,30815.0,27489.0,2266.0,5545.0,0.068,33221.69739,DEC,4.0,2014-12-01
Imperial,C-IV,2014,2014/15,16647.0,15857.41667,41929.08333,40122.83333,2213.0,19838.0,990.0,21381.0,0.0,0.0,183179.0,29728.0,53679.0,33803.0,10238.0,0.236,44825.9023,DEC,4.0,2014-12-01
Inyo,C-IV,2014,2014/15,1046.333333,1062.083333,2085.083333,2138.0,154.0,928.0,98.0,296.0,0.0,0.0,18626.0,5425.0,3891.0,510.0,402.0,0.07,2967.70218,DEC,4.0,2014-12-01
Kern,C-IV,2014,2014/15,63951.83333,61676.41667,151878.5833,147974.1667,5081.0,82576.0,9808.0,37076.0,0.0,0.0,876668.0,127006.0,254635.0,79181.0,31592.0,0.104,225536.4475,DEC,4.0,2014-12-01
Kings,C-IV,2014,2014/15,10334.83333,10170.66667,24168.33333,23966.33333,797.0,12521.0,1267.0,5713.0,0.0,0.0,149433.0,20063.0,44777.0,15306.0,4635.0,0.121,38859.03515,DEC,4.0,2014-12-01
Lake,C-IV,2014,2014/15,5872.833333,5504.166667,11557.33333,11014.5,736.0,4622.0,344.0,817.0,0.0,0.0,65191.0,18389.0,13546.0,1951.0,3663.0,0.089,17435.21142,DEC,4.0,2014-12-01
Lassen,C-IV,2014,2014/15,1549.416667,1542.0,3190.916667,3188.666667,150.0,1345.0,108.0,71.0,0.0,0.0,31841.0,6465.0,5544.0,712.0,880.0,0.093,4056.23815,DEC,4.0,2014-12-01
Los Angeles,LRS,2014,2014/15,586301.75,581170.1667,1186841.583,1185610.167,59648.0,614546.0,109736.0,444589.0,0.0,0.0,10124684.0,1771668.0,2332873.0,1394350.0,389765.0,0.083,2032449.545,DEC,4.0,2014-12-01
Madera,C-IV,2014,2014/15,11809.33333,11523.83333,29290.0,28835.08333,799.0,16999.0,2654.0,10033.0,0.0,0.0,154181.0,27787.0,42541.0,20778.0,4505.0,0.11,38902.72256,DEC,4.0,2014-12-01
Marin,C-IV,2014,2014/15,6347.416667,6176.666667,10486.25,10307.66667,1119.0,4831.0,1282.0,3804.0,0.0,0.0,261033.0,71692.0,52956.0,11871.0,3034.0,0.043,22695.63187,DEC,4.0,2014-12-01
Mariposa,C-IV,2014,2014/15,1066.666667,1026.916667,2047.75,2016.75,172.0,711.0,31.0,52.0,0.0,0.0,18127.0,6151.0,2984.0,199.0,454.0,0.088,3171.7656,DEC,4.0,2014-12-01
Mendocino,C-IV,2014,2014/15,7211.166667,7421.75,13385.33333,13782.75,941.0,5681.0,618.0,1931.0,0.0,0.0,88523.0,23550.0,19209.0,4690.0,3145.0,0.069,19834.10262,DEC,4.0,2014-12-01
Merced,C-IV,2014,2014/15,24703.66667,24109.58333,58014.66667,57188.08333,1886.0,31258.0,3796.0,15688.0,0.0,0.0,267714.0,39044.0,79731.0,33521.0,10825.0,0.128,74498.9489,DEC,4.0,2014-12-01
Modoc,C-IV,2014,2014/15,471.5,462.25,1021.916667,1005.083333,40.0,438.0,31.0,62.0,0.0,0.0,9564.0,3011.0,1868.0,353.0,421.0,0.105,2247.367847,DEC,4.0,2014-12-01
Mono,C-IV,2014,2014/15,500.1666667,526.8333333,833.0,856.0,49.0,334.0,70.0,218.0,0.0,0.0,13924.0,2537.0,2892.0,1069.0,100.0,0.072,1714.07704,DEC,4.0,2014-12-01
Monterey,C-IV,2014,2014/15,22531.5,22112.25,50650.0,50079.41667,2212.0,30054.0,6638.0,22043.0,0.0,0.0,429797.0,74649.0,112780.0,74856.0,8488.0,0.091,76819.0947,DEC,4.0,2014-12-01
Napa,C-IV,2014,2014/15,3564.166667,3503.333333,7387.833333,7300.75,433.0,4040.0,798.0,2923.0,0.0,0.0,140646.0,32606.0,30516.0,11600.0,2118.0,0.056,13996.58318,DEC,4.0,2014-12-01
Nevada,C-IV,2014,2014/15,4224.166667,4164.333333,7702.166667,7722.666667,640.0,2868.0,165.0,284.0,0.0,0.0,98354.0,32223.0,17032.0,1472.0,1796.0,0.066,12648.7451,DEC,4.0,2014-12-01
Orange,CalWIN,2014,2014/15,119900.9167,116779.4167,260159.3333,258603.0,17616.0,135615.0,28117.0,114889.0,0.0,0.0,3137744.0,580776.0,730630.0,325313.0,68202.0,0.055,443857.4896,DEC,4.0,2014-12-01
Placer,CalWIN,2014,2014/15,9357.166667,9218.166667,18460.58333,18534.83333,1416.0,7411.0,658.0,1954.0,0.0,0.0,368211.0,89717.0,80369.0,6222.0,5087.0,0.063,41238.66704,DEC,4.0,2014-12-01
Plumas,C-IV,2014,2014/15,1042.583333,969.8333333,1982.0,1895.333333,116.0,707.0,37.0,22.0,0.0,0.0,19692.0,6932.0,3284.0,202.0,651.0,0.117,3602.333137,DEC,4.0,2014-12-01
Riverside,C-IV,2014,2014/15,126782.3333,124200.0833,292595.0,290271.9167,13821.0,148026.0,16149.0,66204.0,0.0,0.0,2305796.0,419886.0,603376.0,172588.0,57657.0,0.082,455320.1841,DEC,4.0,2014-12-01
Sacramento,CalWIN,2014,2014/15,103629.25,101078.0833,219619.3333,217509.3333,9056.0,101011.0,9400.0,47736.0,0.0,0.0,1473817.0,264209.0,360017.0,94516.0,62271.0,0.073,295178.3949,DEC,4.0,2014-12-01
San Benito,C-IV,2014,2014/15,2726.583333,2714.083333,6136.0,6198.166667,292.0,3209.0,436.0,1802.0,0.0,0.0,57166.0,9780.0,15000.0,5516.0,899.0,0.093,8761.708297,DEC,4.0,2014-12-01
San Bernardino,C-IV,2014,2014/15,177045.3333,172181.3333,398285.8333,391793.8333,17508.0,192219.0,19813.0,71384.0,0.0,0.0,2111913.0,317699.0,580241.0,164799.0,68029.0,0.081,458342.861,DEC,4.0,2014-12-01
San Diego,CalWIN,2014,2014/15,139222.5,134214.0833,288651.1667,283887.0833,19191.0,131324.0,15532.0,97970.0,0.0,0.0,3248547.0,589848.0,765993.0,228246.0,76554.0,0.064,548765.9531,DEC,4.0,2014-12-01
San Francisco,CalWIN,2014,2014/15,33331.91667,32890.25,52301.58333,52291.83333,6615.0,18721.0,3966.0,20630.0,0.0,0.0,853732.0,177396.0,118492.0,103652.0,37503.0,0.044,100797.7919,DEC,4.0,2014-12-01
San Joaquin,C-IV,2014,2014/15,51867.08333,50059.83333,120247.0833,117660.5833,4706.0,61837.0,6809.0,24307.0,0.0,0.0,717238.0,117817.0,198115.0,65961.0,27296.0,0.106,155948.4021,DEC,4.0,2014-12-01
San Luis Obispo,CalWIN,2014,2014/15,9756.083333,9575.583333,18213.25,18107.16667,1399.0,8025.0,1102.0,3371.0,0.0,0.0,276075.0,70143.0,50276.0,10622.0,4290.0,0.056,45982.30134,DEC,4.0,2014-12-01
San Mateo,CalWIN,2014,2014/15,16112.33333,16010.33333,32033.91667,32223.75,3450.0,16879.0,3907.0,14235.0,0.0,0.0,756371.0,160063.0,160673.0,55943.0,10783.0,0.042,63838.64428,DEC,4.0,2014-12-01
Santa Barbara,CalWIN,2014,2014/15,16605.25,15991.83333,36271.91667,35297.08333,1559.0,20526.0,4029.0,13524.0,0.0,0.0,440129.0,83614.0,99407.0,43550.0,8393.0,0.061,83642.14016,DEC,4.0,2014-12-01
Santa Clara,CalWIN,2014,2014/15,55466.91667,54882.16667,112788.75,113253.5,9510.0,55723.0,10556.0,49052.0,0.0,0.0,1890929.0,334303.0,439382.0,174224.0,43472.0,0.052,173716.0703,DEC,4.0,2014-12-01
Santa Cruz,CalWIN,2014,2014/15,13049.16667,12501.25,24814.41667,24074.83333,1797.0,11576.0,2244.0,8530.0,0.0,0.0,271689.0,55572.0,57295.0,23557.0,5038.0,0.087,47670.41209,DEC,4.0,2014-12-01
Shasta,C-IV,2014,2014/15,12905.0,12564.75,24906.66667,24531.75,1221.0,9992.0,609.0,465.0,0.0,0.0,179251.0,46492.0,38313.0,2491.0,9289.0,0.097,29544.13269,DEC,4.0,2014-12-01
Sierra,C-IV,2014,2014/15,171.1666667,167.0833333,312.3333333,300.5,41.0,86.0,3.0,8.0,0.0,0.0,3161.0,1178.0,480.0,89.0,89.0,0.1,535.0838027,DEC,4.0,2014-12-01
Siskiyou,C-IV,2014,2014/15,3230.416667,3190.5,6993.583333,6946.75,413.0,2825.0,141.0,181.0,0.0,0.0,44606.0,14051.0,8882.0,717.0,2431.0,0.113,11466.60728,DEC,4.0,2014-12-01
Solano,CalWIN,2014,2014/15,22476.91667,22134.5,43630.41667,43408.5,2457.0,19919.0,2272.0,6844.0,0.0,0.0,425430.0,84440.0,100040.0,18343.0,11752.0,0.075,56428.94271,DEC,4.0,2014-12-01
Sonoma,CalWIN,2014,2014/15,19796.66667,19297.66667,35718.83333,35227.0,2986.0,16974.0,3249.0,10517.0,0.0,0.0,497908.0,120571.0,101026.0,25983.0,8488.0,0.056,69970.76088,DEC,4.0,2014-12-01
Stanislaus,C-IV,2014,2014/15,42907.0,42554.25,92178.83333,92205.41667,3835.0,45160.0,5238.0,18095.0,0.0,0.0,531720.0,89493.0,144174.0,48829.0,20165.0,0.112,115984.8933,DEC,4.0,2014-12-01
Sutter,C-IV,2014,2014/15,5630.333333,5575.25,13058.33333,12977.91667,491.0,6535.0,648.0,2388.0,0.0,0.0,97101.0,18516.0,25359.0,8544.0,3793.0,0.127,16038.08874,DEC,4.0,2014-12-01
Tehama,C-IV,2014,2014/15,4812.583333,4862.083333,10550.41667,10781.16667,492.0,5146.0,422.0,1283.0,0.0,0.0,63845.0,15194.0,15479.0,2345.0,3106.0,0.097,14124.95178,DEC,4.0,2014-12-01
