Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2013 Q2 (April - June) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 20JUN2014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
Siskiyou,862.0,498.0,113.0,40.0,25.0,186.0,16.7,889.0,563.0,326.0,113.0,100.0,7.0,6.0,12.7,20.65,13.11,13.11,11.6
Solano,5841.0,3098.0,241.0,425.0,257.0,1820.0,11.3,5539.0,4530.0,1009.0,342.0,79.0,164.0,99.0,42.0,15.8,4.13,5.86,1.35
Sonoma,4744.0,2440.0,418.0,298.0,176.0,1412.0,17.0,4136.0,3333.0,803.0,400.0,201.0,120.0,79.0,36.3,18.8,8.81,8.43,4.24
Stanislaus,10954.0,4759.0,2180.0,602.0,398.0,3015.0,8.7,13334.0,8931.0,4403.0,1808.0,1559.0,170.0,79.0,8.7,29.03,19.9,16.51,14.23
Sutter,1629.0,876.0,266.0,75.0,55.0,357.0,15.3,1588.0,924.0,664.0,267.0,249.0,10.0,8.0,11.0,24.31,16.33,16.39,15.29
Tehama,1414.0,800.0,208.0,54.0,31.0,321.0,17.3,1500.0,928.0,572.0,258.0,233.0,19.0,6.0,11.7,20.72,14.71,18.25,16.48
Trinity,306.0,170.0,50.0,13.0,8.0,65.0,18.7,258.0,134.0,124.0,73.0,66.0,4.0,3.0,8.7,23.2,16.34,23.86,21.57
Tulare,9095.0,3383.0,1739.0,795.0,443.0,2735.0,5.7,11983.0,10609.0,1374.0,1640.0,1145.0,285.0,210.0,38.0,32.73,19.12,18.03,12.59
Tuolumne,867.0,447.0,128.0,45.0,30.0,217.0,16.3,900.0,485.0,415.0,169.0,153.0,7.0,9.0,10.7,23.41,14.76,19.49,17.65
Ventura,8765.0,4093.0,976.0,667.0,395.0,2634.0,10.0,7442.0,6018.0,1424.0,1089.0,619.0,281.0,189.0,42.3,23.25,11.14,12.42,7.06
Yolo,2409.0,1279.0,277.0,127.0,73.0,653.0,15.3,2024.0,1678.0,346.0,249.0,154.0,48.0,47.0,37.7,19.8,11.5,10.34,6.39
Yuba,1730.0,926.0,280.0,61.0,57.0,406.0,17.0,1712.0,942.0,770.0,411.0,371.0,25.0,15.0,9.0,23.01,16.18,23.76,21.45
