Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2016 Q2 (April - June) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 02FEB2017,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
San Francisco,8166.0,4225.0,898.0,426.0,266.0,2351.0,7.0,7257.0,5543.0,1714.0,1089.0,731.0,216.0,142.0,35.3,19.47,11.0,13.34,8.95
San Joaquin,9964.0,4515.0,1747.0,504.0,386.0,2812.0,13.0,15148.0,9900.0,5248.0,3036.0,2672.0,246.0,118.0,23.7,26.47,17.53,30.47,26.82
San Luis Obispo,2419.0,1207.0,194.0,105.0,77.0,836.0,11.0,2153.0,1670.0,483.0,254.0,146.0,68.0,40.0,37.7,15.54,8.02,10.5,6.04
San Mateo,4040.0,2001.0,427.0,278.0,162.0,1172.0,9.0,3378.0,2587.0,791.0,465.0,277.0,109.0,79.0,40.3,21.46,10.57,11.51,6.86
Santa Barbara,4261.0,2201.0,396.0,218.0,148.0,1298.0,10.3,3674.0,2864.0,810.0,482.0,288.0,113.0,81.0,34.3,17.88,9.29,11.31,6.76
Santa Clara,9273.0,4859.0,167.0,491.0,369.0,3387.0,7.0,11793.0,9667.0,2126.0,450.0,85.0,213.0,152.0,36.3,11.08,1.8,4.85,0.92
Santa Cruz,2949.0,1644.0,43.0,140.0,100.0,1022.0,11.0,3389.0,2691.0,698.0,122.0,19.0,54.0,49.0,38.0,9.6,1.46,4.14,0.64
Shasta,3392.0,1464.0,570.0,189.0,122.0,1047.0,14.3,3915.0,2237.0,1678.0,1110.0,969.0,93.0,48.0,26.0,25.97,16.8,32.72,28.57
Sierra,27.0,14.0,1.0,3.0,2.0,7.0,12.0,53.0,32.0,21.0,5.0,4.0,1.0,0.0,25.3,22.22,3.7,18.52,14.81
Siskiyou,714.0,378.0,80.0,38.0,28.0,190.0,21.7,964.0,539.0,425.0,274.0,245.0,24.0,5.0,26.0,20.45,11.2,38.38,34.31
Solano,4679.0,2444.0,73.0,273.0,198.0,1691.0,11.0,4949.0,3767.0,1182.0,275.0,31.0,151.0,93.0,37.3,11.63,1.56,5.88,0.66
Sonoma,4571.0,2018.0,526.0,245.0,194.0,1588.0,13.7,4274.0,3237.0,1037.0,595.0,358.0,145.0,92.0,39.0,21.11,11.51,13.02,7.83
Stanislaus,9343.0,3522.0,1722.0,559.0,375.0,3165.0,9.3,12617.0,7686.0,4931.0,2944.0,2472.0,322.0,150.0,26.3,28.43,18.43,31.51,26.46
Sutter,1321.0,679.0,206.0,50.0,32.0,354.0,15.3,1682.0,1001.0,681.0,407.0,372.0,23.0,12.0,28.3,21.8,15.59,30.81,28.16
Tehama,1157.0,525.0,190.0,58.0,44.0,340.0,13.0,1591.0,875.0,716.0,373.0,335.0,24.0,14.0,18.7,25.24,16.42,32.24,28.95
Trinity,234.0,130.0,20.0,15.0,9.0,60.0,12.7,321.0,154.0,167.0,61.0,56.0,4.0,1.0,23.7,18.8,8.55,26.07,23.93
Tulare,8631.0,2894.0,1845.0,665.0,413.0,2814.0,4.3,13528.0,11353.0,2175.0,2198.0,1529.0,423.0,246.0,36.3,33.87,21.38,25.47,17.72
Tuolumne,712.0,348.0,52.0,43.0,28.0,241.0,14.0,946.0,509.0,437.0,130.0,99.0,21.0,10.0,30.0,17.28,7.3,18.26,13.9
Ventura,8209.0,3368.0,1189.0,585.0,340.0,2727.0,7.7,7965.0,6101.0,1864.0,1476.0,1006.0,285.0,185.0,36.0,25.75,14.48,17.98,12.25
Yolo,2463.0,1266.0,285.0,154.0,88.0,670.0,7.7,2501.0,1989.0,512.0,333.0,211.0,76.0,46.0,35.0,21.4,11.57,13.52,8.57
Yuba,1455.0,636.0,319.0,73.0,34.0,393.0,11.7,1865.0,1073.0,792.0,587.0,542.0,33.0,12.0,23.3,29.28,21.92,40.34,37.25
