Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2014 Q2 (April - June) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 13JAN2015,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
San Francisco,8010.0,4140.0,937.0,380.0,253.0,2300.0,10.0,7096.0,5254.0,1842.0,1159.0,809.0,223.0,127.0,34.7,19.6,11.7,14.47,10.1
San Joaquin,10250.0,5582.0,1361.0,414.0,333.0,2560.0,18.0,14467.0,9989.0,4478.0,3066.0,2741.0,220.0,105.0,24.0,20.57,13.28,29.91,26.74
San Luis Obispo,2613.0,1444.0,175.0,100.0,67.0,827.0,12.0,1987.0,1632.0,355.0,190.0,105.0,52.0,33.0,36.7,13.09,6.7,7.27,4.02
San Mateo,4657.0,2655.0,403.0,247.0,145.0,1207.0,9.3,3302.0,2557.0,745.0,436.0,261.0,99.0,76.0,36.3,17.07,8.65,9.36,5.6
Santa Barbara,4022.0,2201.0,311.0,154.0,106.0,1250.0,19.3,3962.0,3246.0,716.0,339.0,197.0,90.0,52.0,34.0,14.2,7.73,8.43,4.9
Santa Clara,11623.0,6631.0,399.0,532.0,424.0,3637.0,14.3,12605.0,10357.0,2248.0,540.0,98.0,252.0,190.0,38.0,11.66,3.43,4.65,0.84
Santa Cruz,2917.0,1695.0,88.0,114.0,66.0,954.0,21.7,2716.0,2180.0,536.0,154.0,51.0,69.0,34.0,40.3,9.19,3.02,5.28,1.75
Shasta,3498.0,1813.0,441.0,156.0,91.0,997.0,14.7,4036.0,2376.0,1660.0,926.0,823.0,72.0,31.0,23.0,19.67,12.61,26.47,23.53
Sierra,30.0,20.0,2.0,0.0,1.0,7.0,10.3,64.0,34.0,30.0,5.0,4.0,1.0,0.0,28.7,10.0,6.67,16.67,13.33
Siskiyou,834.0,477.0,100.0,25.0,26.0,206.0,15.7,893.0,549.0,344.0,211.0,198.0,8.0,5.0,27.3,18.11,11.99,25.3,23.74
Solano,5323.0,2891.0,94.0,293.0,217.0,1828.0,13.3,5526.0,4364.0,1162.0,314.0,50.0,147.0,117.0,37.0,11.35,1.77,5.9,0.94
Sonoma,4733.0,2239.0,499.0,234.0,163.0,1598.0,21.3,4306.0,3334.0,972.0,476.0,255.0,135.0,86.0,36.0,18.93,10.54,10.06,5.39
Stanislaus,9686.0,4268.0,1551.0,490.0,391.0,2986.0,14.0,13113.0,8354.0,4759.0,3486.0,3113.0,260.0,113.0,20.3,25.11,16.01,35.99,32.14
Sutter,1598.0,881.0,239.0,55.0,44.0,379.0,14.7,1632.0,954.0,678.0,366.0,333.0,16.0,17.0,27.7,21.15,14.96,22.9,20.84
Tehama,1262.0,731.0,143.0,46.0,27.0,315.0,14.7,1317.0,829.0,488.0,139.0,130.0,6.0,3.0,21.0,17.12,11.33,11.01,10.3
Trinity,249.0,170.0,11.0,6.0,6.0,56.0,9.7,138.0,60.0,78.0,13.0,12.0,0.0,1.0,24.3,9.24,4.42,5.22,4.82
Tulare,9034.0,3622.0,1514.0,585.0,358.0,2955.0,5.7,11957.0,10481.0,1476.0,1680.0,1186.0,313.0,181.0,35.3,27.2,16.76,18.6,13.13
Tuolumne,751.0,388.0,92.0,37.0,24.0,210.0,14.3,885.0,496.0,389.0,194.0,181.0,8.0,5.0,26.7,20.37,12.25,25.83,24.1
Ventura,8660.0,4008.0,1021.0,542.0,321.0,2768.0,10.3,7609.0,6015.0,1594.0,1146.0,719.0,260.0,167.0,37.7,21.76,11.79,13.23,8.3
Yolo,2597.0,1333.0,312.0,125.0,87.0,740.0,12.3,2124.0,1693.0,431.0,283.0,158.0,69.0,56.0,35.7,20.18,12.01,10.9,6.08
Yuba,1652.0,823.0,276.0,71.0,43.0,439.0,14.7,1892.0,1121.0,771.0,708.0,670.0,23.0,15.0,23.0,23.61,16.71,42.86,40.56
