,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Plumas,92.0,0.0,0.0,201.0,0.0,0.0,293.0,0.0,0.0,220.0,487.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,303.0,0.0,61500.0,0.0,61500.0
Riverside  ,12657.0,126.0,6.0,14479.0,285.0,64.0,27136.0,411.0,70.0,35600.0,42569.0,78169.0,333.0,130.0,996.0,317.0,1329.0,447.0,11.0,81.0,92.0,0.0,0.0,0.0,29858.0,29858.0,0.0,7152877.0,37281.0,7190158.0
Sacramento ,24100.0,460.0,67.0,14701.0,129.0,140.0,38801.0,589.0,207.0,76712.0,32508.0,109220.0,984.0,759.0,265.0,173.0,1249.0,932.0,230.0,204.0,434.0,0.0,0.0,0.0,47732.0,47732.0,0.0,11297651.0,99400.0,11397051.0
San Benito,346.0,0.0,0.0,820.0,7.0,0.0,1166.0,7.0,0.0,1049.0,1910.0,2959.0,0.0,0.0,20.0,7.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.0,1173.0,0.0,284777.0,374.0,285151.0
San Bernardino  ,20828.0,223.0,4.0,27867.0,547.0,219.0,48695.0,770.0,223.0,59436.0,80901.0,140337.0,587.0,236.0,1691.0,622.0,2278.0,858.0,10.0,277.0,287.0,0.0,0.0,0.0,54839.0,54839.0,0.0,13394266.0,92484.0,13486750.0
San Diego,14557.0,216.0,1.0,15639.0,286.0,156.0,30196.0,502.0,157.0,39293.0,42378.0,81671.0,460.0,239.0,763.0,322.0,1223.0,561.0,1.0,205.0,206.0,0.0,0.0,197.0,33920.0,34117.0,0.0,7619509.0,69828.0,7689337.0
San Francisco,3887.0,76.0,0.0,15343.0,187.0,356.0,19230.0,263.0,356.0,9073.0,22109.0,31182.0,140.0,93.0,349.0,246.0,489.0,339.0,0.0,488.0,488.0,0.0,0.0,0.0,21402.0,21402.0,0.0,3172357.0,77332.0,3249689.0
San Joaquin,6028.0,8.0,0.0,13100.0,186.0,60.0,19128.0,194.0,60.0,16817.0,35789.0,52606.0,21.0,10.0,677.0,297.0,698.0,307.0,0.0,83.0,83.0,0.0,0.0,0.0,20898.0,20898.0,0.0,5029100.0,10803.0,5039903.0
San Luis Obispo,1614.0,4.0,0.0,1885.0,12.0,6.0,3499.0,16.0,6.0,3654.0,3082.0,6736.0,12.0,4.0,41.0,12.0,53.0,16.0,0.0,7.0,7.0,0.0,0.0,0.0,3699.0,3699.0,0.0,696795.0,2273.0,699068.0
San Mateo,1365.0,5.0,0.0,2292.0,10.0,7.0,3657.0,15.0,7.0,3754.0,4840.0,8594.0,12.0,6.0,14.0,11.0,26.0,17.0,0.0,8.0,8.0,0.0,0.0,0.0,4599.0,4599.0,0.0,897017.0,2449.0,899466.0
