,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,,CDSS Use Only:
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,,1269877700.0
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL,
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES,
Placer,981.0,17.0,0.0,8066.0,31.0,19.0,9047.0,48.0,19.0,2537.0,15770.0,18307.0,29.0,26.0,80.0,34.0,109.0,60.0,0.0,21.0,21.0,0.0,0.0,0.0,9497.0,9497.0,0.0,2509144.0,9622.0,2518766.0,
Plumas,124.0,0.0,0.0,830.0,0.0,0.0,954.0,0.0,0.0,340.0,1504.0,1844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,1021.0,0.0,264017.0,0.0,264017.0,
Riverside,19505.0,158.0,10.0,100426.0,1014.0,239.0,119931.0,1172.0,249.0,52974.0,227862.0,280836.0,414.0,182.0,2911.0,1136.0,3325.0,1318.0,13.0,291.0,304.0,0.0,0.0,0.0,127149.0,127149.0,0.0,38972676.0,174522.0,39147198.0,
Sacramento,17994.0,361.0,4.0,78625.0,932.0,500.0,96619.0,1293.0,504.0,45752.0,163613.0,209365.0,775.0,528.0,2258.0,1233.0,3033.0,1761.0,6.0,652.0,658.0,0.0,0.0,0.0,103574.0,103574.0,0.0,30789158.0,323807.0,31112965.0,
San Benito,408.0,3.0,0.0,2313.0,21.0,2.0,2721.0,24.0,2.0,1074.0,5229.0,6303.0,6.0,3.0,51.0,23.0,57.0,26.0,0.0,3.0,3.0,0.0,0.0,0.0,2875.0,2875.0,0.0,886733.0,2985.0,889718.0,
San Bernardino,28551.0,185.0,8.0,137964.0,1018.0,328.0,166515.0,1203.0,336.0,76670.0,303068.0,379738.0,451.0,216.0,2754.0,1172.0,3205.0,1388.0,12.0,439.0,451.0,0.0,0.0,0.0,175564.0,175564.0,0.0,53659743.0,207801.0,53867544.0,
San Diego,17262.0,296.0,7.0,110485.0,1707.0,582.0,127747.0,2003.0,589.0,46544.0,220458.0,267002.0,688.0,387.0,4310.0,2059.0,4998.0,2446.0,8.0,753.0,761.0,0.0,0.0,0.0,138703.0,138703.0,0.0,38213607.0,368571.0,38582178.0,
San Francisco,2655.0,172.0,2.0,28672.0,637.0,574.0,31327.0,809.0,576.0,5848.0,41721.0,47569.0,295.0,191.0,1244.0,860.0,1539.0,1051.0,2.0,766.0,768.0,0.0,0.0,0.0,34559.0,34559.0,0.0,7479523.0,221520.0,7701043.0,
San Joaquin,9414.0,74.0,4.0,38799.0,454.0,147.0,48213.0,528.0,151.0,24205.0,89513.0,113718.0,195.0,81.0,1248.0,546.0,1443.0,627.0,4.0,213.0,217.0,0.0,0.0,0.0,51767.0,51767.0,0.0,16158901.0,101160.0,16260061.0,
San Luis Obispo,1168.0,5.0,0.0,8436.0,47.0,9.0,9604.0,52.0,9.0,2841.0,15439.0,18280.0,9.0,6.0,115.0,51.0,124.0,57.0,0.0,11.0,11.0,0.0,0.0,0.0,10331.0,10331.0,0.0,2557411.0,6452.0,2563863.0,
San Mateo,1424.0,51.0,0.0,13891.0,454.0,170.0,15315.0,505.0,170.0,3526.0,26831.0,30357.0,105.0,66.0,1095.0,545.0,1200.0,611.0,0.0,223.0,223.0,0.0,0.0,0.0,16961.0,16961.0,0.0,4337099.0,89919.0,4427018.0,
