,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Placer  ,976.0,3.0,0.0,1171.0,1.0,0.0,2147.0,4.0,0.0,2326.0,2308.0,4634.0,5.0,4.0,4.0,1.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2550.0,2550.0,0.0,534547.0,542.0,535089.0
Plumas,96.0,0.0,0.0,193.0,0.0,0.0,289.0,0.0,0.0,225.0,445.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,302.0,0.0,60230.0,0.0,60230.0
Riverside  ,13228.0,139.0,8.0,13549.0,302.0,56.0,26777.0,441.0,64.0,37641.0,40073.0,77714.0,372.0,143.0,1064.0,337.0,1436.0,480.0,16.0,67.0,83.0,0.0,0.0,0.0,32272.0,32272.0,0.0,7030337.0,38500.0,7068837.0
Sacramento,23998.0,442.0,58.0,14697.0,112.0,144.0,38695.0,554.0,202.0,76177.0,32367.0,108544.0,986.0,750.0,251.0,160.0,1237.0,910.0,202.0,201.0,403.0,0.0,0.0,0.0,42214.0,42214.0,0.0,10430556.0,99457.0,10530013.0
San Benito,357.0,0.0,0.0,831.0,8.0,1.0,1188.0,8.0,1.0,1045.0,1987.0,3032.0,0.0,0.0,26.0,8.0,26.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1197.0,1197.0,0.0,288082.0,446.0,288528.0
San Bernardino  ,21589.0,232.0,6.0,27879.0,570.0,193.0,49468.0,802.0,199.0,61625.0,80958.0,142583.0,600.0,246.0,1752.0,628.0,2352.0,874.0,13.0,244.0,257.0,0.0,0.0,0.0,57522.0,57522.0,0.0,13558143.0,97620.0,13655763.0
San Diego,14411.0,225.0,3.0,15319.0,293.0,147.0,29730.0,518.0,150.0,39027.0,41899.0,80926.0,493.0,250.0,778.0,325.0,1271.0,575.0,5.0,188.0,193.0,0.0,0.0,321.0,32511.0,32832.0,0.0,7397063.0,65992.0,7463055.0
San Francisco,4036.0,81.0,1.0,14626.0,183.0,350.0,18662.0,264.0,351.0,9588.0,21165.0,30753.0,126.0,98.0,337.0,237.0,463.0,335.0,1.0,485.0,486.0,0.0,0.0,0.0,20696.0,20696.0,0.0,3066735.0,76546.0,3143281.0
San Joaquin  ,6128.0,6.0,0.0,12619.0,161.0,73.0,18747.0,167.0,73.0,17372.0,34518.0,51890.0,17.0,6.0,699.0,298.0,716.0,304.0,0.0,106.0,106.0,0.0,0.0,0.0,20247.0,20247.0,0.0,4904378.0,12346.0,4916724.0
San Luis Obispo,1580.0,3.0,0.0,1785.0,17.0,7.0,3365.0,20.0,7.0,3593.0,3010.0,6603.0,7.0,3.0,51.0,20.0,58.0,23.0,0.0,9.0,9.0,0.0,0.0,0.0,3731.0,3731.0,0.0,693924.07,2704.0,696628.07
San Mateo,1475.0,6.0,0.0,2284.0,21.0,4.0,3759.0,27.0,4.0,3808.0,4909.0,8717.0,15.0,7.0,57.0,24.0,72.0,31.0,0.0,5.0,5.0,0.0,0.0,0.0,4719.0,4719.0,0.0,920524.0,2508.0,923032.0
Santa Barbara,3675.0,42.0,0.0,4287.0,81.0,21.0,7962.0,123.0,21.0,7243.0,10785.0,18028.0,79.0,47.0,221.0,130.0,300.0,177.0,0.0,28.0,28.0,0.0,0.0,0.0,8874.0,8874.0,0.0,1795448.0,11204.0,1806652.0
