,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
San Bernardino,28164.0,167.0,5.0,124551.0,989.0,285.0,152715.0,1156.0,290.0,76239.0,285212.0,361451.0,433.0,189.0,2806.0,1112.0,3239.0,1301.0,5.0,375.0,380.0,0.0,0.0,0.0,162623.0,162623.0,0.0,53495430.0,221451.0,53716881.0
San Diego,17322.0,387.0,1.0,93382.0,1764.0,658.0,110704.0,2151.0,659.0,47301.0,194807.0,242108.0,919.0,502.0,4599.0,2064.0,5518.0,2566.0,1.0,845.0,846.0,0.0,0.0,0.0,123589.0,123589.0,0.0,36860706.0,417201.0,37277907.0
San Francisco,2886.0,186.0,2.0,28398.0,572.0,596.0,31284.0,758.0,598.0,6285.0,41464.0,47749.0,340.0,214.0,1063.0,801.0,1403.0,1015.0,2.0,822.0,824.0,0.0,0.0,0.0,34467.0,34467.0,0.0,7589706.13,228951.55,7818657.68
San Joaquin  a/,9400.0,69.0,1.0,34248.0,468.0,103.0,43648.0,537.0,104.0,24243.0,81902.0,106145.0,170.0,76.0,1323.0,570.0,1493.0,646.0,1.0,156.0,157.0,0.0,0.0,0.0,47238.0,47238.0,0.0,15922235.0,108792.0,16031027.0
San Luis Obispo,1128.0,7.0,0.0,7627.0,46.0,14.0,8755.0,53.0,14.0,2828.0,14233.0,17061.0,14.0,7.0,117.0,48.0,131.0,55.0,0.0,19.0,19.0,0.0,0.0,0.0,9926.0,9926.0,0.0,2476066.0,7586.0,2483652.0
San Mateo,1784.0,47.0,0.0,11416.0,376.0,137.0,13200.0,423.0,137.0,4515.0,22438.0,26953.0,87.0,55.0,952.0,445.0,1039.0,500.0,0.0,185.0,185.0,0.0,0.0,0.0,14766.0,14766.0,0.0,4074924.94,78812.57,4153737.51
Santa Barbara,2453.0,5.0,0.0,11363.0,76.0,13.0,13816.0,81.0,13.0,6176.0,24914.0,31090.0,12.0,5.0,220.0,83.0,232.0,88.0,0.0,19.0,19.0,0.0,0.0,0.0,15474.0,15474.0,0.0,4506524.89,11612.62,4518137.51
Santa Clara,7271.0,94.0,2.0,40869.0,782.0,694.0,48140.0,876.0,696.0,17576.0,85270.0,102846.0,177.0,114.0,1628.0,1092.0,1805.0,1206.0,2.0,1054.0,1056.0,0.0,0.0,0.0,53746.0,53746.0,0.0,15574588.0,304015.0,15878603.0
Santa Cruz,1213.0,3.0,0.0,9646.0,50.0,7.0,10859.0,53.0,7.0,2972.0,18141.0,21113.0,6.0,4.0,125.0,56.0,131.0,60.0,0.0,7.0,7.0,0.0,0.0,0.0,12316.0,12316.0,0.0,3179470.0,7447.0,3186917.0
Shasta,1774.0,3.0,0.0,10585.0,19.0,13.0,12359.0,22.0,13.0,4490.0,20308.0,24798.0,7.0,3.0,38.0,20.0,45.0,23.0,0.0,19.0,19.0,0.0,0.0,0.0,13223.0,13223.0,0.0,3575112.0,5993.0,3581105.0
Sierra,17.0,0.0,0.0,136.0,0.0,0.0,153.0,0.0,0.0,46.0,234.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,165.0,0.0,41201.0,0.0,41201.0
Siskiyou ,437.0,0.0,0.0,2283.0,4.0,1.0,2720.0,4.0,1.0,1237.0,4845.0,6082.0,0.0,0.0,7.0,4.0,7.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2905.0,2905.0,0.0,880036.0,640.0,880676.0
Solano,3303.0,24.0,0.0,16604.0,142.0,33.0,19907.0,166.0,33.0,7890.0,32017.0,39907.0,46.0,29.0,374.0,166.0,420.0,195.0,0.0,38.0,38.0,0.0,0.0,0.0,21861.0,21861.0,0.0,6135902.95,28375.25,6164278.2
Sonoma,2202.0,36.0,1.0,15892.0,205.0,57.0,18094.0,241.0,58.0,5346.0,28090.0,33436.0,91.0,37.0,512.0,236.0,603.0,273.0,1.0,70.0,71.0,0.0,0.0,0.0,17450.0,17450.0,0.0,5117414.78,38967.83,5156382.61
Stanislaus,7217.0,22.0,1.0,33030.0,119.0,36.0,40247.0,141.0,37.0,19000.0,69595.0,88595.0,57.0,26.0,329.0,129.0,386.0,155.0,1.0,52.0,53.0,0.0,0.0,0.0,42322.0,42322.0,0.0,12922472.0,27502.0,12949974.0
Sutter,816.0,12.0,0.0,4025.0,36.0,7.0,4841.0,48.0,7.0,2297.0,9280.0,11577.0,25.0,15.0,101.0,44.0,126.0,59.0,0.0,9.0,9.0,0.0,0.0,0.0,5200.0,5200.0,0.0,1667472.0,9323.0,1676795.0
Tehama,747.0,1.0,0.0,3438.0,14.0,7.0,4185.0,15.0,7.0,2042.0,7726.0,9768.0,3.0,1.0,49.0,16.0,52.0,17.0,0.0,9.0,9.0,0.0,0.0,0.0,4487.0,4487.0,0.0,1409155.0,3689.0,1412844.0
Trinity,80.0,0.0,0.0,737.0,0.0,1.0,817.0,0.0,1.0,197.0,1442.0,1639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,892.0,892.0,0.0,239826.0,367.0,240193.0
Tulare,8675.0,65.0,0.0,35375.0,528.0,149.0,44050.0,593.0,149.0,23804.0,84168.0,107972.0,157.0,66.0,1510.0,589.0,1667.0,655.0,0.0,182.0,182.0,0.0,0.0,0.0,47596.0,47596.0,0.0,15889203.0,102751.0,15991954.0
Tuolumne,387.0,0.0,0.0,2356.0,7.0,1.0,2743.0,7.0,1.0,979.0,4113.0,5092.0,0.0,0.0,20.0,7.0,20.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,2928.0,2928.0,0.0,752567.0,1385.0,753952.0
Ventura,3595.0,20.0,0.0,27568.0,236.0,71.0,31163.0,256.0,71.0,8994.0,55434.0,64428.0,39.0,25.0,603.0,272.0,642.0,297.0,0.0,91.0,91.0,0.0,0.0,0.0,33830.0,33830.0,0.0,9517710.47,45619.81,9563330.28
Yolo,989.0,35.0,0.0,6581.0,111.0,76.0,7570.0,146.0,76.0,2550.0,13687.0,16237.0,88.0,55.0,284.0,144.0,372.0,199.0,0.0,99.0,99.0,0.0,0.0,0.0,8403.0,8403.0,0.0,2447653.0,39965.0,2487618.0
Yuba,974.0,5.0,0.0,4686.0,24.0,5.0,5660.0,29.0,5.0,2615.0,10106.0,12721.0,10.0,5.0,75.0,27.0,85.0,32.0,0.0,5.0,5.0,0.0,0.0,0.0,6005.0,6005.0,0.0,1887517.0,5057.0,1892574.0
