,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
San Bernardino,28404.0,153.0,4.0,117735.0,969.0,296.0,146139.0,1122.0,300.0,76816.0,271942.0,348758.0,405.0,174.0,2728.0,1087.0,3133.0,1261.0,4.0,382.0,386.0,0.0,0.0,0.0,156029.0,156029.0,0.0,51578437.0,211841.0,51790278.0
San Diego  a/,17700.0,408.0,2.0,89488.0,1777.0,706.0,107188.0,2185.0,708.0,48277.0,186344.0,234621.0,979.0,554.0,4564.0,2059.0,5543.0,2613.0,2.0,914.0,916.0,0.0,0.0,0.0,119701.0,119701.0,0.0,35916104.0,432066.0,36348170.0
San Francisco,2952.0,170.0,6.0,28721.0,621.0,639.0,31673.0,791.0,645.0,6402.0,41482.0,47884.0,327.0,197.0,1149.0,859.0,1476.0,1056.0,7.0,886.0,893.0,0.0,0.0,0.0,34851.0,34851.0,0.0,7641928.76,242387.24,7884316.0
San Joaquin,9588.0,68.0,0.0,33225.0,479.0,100.0,42813.0,547.0,100.0,24580.0,80197.0,104777.0,161.0,78.0,1398.0,569.0,1559.0,647.0,0.0,155.0,155.0,0.0,0.0,0.0,46419.0,46419.0,0.0,15795354.0,103482.0,15898836.0
San Luis Obispo,1254.0,6.0,0.0,7640.0,57.0,15.0,8894.0,63.0,15.0,3111.0,14202.0,17313.0,16.0,7.0,150.0,62.0,166.0,69.0,0.0,16.0,16.0,0.0,0.0,0.0,10159.0,10159.0,0.0,2531756.0,8607.0,2540363.0
San Mateo,1943.0,64.0,0.0,10876.0,344.0,129.0,12819.0,408.0,129.0,4880.0,21229.0,26109.0,138.0,73.0,842.0,412.0,980.0,485.0,0.0,166.0,166.0,0.0,0.0,0.0,14698.0,14698.0,0.0,4026666.0,75386.0,4102052.0
Santa Barbara,3252.0,8.0,0.0,11479.0,82.0,13.0,14731.0,90.0,13.0,7903.0,25240.0,33143.0,20.0,9.0,270.0,88.0,290.0,97.0,0.0,19.0,19.0,0.0,0.0,0.0,16670.0,16670.0,0.0,4884382.83,11251.58,4895634.41
Santa Clara,7771.0,126.0,0.0,39013.0,756.0,695.0,46784.0,882.0,695.0,18928.0,81242.0,100170.0,255.0,156.0,1591.0,1040.0,1846.0,1196.0,0.0,1048.0,1048.0,0.0,0.0,0.0,52622.0,52622.0,0.0,15368187.0,310746.0,15678933.0
Santa Cruz,1467.0,3.0,0.0,9788.0,69.0,11.0,11255.0,72.0,11.0,3583.0,18456.0,22039.0,8.0,4.0,190.0,78.0,198.0,82.0,0.0,11.0,11.0,0.0,0.0,0.0,13156.0,13156.0,0.0,3440727.0,10474.0,3451201.0
Shasta,1847.0,3.0,0.0,10544.0,16.0,15.0,12391.0,19.0,15.0,4644.0,20210.0,24854.0,5.0,3.0,36.0,19.0,41.0,22.0,0.0,23.0,23.0,0.0,0.0,0.0,13310.0,13310.0,0.0,3601814.0,6022.0,3607836.0
Sierra,21.0,0.0,0.0,120.0,0.0,0.0,141.0,0.0,0.0,60.0,218.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,160.0,0.0,39819.0,0.0,39819.0
Siskiyou,475.0,1.0,0.0,2219.0,4.0,2.0,2694.0,5.0,2.0,1274.0,4832.0,6106.0,4.0,1.0,7.0,4.0,11.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,2924.0,2924.0,0.0,899676.0,634.0,900310.0
Solano,3423.0,25.0,1.0,16007.0,152.0,37.0,19430.0,177.0,38.0,8262.0,30820.0,39082.0,53.0,29.0,425.0,175.0,478.0,204.0,1.0,49.0,50.0,0.0,0.0,0.0,21612.0,21612.0,0.0,6102128.31,30813.57,6132941.88
Sonoma,2434.0,42.0,0.0,15268.0,205.0,51.0,17702.0,247.0,51.0,5826.0,27006.0,32832.0,96.0,43.0,556.0,228.0,652.0,271.0,0.0,61.0,61.0,0.0,0.0,0.0,19728.0,19728.0,0.0,5116875.88,36173.87,5153049.75
Stanislaus,7347.0,25.0,3.0,31738.0,131.0,24.0,39085.0,156.0,27.0,19478.0,67541.0,87019.0,54.0,29.0,379.0,144.0,433.0,173.0,4.0,35.0,39.0,0.0,0.0,0.0,41088.0,41088.0,0.0,12663312.0,27997.0,12691309.0
Sutter,888.0,12.0,0.0,4006.0,42.0,5.0,4894.0,54.0,5.0,2441.0,9415.0,11856.0,25.0,17.0,120.0,49.0,145.0,66.0,0.0,6.0,6.0,0.0,0.0,0.0,5232.0,5232.0,0.0,1712184.0,8815.0,1720999.0
Tehama,769.0,3.0,1.0,3354.0,19.0,3.0,4123.0,22.0,4.0,2081.0,7594.0,9675.0,9.0,3.0,62.0,21.0,71.0,24.0,2.0,3.0,5.0,0.0,0.0,0.0,4556.0,4556.0,0.0,1409869.0,3673.0,1413542.0
Trinity,96.0,0.0,0.0,652.0,1.0,2.0,748.0,1.0,2.0,236.0,1282.0,1518.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,800.0,800.0,0.0,222198.0,1202.0,223400.0
Tulare,9301.0,64.0,1.0,34349.0,555.0,136.0,43650.0,619.0,137.0,25143.0,82432.0,107575.0,158.0,66.0,1631.0,629.0,1789.0,695.0,1.0,167.0,168.0,0.0,0.0,0.0,47024.0,47024.0,0.0,15977517.0,100653.0,16078170.0
Tuolumne  ,372.0,1.0,0.0,2358.0,6.0,1.0,2730.0,7.0,1.0,948.0,4151.0,5099.0,2.0,1.0,15.0,6.0,17.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,2951.0,2951.0,0.0,750003.0,1287.0,751290.0
Ventura,3788.0,20.0,0.0,27237.0,206.0,48.0,31025.0,226.0,48.0,9510.0,54550.0,64060.0,39.0,25.0,552.0,232.0,591.0,257.0,0.0,57.0,57.0,0.0,0.0,0.0,33479.0,33479.0,0.0,9429345.1,35874.0,9465219.1
Yolo  ,1067.0,41.0,2.0,6416.0,125.0,67.0,7483.0,166.0,69.0,2752.0,13460.0,16212.0,91.0,63.0,338.0,156.0,429.0,219.0,4.0,84.0,88.0,0.0,0.0,0.0,8279.0,8279.0,0.0,2440909.0,40695.0,2481604.0
Yuba,1000.0,4.0,0.0,4694.0,32.0,8.0,5694.0,36.0,8.0,2645.0,10166.0,12811.0,10.0,2.0,100.0,35.0,110.0,37.0,0.0,9.0,9.0,0.0,0.0,0.0,6190.0,6190.0,0.0,1925817.0,5280.0,1931097.0
