,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Santa Barbara,3093.0,11.0,0.0,10476.0,77.0,11.0,13569.0,88.0,11.0,7565.0,23177.0,30742.0,27.0,12.0,236.0,84.0,263.0,96.0,0.0,19.0,19.0,0.0,0.0,0.0,15646.0,15646.0,0.0,4568142.09,10857.85,4578999.94
Santa Clara,8080.0,137.0,2.0,36891.0,705.0,637.0,44971.0,842.0,639.0,19745.0,77369.0,97114.0,276.0,166.0,1479.0,981.0,1755.0,1147.0,2.0,965.0,967.0,0.0,0.0,0.0,51855.0,51855.0,0.0,15125333.0,301325.0,15426658.0
Santa Cruz,1534.0,4.0,0.0,8493.0,59.0,10.0,10027.0,63.0,10.0,3674.0,16654.0,20328.0,9.0,5.0,160.0,65.0,169.0,70.0,0.0,10.0,10.0,0.0,0.0,0.0,11891.0,11891.0,0.0,3210194.84,8865.86,3219060.7
Shasta,1910.0,2.0,0.0,10044.0,20.0,13.0,11954.0,22.0,13.0,4856.0,19465.0,24321.0,3.0,2.0,48.0,23.0,51.0,25.0,0.0,21.0,21.0,0.0,0.0,0.0,12733.0,12733.0,0.0,3525661.0,6705.0,3532366.0
Sierra,21.0,0.0,0.0,103.0,0.0,0.0,124.0,0.0,0.0,61.0,201.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,136.0,0.0,0.0,0.0,0.0
Siskiyou,484.0,2.0,0.0,2126.0,3.0,2.0,2610.0,5.0,2.0,1268.0,4691.0,5959.0,5.0,2.0,7.0,3.0,12.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,2820.0,2820.0,0.0,874236.0,748.0,874984.0
Solano,3491.0,24.0,0.0,15415.0,162.0,46.0,18906.0,186.0,46.0,8568.0,29697.0,38265.0,53.0,26.0,434.0,182.0,487.0,208.0,0.0,59.0,59.0,0.0,0.0,0.0,20942.0,20942.0,0.0,5967399.78,32161.56,5999561.34
Sonoma,2444.0,38.0,0.0,13944.0,176.0,50.0,16388.0,214.0,50.0,5854.0,25129.0,30983.0,91.0,39.0,462.0,206.0,553.0,245.0,0.0,57.0,57.0,0.0,0.0,0.0,18410.0,18410.0,0.0,4801690.28,33690.72,4835381.0
Stanislaus,7385.0,23.0,2.0,30440.0,129.0,21.0,37825.0,152.0,23.0,19641.0,65258.0,84899.0,57.0,26.0,376.0,138.0,433.0,164.0,3.0,31.0,34.0,0.0,0.0,0.0,40521.0,40521.0,0.0,12492920.0,27232.0,12520152.0
Sutter,941.0,10.0,0.0,3780.0,36.0,6.0,4721.0,46.0,6.0,2583.0,8891.0,11474.0,20.0,12.0,108.0,46.0,128.0,58.0,0.0,7.0,7.0,0.0,0.0,0.0,5097.0,5097.0,0.0,1674374.19,7919.0,1682293.19
Tehama,779.0,4.0,1.0,3193.0,13.0,3.0,3972.0,17.0,4.0,2136.0,7202.0,9338.0,11.0,4.0,37.0,15.0,48.0,19.0,2.0,3.0,5.0,0.0,0.0,0.0,4330.0,4330.0,0.0,1359196.0,2431.0,1361627.0
Trinity,89.0,0.0,0.0,637.0,1.0,2.0,726.0,1.0,2.0,219.0,1304.0,1523.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,796.0,796.0,0.0,221983.0,1202.0,223185.0
Tulare,9227.0,72.0,1.0,32401.0,498.0,125.0,41628.0,570.0,126.0,25161.0,80670.0,105831.0,190.0,74.0,1468.0,554.0,1658.0,628.0,1.0,151.0,152.0,0.0,0.0,0.0,46909.0,46909.0,0.0,15770084.0,96254.0,15866338.0
Tuolumne,379.0,0.0,0.0,2349.0,6.0,1.0,2728.0,6.0,1.0,958.0,4229.0,5187.0,0.0,0.0,17.0,6.0,17.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,2914.0,2914.0,0.0,761129.0,1076.0,762205.0
Ventura,3988.0,23.0,0.0,26204.0,195.0,27.0,30192.0,218.0,27.0,10125.0,52367.0,62492.0,51.0,28.0,524.0,222.0,575.0,250.0,0.0,32.0,32.0,0.0,0.0,0.0,32781.0,32781.0,0.0,9241434.06,29502.17,9270936.23
Yolo,1111.0,44.0,1.0,6130.0,117.0,54.0,7241.0,161.0,55.0,2907.0,12849.0,15756.0,96.0,65.0,323.0,151.0,419.0,216.0,2.0,73.0,75.0,0.0,0.0,0.0,8061.0,8061.0,0.0,2393075.0,36122.0,2429197.0
Yuba,1043.0,2.0,0.0,4563.0,29.0,12.0,5606.0,31.0,12.0,2770.0,9935.0,12705.0,4.0,2.0,77.0,34.0,81.0,36.0,0.0,18.0,18.0,0.0,0.0,0.0,6038.0,6038.0,0.0,1895519.0,7696.0,1903215.0
