,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Plumas,117.0,0.0,0.0,667.0,0.0,1.0,784.0,0.0,1.0,320.0,1368.0,1688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,868.0,868.0,0.0,242718.0,200.0,242918.0
Riverside,19823.0,144.0,5.0,91919.0,1200.0,261.0,111742.0,1344.0,266.0,54144.0,215842.0,269986.0,410.0,160.0,3601.0,1310.0,4011.0,1470.0,6.0,328.0,334.0,0.0,0.0,0.0,119704.0,119704.0,0.0,39334219.0,232923.0,39567142.0
Sacramento,17617.0,351.0,2.0,73655.0,942.0,399.0,91272.0,1293.0,401.0,44475.0,158945.0,203420.0,772.0,516.0,2411.0,1271.0,3183.0,1787.0,2.0,535.0,537.0,0.0,0.0,0.0,98443.0,98443.0,0.0,31543993.0,32638.0,31576631.0
San Benito,406.0,6.0,0.0,2127.0,30.0,4.0,2533.0,36.0,4.0,1111.0,4835.0,5946.0,12.0,6.0,82.0,0.0,94.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,2731.0,2731.0,0.0,856782.0,4773.0,861555.0
San Bernardino,28134.0,176.0,6.0,126261.0,975.0,268.0,154395.0,1151.0,274.0,75990.0,287559.0,363549.0,449.0,199.0,2745.0,1103.0,3194.0,1302.0,6.0,348.0,354.0,0.0,0.0,0.0,164942.0,164942.0,0.0,53897695.0,213629.0,54111324.0
San Diego,17362.0,377.0,3.0,94092.0,1710.0,601.0,111454.0,2087.0,604.0,47390.0,196974.0,244364.0,898.0,490.0,4432.0,1990.0,5330.0,2480.0,5.0,779.0,784.0,0.0,0.0,0.0,123576.0,123576.0,0.0,36802005.36,397428.69,37199434.05
San Francisco,2792.0,179.0,2.0,28314.0,565.0,543.0,31106.0,744.0,545.0,6063.0,41459.0,47522.0,337.0,206.0,1063.0,774.0,1400.0,980.0,2.0,753.0,755.0,0.0,0.0,0.0,33743.0,33743.0,0.0,7496627.32,210421.18,7707048.5
San Joaquin  a/,9389.0,68.0,2.0,34811.0,472.0,94.0,44200.0,540.0,96.0,24136.0,82682.0,106818.0,174.0,74.0,1367.0,582.0,1541.0,656.0,2.0,142.0,144.0,0.0,0.0,0.0,47637.0,47637.0,0.0,16071660.0,105098.0,16176758.0
San Luis Obispo,1177.0,6.0,0.0,7682.0,51.0,9.0,8859.0,57.0,9.0,2986.0,14256.0,17242.0,14.0,6.0,127.0,52.0,141.0,58.0,0.0,13.0,13.0,0.0,0.0,0.0,9914.0,9914.0,0.0,2491422.0,6913.0,2498335.0
San Mateo,1763.0,53.0,0.0,11528.0,384.0,137.0,13291.0,437.0,137.0,4395.0,22682.0,27077.0,102.0,61.0,959.0,462.0,1061.0,523.0,0.0,188.0,188.0,0.0,0.0,0.0,14871.0,14871.0,0.0,4108499.47,80974.88,4189474.35
Santa Barbara,2496.0,7.0,1.0,11207.0,79.0,13.0,13703.0,86.0,14.0,6315.0,24634.0,30949.0,16.0,8.0,230.0,83.0,246.0,91.0,2.0,20.0,22.0,0.0,0.0,0.0,15307.0,15307.0,0.0,4415473.86,13245.24,4428719.1
Santa Clara,7389.0,103.0,2.0,41570.0,768.0,683.0,48959.0,871.0,685.0,17813.0,86634.0,104447.0,193.0,128.0,1597.0,1078.0,1790.0,1206.0,2.0,1041.0,1043.0,0.0,0.0,0.0,54300.0,54300.0,0.0,15773256.0,300140.0,16073396.0
Santa Cruz,1280.0,1.0,0.0,9679.0,56.0,7.0,10959.0,57.0,7.0,3168.0,18193.0,21361.0,1.0,1.0,147.0,62.0,148.0,63.0,0.0,7.0,7.0,0.0,0.0,0.0,12411.0,12411.0,0.0,3197183.0,8449.0,3205632.0
