,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Sacramento,24082.0,441.0,59.0,14589.0,112.0,143.0,38671.0,553.0,202.0,76462.0,32466.0,108928.0,981.0,752.0,260.0,161.0,1241.0,913.0,204.0,199.0,403.0,0.0,0.0,0.0,42288.0,42288.0,0.0,10458092.0,98639.0,10556731.0
San Benito,350.0,0.0,0.0,834.0,7.0,1.0,1184.0,7.0,1.0,1048.0,1968.0,3016.0,0.0,0.0,22.0,7.0,22.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1192.0,1192.0,0.0,289034.0,426.0,289460.0
San Bernardino  ,21462.0,228.0,6.0,27801.0,578.0,214.0,49263.0,806.0,220.0,61307.0,80546.0,141853.0,583.0,244.0,1735.0,648.0,2318.0,892.0,13.0,268.0,281.0,0.0,0.0,0.0,56447.0,56447.0,0.0,13569013.0,93328.0,13662341.0
San Diego,15118.0,229.0,3.0,15828.0,295.0,145.0,30946.0,524.0,148.0,40814.0,43189.0,84003.0,522.0,260.0,791.0,332.0,1313.0,592.0,5.0,187.0,192.0,0.0,0.0,290.0,33895.0,34185.0,0.0,7600149.0,67154.0,7667303.0
San Francisco,3990.0,74.0,0.0,15284.0,185.0,371.0,19274.0,259.0,371.0,9464.0,21945.0,31409.0,140.0,91.0,367.0,241.0,507.0,332.0,0.0,518.0,518.0,0.0,0.0,0.0,21938.0,21938.0,0.0,3226184.0,83991.0,3310175.0
San Joaquin,6120.0,8.0,0.0,12844.0,171.0,67.0,18964.0,179.0,67.0,17321.0,34940.0,52261.0,18.0,8.0,742.0,324.0,760.0,332.0,0.0,96.0,96.0,0.0,0.0,0.0,20883.0,20883.0,0.0,5019757.0,11523.0,5031280.0
San Luis Obispo,1581.0,4.0,0.0,1785.0,11.0,6.0,3366.0,15.0,6.0,3528.0,3051.0,6579.0,11.0,4.0,16.0,20.0,27.0,24.0,0.0,8.0,8.0,0.0,0.0,0.0,3819.0,3819.0,0.0,705028.61,2273.0,707301.61
San Mateo,1450.0,4.0,1.0,2368.0,14.0,6.0,3818.0,18.0,7.0,3751.0,4802.0,8553.0,10.0,5.0,31.0,18.0,41.0,23.0,2.0,8.0,10.0,0.0,0.0,0.0,4890.0,4890.0,0.0,945847.0,3081.0,948928.0
Santa Barbara,3719.0,31.0,0.0,4408.0,82.0,24.0,8127.0,113.0,24.0,6783.0,11259.0,18042.0,52.0,31.0,231.0,135.0,283.0,166.0,0.0,31.0,31.0,0.0,0.0,0.0,9075.0,9075.0,0.0,1833095.0,11447.0,1844542.0
Santa Clara,9773.0,111.0,2.0,13174.0,228.0,377.0,22947.0,339.0,379.0,25481.0,29836.0,55317.0,250.0,117.0,550.0,296.0,800.0,413.0,2.0,534.0,536.0,0.0,0.0,0.0,23640.0,23640.0,0.0,5302133.0,102773.0,5404906.0
Santa Cruz,1687.0,9.0,0.0,3136.0,18.0,2.0,4823.0,27.0,2.0,3986.0,6543.0,10529.0,18.0,10.0,34.0,19.0,52.0,29.0,0.0,3.0,3.0,0.0,0.0,0.0,5429.0,5429.0,0.0,1036710.0,1823.0,1038533.0
Shasta,1803.0,0.0,0.0,3811.0,3.0,4.0,5614.0,3.0,4.0,4657.0,8876.0,13533.0,0.0,0.0,5.0,3.0,5.0,3.0,0.0,5.0,5.0,0.0,0.0,0.0,6247.0,6247.0,0.0,1278690.0,974.0,1279664.0
Sierra,22.0,0.0,0.0,45.0,0.0,0.0,67.0,0.0,0.0,69.0,97.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,0.0,13093.0,0.0,13093.0
Siskiyou,579.0,0.0,0.0,1170.0,5.0,1.0,1749.0,5.0,1.0,1618.0,2558.0,4176.0,0.0,0.0,14.0,5.0,14.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1953.0,1953.0,0.0,392894.0,500.0,393394.0
Solano,3077.0,3.0,0.0,3514.0,14.0,11.0,6591.0,17.0,11.0,8292.0,7862.0,16154.0,10.0,3.0,27.0,19.0,37.0,22.0,0.0,18.0,18.0,0.0,0.0,0.0,7469.0,7469.0,0.0,1523050.0,3514.0,1526564.0
Sonoma,1846.0,5.0,0.0,4115.0,19.0,6.0,5961.0,24.0,6.0,4310.0,8365.0,12675.0,14.0,7.0,48.0,22.0,62.0,29.0,0.0,6.0,6.0,0.0,0.0,0.0,6728.0,6728.0,0.0,1264927.0,3593.0,1268520.0
Stanislaus  ,6175.0,55.0,2.0,8182.0,101.0,15.0,14357.0,156.0,17.0,16891.0,21664.0,38555.0,132.0,64.0,331.0,113.0,463.0,177.0,2.0,20.0,22.0,0.0,0.0,0.0,15858.0,15858.0,0.0,3622797.0,13609.0,3636406.0
Sutter,516.0,1.0,0.0,1534.0,9.0,1.0,2050.0,10.0,1.0,1457.0,4107.0,5564.0,5.0,1.0,20.0,9.0,25.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,2200.0,2200.0,0.0,508767.0,911.0,509678.0
Tehama,699.0,6.0,1.0,1325.0,16.0,5.0,2024.0,22.0,6.0,1893.0,3289.0,5182.0,14.0,6.0,33.0,22.0,47.0,28.0,4.0,6.0,10.0,0.0,0.0,0.0,2268.0,2268.0,0.0,483961.0,3805.0,487766.0
Trinity,113.0,0.0,0.0,264.0,0.0,0.0,377.0,0.0,0.0,315.0,610.0,925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,377.0,0.0,88218.0,0.0,88218.0
Tulare,8399.0,103.0,3.0,12721.0,365.0,51.0,21120.0,468.0,54.0,23400.0,35128.0,58528.0,237.0,109.0,1090.0,767.0,1327.0,876.0,3.0,148.0,151.0,0.0,0.0,0.0,24159.0,24159.0,0.0,5389118.0,28207.0,5417325.0
Tuolumne,361.0,0.0,0.0,835.0,0.0,1.0,1196.0,0.0,1.0,934.0,1870.0,2804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1282.0,1282.0,0.0,247665.0,149.0,247814.0
Ventura,4028.0,15.0,4.0,6449.0,103.0,64.0,10477.0,118.0,68.0,10998.0,15359.0,26357.0,43.0,16.0,262.0,118.0,305.0,134.0,15.0,96.0,111.0,0.0,0.0,0.0,11502.0,11502.0,0.0,2459987.0,21525.0,2481512.0
Yolo,1312.0,12.0,1.0,2029.0,34.0,18.0,3341.0,46.0,19.0,3470.0,4960.0,8430.0,32.0,13.0,110.0,74.0,142.0,87.0,1.0,28.0,29.0,0.0,0.0,0.0,3406.0,3406.0,0.0,812451.0,9774.0,822225.0
Yuba,956.0,0.0,0.0,1935.0,4.0,0.0,2891.0,4.0,0.0,2998.0,5206.0,8204.0,0.0,0.0,17.0,4.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3101.0,3101.0,0.0,739619.0,371.0,739990.0
,a/  County reporting revised data:  Glenn.,,,,,,,,,a/  County reporting revised data:  Glenn.,,,,,,,,,a/  County reporting revised data:  Glenn.,,,,,,,,,a/  County reporting revised data:  Glenn.,,
