county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Mariposa,13.0,14.0,-1.0,225.0,238.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,84.0,81.0,1.0,0.0,1.0,2.0,1.0,1.0,209.0,86.0,83.0,1.0,0.0,1.0,2.0,1.0,1.0,7.0,116.0,123.0,29.0,0.0,0.0,0.0,2015,JUL,3.0,2015-07-01
Mendocino,277.0,282.0,-5.0,1707.0,1984.0,82.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1684.0,823.0,803.0,13.0,6.0,7.0,7.0,4.0,3.0,1766.0,869.0,849.0,13.0,6.0,7.0,7.0,4.0,3.0,36.0,861.0,897.0,218.0,0.0,3.0,3.0,2015,JUL,3.0,2015-07-01
Merced,396.0,407.0,-11.0,4623.0,5019.0,245.0,140.0,131.0,5.0,3.0,2.0,4.0,3.0,1.0,4388.0,1680.0,1604.0,50.0,36.0,14.0,26.0,19.0,7.0,4633.0,1820.0,1735.0,55.0,39.0,16.0,30.0,22.0,8.0,105.0,2708.0,2813.0,386.0,0.0,31.0,31.0,2015,JUL,3.0,2015-07-01
Modoc,17.0,17.0,0.0,134.0,151.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,50.0,46.0,2.0,2.0,0.0,2.0,2.0,0.0,131.0,50.0,46.0,2.0,2.0,0.0,2.0,2.0,0.0,10.0,71.0,81.0,20.0,0.0,0.0,0.0,2015,JUL,3.0,2015-07-01
Mono,25.0,25.0,0.0,117.0,142.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,71.0,73.0,26.0,0.0,0.0,0.0,2015,JUL,3.0,2015-07-01
Monterey,682.0,693.0,-11.0,5511.0,6193.0,144.0,66.0,59.0,6.0,5.0,1.0,1.0,0.0,1.0,5371.0,1628.0,1588.0,20.0,14.0,6.0,20.0,14.0,6.0,5515.0,1694.0,1647.0,26.0,19.0,7.0,21.0,14.0,7.0,78.0,3743.0,3821.0,678.0,0.0,2.0,2.0,2015,JUL,3.0,2015-07-01
Napa,160.0,162.0,-2.0,1121.0,1281.0,29.0,10.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,1064.0,274.0,267.0,5.0,0.0,5.0,2.0,1.0,1.0,1093.0,284.0,275.0,5.0,0.0,5.0,4.0,3.0,1.0,19.0,790.0,809.0,188.0,0.0,2.0,2.0,2015,JUL,3.0,2015-07-01
Nevada,208.0,211.0,-3.0,1055.0,1263.0,19.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.0,457.0,412.0,13.0,6.0,7.0,32.0,19.0,13.0,1140.0,462.0,417.0,13.0,6.0,7.0,32.0,19.0,13.0,14.0,664.0,678.0,123.0,0.0,30.0,30.0,2015,JUL,3.0,2015-07-01
Orange,167.0,167.0,0.0,16528.0,16695.0,1240.0,330.0,322.0,5.0,1.0,4.0,3.0,1.0,2.0,15229.0,5964.0,5935.0,24.0,6.0,18.0,5.0,2.0,3.0,16469.0,6294.0,6257.0,29.0,7.0,22.0,8.0,3.0,5.0,910.0,9265.0,10175.0,226.0,0.0,43.0,43.0,2015,JUL,3.0,2015-07-01
Placer,20.0,19.0,1.0,1338.0,1358.0,12.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1324.0,650.0,615.0,20.0,0.0,20.0,15.0,0.0,15.0,1336.0,655.0,619.0,20.0,0.0,20.0,16.0,0.0,16.0,7.0,674.0,681.0,22.0,0.0,0.0,0.0,2015,JUL,3.0,2015-07-01
