county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Mariposa,27.0,29.0,-2.0,209.0,236.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,85.0,83.0,2.0,0.0,2.0,0.0,0.0,0.0,209.0,90.0,88.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,117.0,119.0,27.0,0.0,4.0,4.0,2015,OCT,4.0,2015-10-01
Mendocino,215.0,218.0,-3.0,1398.0,1613.0,58.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1367.0,661.0,635.0,12.0,5.0,7.0,14.0,5.0,9.0,1425.0,693.0,667.0,12.0,5.0,7.0,14.0,5.0,9.0,26.0,706.0,732.0,188.0,0.0,1.0,1.0,2015,OCT,4.0,2015-10-01
Merced,378.0,386.0,-8.0,4631.0,5009.0,242.0,131.0,122.0,6.0,3.0,3.0,3.0,3.0,0.0,4301.0,1590.0,1519.0,35.0,21.0,14.0,36.0,25.0,11.0,4543.0,1721.0,1641.0,41.0,24.0,17.0,39.0,28.0,11.0,111.0,2711.0,2822.0,466.0,0.0,8.0,8.0,2015,OCT,4.0,2015-10-01
Modoc,20.0,20.0,0.0,138.0,158.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,79.0,82.0,11.0,0.0,0.0,0.0,2015,OCT,4.0,2015-10-01
Mono,26.0,26.0,0.0,181.0,207.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,78.0,77.0,1.0,0.0,1.0,0.0,0.0,0.0,194.0,78.0,77.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,115.0,116.0,13.0,0.0,0.0,0.0,2015,OCT,4.0,2015-10-01
Monterey,665.0,678.0,-13.0,8866.0,9531.0,289.0,132.0,123.0,5.0,3.0,2.0,4.0,2.0,2.0,8132.0,2443.0,2354.0,44.0,27.0,17.0,45.0,26.0,19.0,8421.0,2575.0,2477.0,49.0,30.0,19.0,49.0,28.0,21.0,157.0,5689.0,5846.0,1110.0,0.0,0.0,0.0,2015,OCT,4.0,2015-10-01
Napa,187.0,188.0,-1.0,994.0,1181.0,19.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,317.0,307.0,6.0,4.0,2.0,4.0,3.0,1.0,1035.0,327.0,317.0,6.0,4.0,2.0,4.0,3.0,1.0,9.0,699.0,708.0,146.0,0.0,0.0,0.0,2015,OCT,4.0,2015-10-01
Nevada,122.0,123.0,-1.0,944.0,1066.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,951.0,420.0,386.0,15.0,8.0,7.0,19.0,6.0,13.0,961.0,425.0,391.0,15.0,8.0,7.0,19.0,6.0,13.0,5.0,531.0,536.0,105.0,1.0,18.0,19.0,2015,OCT,4.0,2015-10-01
Orange,226.0,226.0,0.0,14559.0,14785.0,959.0,259.0,256.0,2.0,0.0,2.0,1.0,0.0,1.0,13612.0,5616.0,5546.0,55.0,6.0,49.0,15.0,6.0,9.0,14571.0,5875.0,5802.0,57.0,6.0,51.0,16.0,6.0,10.0,700.0,7996.0,8696.0,214.0,0.0,32.0,32.0,2015,OCT,4.0,2015-10-01
Placer,22.0,22.0,0.0,1230.0,1252.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1240.0,614.0,575.0,23.0,0.0,23.0,16.0,0.0,16.0,1246.0,616.0,576.0,23.0,0.0,23.0,17.0,0.0,17.0,4.0,626.0,630.0,6.0,0.0,0.0,0.0,2015,OCT,4.0,2015-10-01
