county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Santa Clara,566.0,586.0,-20.0,7803.0,8369.0,282.0,141.0,77.0,16.0,0.0,16.0,48.0,0.0,48.0,7320.0,1897.0,1639.0,115.0,0.0,115.0,143.0,0.0,143.0,7602.0,2038.0,1716.0,131.0,0.0,131.0,191.0,0.0,191.0,141.0,5423.0,5564.0,767.0,0.0,1.0,1.0,2013,JUL,3.0,2013-07-01
Santa Cruz,306.0,306.0,0.0,3146.0,3452.0,48.0,35.0,29.0,6.0,6.0,0.0,0.0,0.0,0.0,2896.0,700.0,551.0,127.0,127.0,0.0,22.0,22.0,0.0,2944.0,735.0,580.0,133.0,133.0,0.0,22.0,22.0,0.0,13.0,2196.0,2209.0,508.0,0.0,6.0,6.0,2013,JUL,3.0,2013-07-01
Shasta,163.0,202.0,-39.0,3148.0,3311.0,153.0,63.0,61.0,1.0,0.0,1.0,1.0,0.0,1.0,2810.0,949.0,798.0,35.0,3.0,32.0,116.0,8.0,108.0,2963.0,1012.0,859.0,36.0,3.0,33.0,117.0,8.0,109.0,90.0,1861.0,1951.0,348.0,1.0,4.0,5.0,2013,JUL,3.0,2013-07-01
Sierra,0.0,0.0,0.0,33.0,33.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,16.0,2.0,0.0,0.0,0.0,2013,JUL,3.0,2013-07-01
Siskiyou,48.0,64.0,-16.0,931.0,979.0,43.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,866.0,285.0,273.0,6.0,6.0,0.0,6.0,6.0,0.0,909.0,308.0,296.0,6.0,6.0,0.0,6.0,6.0,0.0,20.0,581.0,601.0,70.0,0.0,1.0,1.0,2013,JUL,3.0,2013-07-01
Solano,56.0,56.0,0.0,2910.0,2966.0,71.0,50.0,44.0,6.0,0.0,6.0,0.0,0.0,0.0,2825.0,1499.0,1425.0,56.0,0.0,56.0,18.0,0.0,18.0,2896.0,1549.0,1469.0,62.0,0.0,62.0,18.0,0.0,18.0,21.0,1326.0,1347.0,70.0,0.0,23.0,23.0,2013,JUL,3.0,2013-07-01
Sonoma,116.0,131.0,-15.0,3565.0,3681.0,56.0,46.0,35.0,9.0,0.0,9.0,2.0,0.0,2.0,3402.0,1154.0,531.0,428.0,0.0,428.0,195.0,0.0,195.0,3458.0,1200.0,566.0,437.0,0.0,437.0,197.0,0.0,197.0,10.0,2248.0,2258.0,223.0,0.0,37.0,37.0,2013,JUL,3.0,2013-07-01
Stanislaus,302.0,356.0,-54.0,10393.0,10695.0,751.0,270.0,259.0,7.0,3.0,4.0,4.0,1.0,3.0,9699.0,4058.0,3790.0,130.0,48.0,82.0,138.0,47.0,91.0,10450.0,4328.0,4049.0,137.0,51.0,86.0,142.0,48.0,94.0,481.0,5641.0,6122.0,245.0,0.0,7.0,7.0,2013,JUL,3.0,2013-07-01
Sutter,31.0,44.0,-13.0,1206.0,1237.0,75.0,38.0,31.0,5.0,0.0,5.0,2.0,0.0,2.0,1122.0,479.0,422.0,49.0,27.0,22.0,8.0,5.0,3.0,1197.0,517.0,453.0,54.0,27.0,27.0,10.0,5.0,5.0,37.0,643.0,680.0,40.0,0.0,1.0,1.0,2013,JUL,3.0,2013-07-01
Tehama,13.0,23.0,-10.0,669.0,682.0,42.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0,473.0,464.0,6.0,6.0,0.0,3.0,1.0,2.0,675.0,503.0,494.0,6.0,6.0,0.0,3.0,1.0,2.0,12.0,160.0,172.0,7.0,0.0,8.0,8.0,2013,JUL,3.0,2013-07-01
Trinity,20.0,20.0,0.0,284.0,304.0,12.0,6.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,276.0,132.0,86.0,35.0,34.0,1.0,11.0,10.0,1.0,288.0,138.0,90.0,36.0,35.0,1.0,12.0,11.0,1.0,6.0,144.0,150.0,16.0,0.0,0.0,0.0,2013,JUL,3.0,2013-07-01
Tulare,934.0,934.0,0.0,7620.0,8554.0,281.0,169.0,159.0,8.0,0.0,8.0,2.0,0.0,2.0,7279.0,3474.0,3320.0,126.0,0.0,126.0,28.0,0.0,28.0,7560.0,3643.0,3479.0,134.0,0.0,134.0,30.0,0.0,30.0,112.0,3805.0,3917.0,994.0,1.0,46.0,47.0,2013,JUL,3.0,2013-07-01
Tuolumne,32.0,42.0,-10.0,893.0,925.0,45.0,17.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,803.0,295.0,283.0,9.0,9.0,0.0,3.0,3.0,0.0,848.0,312.0,298.0,11.0,11.0,0.0,3.0,3.0,0.0,28.0,508.0,536.0,77.0,0.0,0.0,0.0,2013,JUL,3.0,2013-07-01
Ventura,192.0,192.0,0.0,4431.0,4623.0,80.0,63.0,58.0,1.0,0.0,1.0,4.0,0.0,4.0,4344.0,2316.0,2174.0,100.0,0.0,100.0,42.0,0.0,42.0,4424.0,2379.0,2232.0,101.0,0.0,101.0,46.0,0.0,46.0,17.0,2028.0,2045.0,199.0,0.0,39.0,39.0,2013,JUL,3.0,2013-07-01
Yolo,676.0,676.0,0.0,2162.0,2838.0,49.0,33.0,27.0,4.0,0.0,4.0,2.0,0.0,2.0,2040.0,891.0,811.0,51.0,0.0,51.0,29.0,0.0,29.0,2089.0,924.0,838.0,55.0,0.0,55.0,31.0,0.0,31.0,16.0,1149.0,1165.0,749.0,0.0,16.0,16.0,2013,JUL,3.0,2013-07-01
Yuba,128.0,135.0,-7.0,1634.0,1762.0,81.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1531.0,649.0,617.0,24.0,24.0,0.0,8.0,8.0,0.0,1612.0,672.0,640.0,24.0,24.0,0.0,8.0,8.0,0.0,58.0,882.0,940.0,150.0,0.0,37.0,37.0,2013,JUL,3.0,2013-07-01
