county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Shasta,347.0,352.0,-5.0,3256.0,3603.0,80.0,40.0,39.0,1.0,1.0,0.0,0.0,0.0,0.0,3141.0,1269.0,1242.0,19.0,6.0,13.0,8.0,3.0,5.0,3221.0,1309.0,1281.0,20.0,7.0,13.0,8.0,3.0,5.0,40.0,1872.0,1912.0,382.0,0.0,4.0,4.0,2015,APR,2.0,2015-04-01
Sierra,1.0,1.0,0.0,25.0,26.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,25.0,10.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,15.0,1.0,0.0,0.0,0.0,2015,APR,2.0,2015-04-01
Siskiyou,90.0,92.0,-2.0,813.0,903.0,32.0,13.0,11.0,1.0,1.0,0.0,1.0,1.0,0.0,723.0,245.0,211.0,20.0,9.0,11.0,14.0,10.0,4.0,755.0,258.0,222.0,21.0,10.0,11.0,15.0,11.0,4.0,19.0,478.0,497.0,148.0,1.0,5.0,6.0,2015,APR,2.0,2015-04-01
Solano,32.0,24.0,8.0,2517.0,2549.0,54.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2453.0,1407.0,1386.0,19.0,0.0,19.0,2.0,0.0,2.0,2507.0,1437.0,1416.0,19.0,0.0,19.0,2.0,0.0,2.0,24.0,1046.0,1070.0,42.0,0.0,30.0,30.0,2015,APR,2.0,2015-04-01
Sonoma,252.0,262.0,-10.0,3128.0,3380.0,39.0,14.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,3263.0,1097.0,828.0,168.0,0.0,168.0,101.0,0.0,101.0,3302.0,1111.0,840.0,170.0,0.0,170.0,101.0,0.0,101.0,25.0,2166.0,2191.0,78.0,0.0,36.0,36.0,2015,APR,2.0,2015-04-01
Stanislaus,1039.0,1045.0,-6.0,9404.0,10443.0,269.0,142.0,118.0,14.0,4.0,10.0,10.0,2.0,8.0,9294.0,3857.0,3554.0,121.0,55.0,66.0,182.0,60.0,122.0,9563.0,3999.0,3672.0,135.0,59.0,76.0,192.0,62.0,130.0,127.0,5437.0,5564.0,880.0,0.0,2.0,2.0,2015,APR,2.0,2015-04-01
Sutter,143.0,156.0,-13.0,1404.0,1547.0,47.0,30.0,27.0,3.0,2.0,1.0,0.0,0.0,0.0,1362.0,487.0,446.0,29.0,19.0,10.0,12.0,11.0,1.0,1409.0,517.0,473.0,32.0,21.0,11.0,12.0,11.0,1.0,17.0,875.0,892.0,138.0,0.0,0.0,0.0,2015,APR,2.0,2015-04-01
Tehama,128.0,131.0,-3.0,1265.0,1393.0,41.0,13.0,11.0,1.0,1.0,0.0,1.0,1.0,0.0,1212.0,481.0,470.0,2.0,2.0,0.0,9.0,6.0,3.0,1253.0,494.0,481.0,3.0,3.0,0.0,10.0,7.0,3.0,28.0,731.0,759.0,140.0,0.0,7.0,7.0,2015,APR,2.0,2015-04-01
Trinity,20.0,21.0,-1.0,222.0,242.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,122.0,102.0,15.0,1.0,14.0,5.0,0.0,5.0,221.0,122.0,102.0,15.0,1.0,14.0,5.0,0.0,5.0,3.0,96.0,99.0,21.0,0.0,0.0,0.0,2015,APR,2.0,2015-04-01
Tulare,803.0,803.0,0.0,6418.0,7221.0,314.0,153.0,146.0,4.0,0.0,4.0,3.0,0.0,3.0,6100.0,3118.0,3080.0,21.0,0.0,21.0,17.0,0.0,17.0,6414.0,3271.0,3226.0,25.0,0.0,25.0,20.0,0.0,20.0,161.0,2982.0,3143.0,807.0,2.0,19.0,21.0,2015,APR,2.0,2015-04-01
Tuolumne,101.0,103.0,-2.0,801.0,902.0,20.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,758.0,343.0,268.0,56.0,6.0,50.0,19.0,6.0,13.0,778.0,352.0,277.0,56.0,6.0,50.0,19.0,6.0,13.0,11.0,415.0,426.0,124.0,0.0,0.0,0.0,2015,APR,2.0,2015-04-01
Ventura,335.0,297.0,38.0,4504.0,4839.0,85.0,54.0,52.0,2.0,2.0,0.0,0.0,0.0,0.0,4078.0,1882.0,1796.0,41.0,41.0,0.0,45.0,45.0,0.0,4163.0,1936.0,1848.0,43.0,43.0,0.0,45.0,45.0,0.0,31.0,2196.0,2227.0,676.0,1.0,16.0,17.0,2015,APR,2.0,2015-04-01
Yolo,487.0,487.0,0.0,1009.0,1496.0,32.0,20.0,12.0,2.0,0.0,2.0,6.0,0.0,6.0,969.0,732.0,627.0,72.0,0.0,72.0,33.0,0.0,33.0,1001.0,752.0,639.0,74.0,0.0,74.0,39.0,0.0,39.0,12.0,237.0,249.0,495.0,0.0,1.0,1.0,2015,APR,2.0,2015-04-01
Yuba,102.0,102.0,0.0,1476.0,1578.0,44.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1398.0,625.0,603.0,18.0,3.0,15.0,4.0,4.0,0.0,1442.0,641.0,619.0,18.0,3.0,15.0,4.0,4.0,0.0,28.0,773.0,801.0,136.0,1.0,23.0,24.0,2015,APR,2.0,2015-04-01
