county,req_exped_service_adjustment,req_exped_service_pend_prev_qtr,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_5_days,req_exped_service_disposed_entitled_pacf_over_5_days,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_5_days,req_exped_service_disposed_entitled_nacf_over_5_days,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_tot_hh_fail_complete_app_process,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,year,month,quarter,fulldate
Kern,\N,45.0,4072.0,4117.0,4076.0,1246.0,231.0,2.0,5.0,985.0,13.0,10.0,2830.0,1001.0,1829.0,41.0,245.0,66.0,179.0,2002,JUL,3.0,2002-07-01
Kings,\N,9.0,593.0,602.0,598.0,273.0,59.0,7.0,4.0,172.0,23.0,8.0,325.0,100.0,225.0,4.0,33.0,3.0,30.0,2002,JUL,3.0,2002-07-01
Lake,\N,164.0,271.0,435.0,262.0,209.0,52.0,3.0,2.0,145.0,3.0,4.0,53.0,9.0,44.0,173.0,3.0,0.0,3.0,2002,JUL,3.0,2002-07-01
Lassen,\N,0.0,120.0,120.0,119.0,34.0,4.0,1.0,0.0,23.0,3.0,3.0,85.0,25.0,60.0,1.0,1.0,0.0,1.0,2002,JUL,3.0,2002-07-01
Los Angeles,\N,16143.0,81906.0,98049.0,78321.0,20185.0,697.0,355.0,3968.0,10460.0,1353.0,3352.0,58136.0,4829.0,53307.0,19728.0,2147.0,32.0,2115.0,2002,JUL,3.0,2002-07-01
Madera,\N,2.0,183.0,185.0,179.0,98.0,21.0,0.0,0.0,76.0,1.0,0.0,81.0,9.0,72.0,6.0,4.0,0.0,4.0,2002,JUL,3.0,2002-07-01
Marin,\N,26.0,187.0,213.0,182.0,143.0,21.0,0.0,3.0,106.0,2.0,11.0,39.0,2.0,37.0,31.0,0.0,0.0,0.0,2002,JUL,3.0,2002-07-01
Mariposa,\N,0.0,26.0,26.0,26.0,20.0,3.0,0.0,0.0,17.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,2002,JUL,3.0,2002-07-01
Mendocino,-3.0,0.0,152.0,152.0,149.0,128.0,28.0,1.0,1.0,88.0,9.0,1.0,21.0,3.0,18.0,3.0,2.0,1.0,1.0,2002,JUL,3.0,2002-07-01
Merced,\N,1147.0,309.0,1456.0,302.0,43.0,13.0,0.0,2.0,25.0,0.0,3.0,259.0,130.0,129.0,1154.0,0.0,0.0,0.0,2002,JUL,3.0,2002-07-01
Modoc,\N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,\N,0.0,2002,JUL,3.0,2002-07-01
Mono,\N,0.0,11.0,11.0,11.0,10.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2002,JUL,3.0,2002-07-01
Monterey,-11.0,9.0,955.0,964.0,931.0,381.0,55.0,2.0,7.0,307.0,5.0,5.0,550.0,74.0,476.0,33.0,0.0,0.0,0.0,2002,JUL,3.0,2002-07-01
Napa,\N,11.0,345.0,356.0,348.0,98.0,0.0,0.0,0.0,90.0,1.0,7.0,250.0,54.0,196.0,8.0,8.0,2.0,6.0,2002,JUL,3.0,2002-07-01
Nevada,\N,89.0,74.0,163.0,71.0,60.0,5.0,0.0,0.0,53.0,1.0,1.0,11.0,7.0,4.0,92.0,1.0,0.0,1.0,2002,JUL,3.0,2002-07-01
Orange,\N,15.0,828.0,843.0,826.0,667.0,135.0,0.0,0.0,530.0,2.0,0.0,159.0,22.0,137.0,17.0,0.0,0.0,0.0,2002,JUL,3.0,2002-07-01
Placer,\N,47.0,281.0,328.0,283.0,164.0,39.0,2.0,1.0,118.0,3.0,1.0,119.0,34.0,85.0,45.0,1.0,1.0,0.0,2002,JUL,3.0,2002-07-01
Plumas,-1.0,0.0,15.0,15.0,15.0,11.0,1.0,0.0,0.0,10.0,0.0,0.0,4.0,2.0,2.0,0.0,3.0,0.0,3.0,2002,JUL,3.0,2002-07-01
Riverside,\N,46.0,5462.0,5508.0,5484.0,1349.0,275.0,38.0,1.0,894.0,126.0,15.0,4135.0,627.0,3508.0,24.0,40.0,6.0,34.0,2002,JUL,3.0,2002-07-01
Sacramento,\N,33.0,2704.0,2737.0,2692.0,772.0,324.0,1.0,10.0,396.0,23.0,18.0,1920.0,1386.0,534.0,45.0,1.0,1.0,0.0,2002,JUL,3.0,2002-07-01
San Benito,\N,1.0,85.0,86.0,85.0,76.0,26.0,0.0,2.0,47.0,0.0,1.0,9.0,1.0,8.0,1.0,0.0,0.0,0.0,2002,JUL,3.0,2002-07-01
San Bernardino,\N,0.0,8192.0,8192.0,8192.0,5908.0,1998.0,90.0,201.0,3274.0,84.0,261.0,2284.0,1037.0,1247.0,0.0,174.0,93.0,81.0,2002,JUL,3.0,2002-07-01
San Diego,\N,30.0,8931.0,8961.0,8933.0,1648.0,114.0,6.0,10.0,1475.0,23.0,20.0,7285.0,3788.0,3497.0,28.0,3.0,0.0,3.0,2002,JUL,3.0,2002-07-01
San Francisco,\N,1391.0,4048.0,5439.0,4039.0,2113.0,138.0,1.0,4.0,1962.0,2.0,6.0,1926.0,0.0,1926.0,1400.0,13.0,1.0,12.0,2002,JUL,3.0,2002-07-01
San Joaquin,\N,9.0,420.0,429.0,419.0,337.0,90.0,9.0,12.0,180.0,23.0,23.0,82.0,19.0,63.0,10.0,2.0,0.0,2.0,2002,JUL,3.0,2002-07-01
San Luis Obispo,\N,2899.0,534.0,3433.0,448.0,211.0,39.0,0.0,1.0,165.0,3.0,3.0,237.0,70.0,167.0,2985.0,3.0,3.0,0.0,2002,JUL,3.0,2002-07-01
San Mateo,\N,7.0,542.0,549.0,541.0,524.0,179.0,10.0,6.0,288.0,26.0,15.0,17.0,2.0,15.0,8.0,67.0,0.0,67.0,2002,JUL,3.0,2002-07-01
Santa Barbara,\N,0.0,1179.0,1179.0,1179.0,276.0,74.0,0.0,0.0,190.0,3.0,9.0,903.0,310.0,593.0,0.0,0.0,0.0,0.0,2002,JUL,3.0,2002-07-01
Santa Clara,\N,647.0,5208.0,5855.0,5099.0,609.0,167.0,5.0,4.0,323.0,28.0,82.0,4490.0,771.0,3719.0,756.0,0.0,0.0,0.0,2002,JUL,3.0,2002-07-01
Santa Cruz,\N,10.0,1115.0,1125.0,1006.0,480.0,38.0,5.0,1.0,340.0,58.0,38.0,526.0,62.0,464.0,119.0,14.0,6.0,8.0,2002,JUL,3.0,2002-07-01
Shasta,\N,137.0,384.0,521.0,362.0,296.0,45.0,1.0,2.0,231.0,7.0,10.0,66.0,7.0,59.0,159.0,5.0,0.0,5.0,2002,JUL,3.0,2002-07-01
Sierra,\N,0.0,7.0,7.0,7.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002,JUL,3.0,2002-07-01
Siskiyou,-4.0,0.0,167.0,167.0,159.0,112.0,31.0,1.0,1.0,72.0,3.0,4.0,47.0,1.0,46.0,8.0,2.0,0.0,2.0,2002,JUL,3.0,2002-07-01
Solano,\N,0.0,585.0,585.0,585.0,518.0,51.0,8.0,8.0,412.0,23.0,16.0,67.0,1.0,66.0,0.0,0.0,0.0,0.0,2002,JUL,3.0,2002-07-01
Sonoma,\N,14.0,1446.0,1460.0,1447.0,843.0,147.0,3.0,4.0,656.0,22.0,11.0,604.0,309.0,295.0,13.0,0.0,0.0,0.0,2002,JUL,3.0,2002-07-01
Stanislaus,\N,0.0,431.0,431.0,431.0,181.0,48.0,3.0,7.0,94.0,22.0,7.0,250.0,90.0,160.0,0.0,14.0,8.0,6.0,2002,JUL,3.0,2002-07-01
Sutter,\N,19.0,202.0,221.0,212.0,124.0,24.0,3.0,3.0,83.0,5.0,6.0,88.0,20.0,68.0,9.0,1.0,0.0,1.0,2002,JUL,3.0,2002-07-01
Tehama,\N,4.0,349.0,353.0,346.0,133.0,23.0,1.0,2.0,98.0,6.0,3.0,213.0,91.0,122.0,7.0,11.0,0.0,11.0,2002,JUL,3.0,2002-07-01
Trinity,\N,2.0,44.0,46.0,35.0,29.0,2.0,0.0,0.0,22.0,2.0,3.0,6.0,1.0,5.0,11.0,7.0,0.0,7.0,2002,JUL,3.0,2002-07-01
Tulare,\N,620.0,276.0,896.0,268.0,145.0,34.0,0.0,1.0,103.0,6.0,1.0,123.0,25.0,98.0,628.0,0.0,0.0,0.0,2002,JUL,3.0,2002-07-01
Tuolumne,\N,8.0,332.0,340.0,331.0,98.0,7.0,0.0,0.0,87.0,2.0,2.0,233.0,88.0,145.0,9.0,0.0,0.0,0.0,2002,JUL,3.0,2002-07-01
Ventura,\N,298.0,1380.0,1678.0,1387.0,909.0,1.0,0.0,1.0,621.0,177.0,109.0,478.0,1.0,477.0,291.0,126.0,14.0,112.0,2002,JUL,3.0,2002-07-01
Yolo,\N,0.0,319.0,319.0,319.0,251.0,37.0,2.0,2.0,172.0,10.0,28.0,68.0,0.0,68.0,0.0,0.0,0.0,0.0,2002,JUL,3.0,2002-07-01
Yuba,\N,16.0,358.0,374.0,348.0,269.0,58.0,2.0,3.0,191.0,7.0,8.0,79.0,8.0,71.0,26.0,4.0,0.0,4.0,2002,JUL,3.0,2002-07-01
