December 2016 (Accessible sheet). Data table begins in Cell A5. Item descriptions are contained within input messages in Row 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,,
Del Norte,170.0,17.0,190.0,98.0,0.0,0.0,0.0,0.0,81.0,81.0,0.0,32.0,32.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,11.0,11.0,7.0,183.0,190.0,4.0,70.0,74.0,4.0,66.0,70.0,0.0,3.0,3.0,0.0,1.0,1.0,3.0,113.0,116.0,363.0,1975.0,2338.0,363.0,1975.0,2338.0,0.0,0.0,0.0,31.0,204.0,235.0,7.0,0.0,0.0,91.0,0.0,0.0,7.0,91.0,98.0,11.0,-11.0,0.0,1.0,5.0,6.0,0.0,33.0,33.0,12.0,86.0,98.0,394.0,2179.0,2573.0,394.0,2177.0,2571.0,5287.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,222.0,243.0,0.0,0.0,0.0,373.0,1957.0,2330.0,31.0,97.0,128.0,31.0,0.0,0.0,95.0,0.0,0.0,31.0,95.0,126.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,
El Dorado,550.0,105.0,614.0,421.0,0.0,16.0,16.0,0.0,175.0,175.0,0.0,64.0,64.0,0.0,111.0,111.0,0.0,4.0,4.0,0.0,18.0,18.0,16.0,598.0,614.0,9.0,287.0,296.0,8.0,281.0,289.0,1.0,2.0,3.0,0.0,4.0,4.0,7.0,311.0,318.0,490.0,5965.0,6455.0,490.0,5965.0,6455.0,0.0,0.0,0.0,47.0,657.0,704.0,19.0,0.0,0.0,400.0,1.0,1.0,19.0,402.0,421.0,10.0,-10.0,0.0,2.0,21.0,23.0,3.0,80.0,83.0,13.0,164.0,177.0,537.0,6622.0,7159.0,535.0,6581.0,7116.0,12646.0,3.0,35.0,2.0,31.0,33.0,13.0,0.0,0.0,10.0,10.0,37.0,645.0,682.0,0.0,1.0,1.0,500.0,5977.0,6477.0,32.0,323.0,355.0,32.0,0.0,0.0,315.0,2.0,0.0,32.0,317.0,349.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,,
Fresno,4106.0,1472.0,4233.0,3081.0,36.0,115.0,151.0,4.0,1075.0,1079.0,4.0,1074.0,1078.0,0.0,1.0,1.0,0.0,198.0,198.0,0.0,73.0,73.0,54.0,3283.0,3337.0,32.0,1482.0,1514.0,27.0,1419.0,1446.0,5.0,45.0,50.0,0.0,18.0,18.0,22.0,1801.0,1823.0,12106.0,76062.0,88168.0,11636.0,72503.0,84139.0,470.0,3559.0,4029.0,352.0,2843.0,3195.0,233.0,5.0,2.0,2796.0,20.0,25.0,240.0,2841.0,3081.0,98.0,-98.0,0.0,7.0,50.0,57.0,3.0,20.0,23.0,4.0,30.0,34.0,12458.0,78905.0,91363.0,12243.0,78036.0,90279.0,211497.0,74.0,926.0,200.0,662.0,862.0,247.0,37.0,15.0,207.0,222.0,663.0,7298.0,7961.0,0.0,44.0,44.0,11795.0,71607.0,83402.0,972.0,6007.0,6979.0,867.0,19.0,3.0,4913.0,56.0,5.0,889.0,4974.0,5863.0,82.0,1.0,0.0,1021.0,10.0,2.0,83.0,1033.0,1116.0,7.0,40.0,47.0,,
Glenn,123.0,12.0,124.0,69.0,0.0,0.0,0.0,0.0,49.0,49.0,0.0,12.0,12.0,0.0,37.0,37.0,0.0,1.0,1.0,0.0,6.0,6.0,3.0,121.0,124.0,0.0,42.0,42.0,0.0,39.0,39.0,0.0,2.0,2.0,0.0,1.0,1.0,3.0,79.0,82.0,204.0,1214.0,1418.0,204.0,1214.0,1418.0,0.0,0.0,0.0,19.0,116.0,135.0,3.0,0.0,0.0,65.0,1.0,0.0,3.0,66.0,69.0,9.0,-9.0,0.0,0.0,8.0,8.0,2.0,9.0,11.0,5.0,42.0,47.0,223.0,1330.0,1553.0,222.0,1324.0,1546.0,3565.0,0.0,7.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,133.0,148.0,0.0,0.0,0.0,208.0,1197.0,1405.0,16.0,68.0,84.0,16.0,0.0,0.0,67.0,0.0,0.0,16.0,67.0,83.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
Humboldt,990.0,209.0,1040.0,627.0,1.0,8.0,9.0,0.0,383.0,383.0,0.0,130.0,130.0,0.0,253.0,253.0,0.0,1.0,1.0,0.0,30.0,30.0,16.0,1024.0,1040.0,13.0,439.0,452.0,13.0,426.0,439.0,0.0,11.0,11.0,0.0,2.0,2.0,3.0,585.0,588.0,844.0,10647.0,11491.0,844.0,10648.0,11492.0,0.0,-1.0,-1.0,42.0,1134.0,1176.0,17.0,0.0,0.0,609.0,1.0,0.0,17.0,610.0,627.0,-12.0,12.0,0.0,2.0,33.0,35.0,1.0,79.0,80.0,34.0,400.0,434.0,886.0,11781.0,12667.0,885.0,11749.0,12634.0,21146.0,7.0,27.0,1.0,27.0,28.0,6.0,1.0,0.0,5.0,5.0,46.0,1151.0,1197.0,1.0,20.0,21.0,840.0,10630.0,11470.0,76.0,474.0,550.0,75.0,0.0,0.0,463.0,1.0,0.0,75.0,464.0,539.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,10.0,11.0,0.0,0.0,0.0,,
Imperial,896.0,86.0,926.0,633.0,2.0,14.0,16.0,1.0,255.0,256.0,1.0,138.0,139.0,0.0,117.0,117.0,0.0,6.0,6.0,0.0,37.0,37.0,30.0,896.0,926.0,19.0,358.0,377.0,19.0,338.0,357.0,0.0,9.0,9.0,0.0,11.0,11.0,11.0,538.0,549.0,2286.0,14440.0,16726.0,2286.0,14440.0,16726.0,0.0,0.0,0.0,88.0,970.0,1058.0,31.0,1.0,0.0,583.0,16.0,2.0,32.0,601.0,633.0,6.0,-6.0,0.0,2.0,26.0,28.0,10.0,142.0,152.0,38.0,207.0,245.0,2374.0,15410.0,17784.0,2336.0,15024.0,17360.0,42629.0,31.0,372.0,34.0,334.0,368.0,55.0,10.0,4.0,52.0,56.0,92.0,1250.0,1342.0,0.0,3.0,3.0,2282.0,14160.0,16442.0,145.0,668.0,813.0,144.0,1.0,0.0,654.0,11.0,1.0,145.0,666.0,811.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,
Inyo,95.0,8.0,90.0,74.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,9.0,9.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,86.0,89.0,1.0,51.0,52.0,1.0,37.0,38.0,0.0,6.0,6.0,0.0,8.0,8.0,2.0,35.0,37.0,86.0,851.0,937.0,86.0,851.0,937.0,0.0,0.0,0.0,11.0,89.0,100.0,5.0,0.0,0.0,69.0,0.0,0.0,5.0,69.0,74.0,4.0,-4.0,0.0,0.0,0.0,0.0,2.0,16.0,18.0,0.0,8.0,8.0,97.0,940.0,1037.0,97.0,932.0,1029.0,1963.0,1.0,6.0,0.0,6.0,6.0,2.0,0.0,0.0,2.0,2.0,9.0,85.0,94.0,0.0,0.0,0.0,88.0,855.0,943.0,3.0,48.0,51.0,3.0,0.0,0.0,48.0,0.0,0.0,3.0,48.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kern,5321.0,1308.0,5502.0,3607.0,10.0,37.0,47.0,0.0,1705.0,1705.0,0.0,936.0,936.0,0.0,769.0,769.0,0.0,24.0,24.0,0.0,190.0,190.0,179.0,5322.0,5501.0,117.0,2159.0,2276.0,115.0,2008.0,2123.0,2.0,98.0,100.0,0.0,53.0,53.0,62.0,3163.0,3225.0,9593.0,55654.0,65247.0,9593.0,55654.0,65247.0,0.0,0.0,0.0,472.0,5086.0,5558.0,269.0,5.0,0.0,3243.0,72.0,18.0,274.0,3333.0,3607.0,-27.0,27.0,0.0,8.0,87.0,95.0,76.0,569.0,645.0,141.0,1070.0,1211.0,10065.0,60740.0,70805.0,9998.0,59701.0,69699.0,163128.0,60.0,870.0,67.0,783.0,850.0,321.0,17.0,0.0,256.0,256.0,434.0,5534.0,5968.0,0.0,3.0,3.0,9631.0,55206.0,64837.0,569.0,2536.0,3105.0,563.0,4.0,0.0,2433.0,37.0,5.0,567.0,2475.0,3042.0,2.0,0.0,0.0,61.0,0.0,0.0,2.0,61.0,63.0,0.0,0.0,0.0,,
Kings,715.0,105.0,804.0,573.0,0.0,3.0,3.0,1.0,205.0,206.0,1.0,122.0,123.0,0.0,83.0,83.0,0.0,5.0,5.0,0.0,25.0,25.0,36.0,767.0,803.0,26.0,325.0,351.0,24.0,317.0,341.0,2.0,4.0,6.0,0.0,4.0,4.0,10.0,442.0,452.0,1408.0,8549.0,9957.0,1408.0,8549.0,9957.0,0.0,0.0,0.0,80.0,838.0,918.0,40.0,0.0,1.0,525.0,5.0,2.0,41.0,532.0,573.0,5.0,-5.0,0.0,3.0,12.0,15.0,9.0,122.0,131.0,22.0,177.0,199.0,1488.0,9387.0,10875.0,1468.0,9247.0,10715.0,24453.0,11.0,125.0,18.0,113.0,131.0,31.0,3.0,2.0,27.0,29.0,85.0,933.0,1018.0,0.0,1.0,1.0,1403.0,8454.0,9857.0,94.0,434.0,528.0,93.0,1.0,0.0,423.0,4.0,3.0,94.0,430.0,524.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,,
Lake,420.0,50.0,409.0,310.0,1.0,18.0,19.0,0.0,90.0,90.0,0.0,32.0,32.0,0.0,58.0,58.0,0.0,3.0,3.0,0.0,9.0,9.0,10.0,397.0,407.0,5.0,200.0,205.0,4.0,186.0,190.0,0.0,12.0,12.0,1.0,2.0,3.0,5.0,197.0,202.0,545.0,5525.0,6070.0,545.0,5525.0,6070.0,0.0,0.0,0.0,37.0,511.0,548.0,12.0,0.0,0.0,296.0,1.0,1.0,12.0,298.0,310.0,10.0,-10.0,0.0,1.0,8.0,9.0,2.0,22.0,24.0,12.0,193.0,205.0,582.0,6036.0,6618.0,578.0,6008.0,6586.0,12477.0,4.0,25.0,4.0,22.0,26.0,7.0,0.0,0.0,6.0,6.0,35.0,597.0,632.0,0.0,0.0,0.0,547.0,5439.0,5986.0,20.0,331.0,351.0,20.0,0.0,0.0,331.0,0.0,0.0,20.0,331.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
