The Sort & Filter Function allows for filtering data ,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,DFA 256,DFA 256,DFA 256,DFA 256,MEDS (July data access),MEDS (July data access),MEDS (July data access),MEDS (July data access),CDPH & MEDS; March data access,CDPH & MEDS; March data access,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,US Census Bureau ACS annual estimate,State Data Exchange annual projection,"EDD, Labor Market Info annual estimate","US Census Bureau ACS Estimates, DFA 256, MEDS"
,,,,,,,,,,,,,,,,,,,,
County,Consortium,Calendar_Year,SFY,CF_Households_SFY_Avg,CF_Households_CY_Avg,CF_Persons_SFY_Avg,CF_Persons_CY_Avg,Elderly_CF_July,Children_CF_July,Child_Only_HHs_CF_July_CY,ESL_CF_July_CY,WIC_0-4_CF_Reachable,Percent_CF_0-4_in_WIC,Total_Pop_CY,Total_Elderly_60_plus_CY,Total_Children_under_18_CY,Total_ESL_over_5_CY,Total_SSI_Recipients_CY,Unemployment_Pct_CY,CF_Eligibles_CY
43 Santa Clara,CalWIN,2012,2012/13,50784,48874.75,108648.8333,105371.0833,5507,56627,13623,44837,0,0,1840218,307307,432393,178148,43944,0.084,220690.5633
44 Santa Cruz,CalWIN,2012,2012/13,11487.91667,10881,22652.75,21794.5,922,11666,3317,8532,0,0,267672,50507,56197,21496,5104,0.111,37038.96801
45 Shasta,C-IV,2012,2012/13,12120.75,12280.83333,24181.91667,24701.91667,821,10508,922,495,0,0,177962,44246,38697,2105,9329,0.134,33388.90399
46 Sierra,C-IV,2012,2012/13,157.8333333,146.4166667,302.1666667,283.75,23,95,1,4,0,0,3206,1111,514,60,99,0.143,622.6023529
47 Siskiyou,C-IV,2012,2012/13,2834.166667,2720,6338.666667,6124.083333,220,2701,137,180,0,0,44765,13411,9047,820,2441,0.153,10259.45853
48 Solano,CalWIN,2012,2012/13,20453.58333,19838.66667,41033.83333,40115.41667,1473,19347,3060,6772,0,0,417443,77123,99754,21564,11520,0.101,65053.4405
49 Sonoma,CalWIN,2012,2012/13,19064.25,17955.25,35087.16667,33699.58333,1870,17154,3946,10341,0,0,489752,110173,102681,29280,8571,0.086,74079.337
50 Stanislaus,C-IV,2012,2012/13,40826,39576.66667,89982,88080.58333,2464,44790,5991,17992,0,0,523596,83920,145557,48024,19745,0.152,117475.0886
51 Sutter,C-IV,2012,2012/13,5070.583333,4927.833333,12182.33333,11926.41667,306,6271,830,2311,0,0,96047,17509,25761,9590,3661,0.176,20846.288
52 Tehama,C-IV,2012,2012/13,4194.666667,4126.083333,9737.666667,9693.583333,259,4855,469,1161,0,0,63711,14824,15640,2546,3057,0.139,14556.19699
53 Trinity,C-IV,2012,2012/13,789.8333333,774.1666667,1577.833333,1563.333333,74,604,5,8,0,0,13704,4397,2376,21,655,0.158,3087.688701
54 Tulare,CalWIN,2012,2012/13,45588.66667,44133.75,113012.6667,110247,2949,64076,8010,36803,0,0,452135,64585,143994,60886,17288,0.158,151607.1682
55 Tuolumne,C-IV,2012,2012/13,2819.666667,2756.666667,5199.333333,5156.083333,265,1962,149,65,0,0,55033,17126,9453,653,1618,0.116,8975.860278
56 Ventura,CalWIN,2012,2012/13,32011.58333,30926.33333,66646.91667,65090.83333,2757,35426,8035,23314,0,0,836553,150596,206972,79320,14656,0.09,105819.891
57 Yolo,CalWIN,2012,2012/13,7839.416667,7708.25,16913.91667,16837.33333,627,8261,1070,4871,0,0,205408,31294,46026,13923,5307,0.115,44017.73644
58 Yuba,C-IV,2012,2012/13,5717.166667,5702.25,12901.83333,12882,298,6360,644,1707,0,0,73704,11463,21261,3903,3772,0.169,19439.97662
00 Statewide,n/a,2013,2013/14,2003805.833,1946340.833,4331799.083,4237437.417,176557,2272684,341378,1314549,0,0,38373434,6838104,9224243,3750293,1187606,0.089,7166748.688
01 Alameda,CalWIN,2013,2013/14,64105.66667,63464.25,127744.8333,127163.6667,7267,63938,9990,39263,0,0,1575797,279128,340838,133681,48141,0.073,220033.7711
02 Alpine,C-IV,2013,2013/14,103.0833333,88.91666667,172.0833333,156.9166667,11,62,0,0,0,0,1164,329,235,25,42,0.098,221.7802283
03 Amador,C-IV,2013,2013/14,1725.583333,1699,3347.833333,3285.75,194,1298,69,98,0,0,37582,12428,6034,484,674,0.103,4989.423287
04 Butte,C-IV,2013,2013/14,15009,14614.08333,30429.66667,30041.5,1116,13523,1063,2782,0,0,222229,51289,45592,4375,10914,0.103,57536.06546
05 Calaveras,C-IV,2013,2013/14,2623.083333,2574.5,5001.75,4973.166667,322,1808,103,134,0,0,45116,15204,7991,410,1043,0.1,6021.958635
06 Colusa,C-IV,2013,2013/14,721.5833333,712.4166667,1724.25,1741.333333,72,1032,164,553,0,0,21972,4009,6223,2986,564,0.19,3770.961319
07 Contra Costa,CalWIN,2013,2013/14,34146.58333,33275.5,70943.16667,69084.16667,3064,36829,5449,15787,0,0,1089656,217528,254300,66244,24041,0.075,145292.7796
08 Del Norte,C-IV,2013,2013/14,2513.583333,2526.083333,5137.083333,5129.833333,193,2218,167,262,0,0,27543,6139,5946,733,1817,0.118,5923.479124
09 El Dorado,C-IV,2013,2013/14,6528.083333,6369.666667,11952.25,11787,732,4716,417,882,0,0,182280,45482,38499,3580,2850,0.085,26641.3836
10 Fresno,CalWIN,2013,2013/14,94385.83333,91823.91667,225117.9167,220594.0833,5364,123609,14216,59175,0,0,959506,147427,277393,108885,40774,0.132,280018.2793
11 Glenn,C-IV,2013,2013/14,1458.833333,1424.5,3590.416667,3534.083333,113,1985,237,739,0,0,28684,5704,7682,2638,1136,0.121,6195.807767
12 Humboldt,C-IV,2013,2013/14,9335.833333,8652.5,17294.16667,16223.75,695,7000,684,886,0,0,134923,29972,27424,2347,5607,0.082,34042.68273
13 Imperial,C-IV,2013,2013/14,15083.08333,14566.91667,38081.66667,37016.16667,1738,19291,1028,19370,0,0,180300,28632,52883,32195,10276,0.249,44789.88102
14 Inyo,C-IV,2013,2013/14,1047.166667,1019.083333,2118,2052.333333,137,964,103,327,0,0,18585,5260,3867,532,407,0.079,2765.882007
15 Kern,C-IV,2013,2013/14,60340.33333,59492.25,145892.5833,144286.3333,3983,84978,10703,37191,0,0,868594,122646,255255,88100,31384,0.117,224185.4255
16 Kings,C-IV,2013,2013/14,10014.66667,9914,23718.16667,23489.41667,652,12892,1396,5451,0,0,150276,19553,44622,14426,4659,0.135,34890.97401
17 Lake,C-IV,2013,2013/14,5258.25,5169.333333,10575.08333,10336,586,4436,385,814,0,0,64781,17890,13482,1792,3710,0.108,17452.4775
18 Lassen,C-IV,2013,2013/14,1487,1430.25,3104.416667,2991.333333,99,1319,91,67,0,0,32295,6153,5674,769,906,0.106,4398.023486
19 Los Angeles,LRS,2013,2013/14,569293.25,555795.1667,1170148,1147939.167,46590,629069,117585,444806,0,0,10055477,1703951,2347353,1402433,388148,0.098,2088070.076
20 Madera,C-IV,2013,2013/14,11060.5,10640.83333,27863.91667,26960.58333,619,16652,2773,9640,0,0,152235,26826,42521,20706,4478,0.125,38832.0107
21 Marin,C-IV,2013,2013/14,5942.333333,5720.916667,9994.083333,9674.5,887,4734,1271,3455,0,0,258569,69013,52768,8867,3107,0.052,22421.14454
22 Mariposa,C-IV,2013,2013/14,984.5833333,926.5,1970.25,1868.333333,119,714,37,30,0,0,18154,5972,3041,227,462,0.105,3154.614871
23 Mendocino,C-IV,2013,2013/14,7211.5,6983.333333,13507.91667,13212.5,699,5665,688,1823,0,0,88064,22806,19177,4171,3218,0.082,22380.62258
24 Merced,C-IV,2013,2013/14,23351.33333,22825.91667,55934.58333,55300.33333,1338,31540,4036,15579,0,0,264783,37754,79930,35644,10849,0.145,70246.79621
25 Modoc,C-IV,2013,2013/14,431.1666667,421,959.8333333,947.1666667,34,442,42,71,0,0,9603,2943,1938,335,416,0.124,2621.530766
26 Mono,C-IV,2013,2013/14,483.8333333,385.3333333,778.1666667,650.1666667,43,283,74,163,0,0,13902,2435,2885,937,101,0.085,2021.297001
27 Monterey,C-IV,2013,2013/14,21391.91667,20616.16667,48752.5,47192.66667,1572,29909,6960,21235,0,0,426453,72349,112710,64059,8458,0.103,83051.85586
28 Napa,C-IV,2013,2013/14,3355.416667,3264.833333,7034.25,6891.25,341,4081,909,2892,0,0,139298,31686,30651,12782,2156,0.068,16769.9837
29 Nevada,C-IV,2013,2013/14,4021.166667,3880.583333,7605.25,7403,445,2951,186,255,0,0,97727,30971,17288,1576,1796,0.081,16674.10874
30 Orange,CalWIN,2013,2013/14,112077.25,106478.25,245451.3333,234687.75,13145,139033,29922,111958,0,0,3110802,559177,732435,316852,67573,0.065,444094.5928
31 Placer,CalWIN,2013,2013/14,8927.75,8544.25,18276.41667,17888.66667,1019,7868,677,2021,0,0,364242,86331,81413,8063,5056,0.077,39483.83882
32 Plumas,C-IV,2013,2013/14,878.9166667,803.6666667,1762.583333,1679,82,676,34,22,0,0,19769,6746,3341,217,641,0.139,3815.722468
33 Riverside,C-IV,2013,2013/14,120067.5833,116391,284875,279605,10225,151042,17000,65355,0,0,2276765,403451,606027,173255,56654,0.099,469029.0095
34 Sacramento,CalWIN,2013,2013/14,97461.83333,94846.41667,213802.5833,210970,6598,105467,9994,47601,0,0,1455602,254263,359273,101446,61371,0.089,306054.5327
35 San Benito,C-IV,2013,2013/14,2674.583333,2669.666667,6201.916667,6225.916667,246,3361,472,1856,0,0,56750,9308,15284,5777,882,0.111,8523.86921
36 San Bernardino,C-IV,2013,2013/14,165319.75,159796.6667,381628.9167,373583.6667,12685,194878,21323,70335,0,0,2092149,304215,582138,156056,66969,0.098,441318.9937
37 San Diego,CalWIN,2013,2013/14,128384.8333,122331,273739.4167,262347.75,13842,131432,15919,93092,0,0,3208946,565956,758400,236315,75967,0.078,553957.5131
38 San Francisco,CalWIN,2013,2013/14,32454.83333,32232.25,51006.91667,50531.75,5459,19668,4243,19818,0,0,843735,171722,115569,96046,37708,0.055,120297.2063
39 San Joaquin,C-IV,2013,2013/14,48180.83333,46772.33333,114908.3333,112816.5,3502,63093,7295,23995,0,0,705767,113339,197747,64800,27071,0.124,156985.4932
40 San Luis Obispo,CalWIN,2013,2013/14,9312.166667,9058.25,17891.16667,17609.41667,1072,8228,1089,3239,0,0,273494,67011,50160,10073,4383,0.068,47790.76487
41 San Mateo,CalWIN,2013,2013/14,15590.25,14604.5,31548,29752.25,2531,17242,4025,13534,0,0,748761,154350,160497,58256,10953,0.052,68113.99217
42 Santa Barbara,CalWIN,2013,2013/14,15194.66667,14680.91667,33962.66667,33053.25,1086,20051,4170,12614,0,0,435241,81286,98542,46332,8477,0.071,79413.5422
43 Santa Clara,CalWIN,2013,2013/14,53632.5,52303.58333,112331.1667,110861.4167,7200,59419,11654,48568,0,0,1866208,320385,436884,176036,44002,0.065,215576.6746
44 Santa Cruz,CalWIN,2013,2013/14,12076,11785.08333,23477.58333,23049.33333,1290,11843,2423,8317,0,0,270416,53284,57070,20137,5077,0.103,42178.84438
45 Shasta,C-IV,2013,2013/14,11973.58333,11790.33333,23768.33333,23489.16667,990,10472,713,466,0,0,178725,45337,38582,3086,9306,0.118,40244.80616
46 Sierra,C-IV,2013,2013/14,163.9166667,158.75,299.25,303.1666667,26,106,1,6,0,0,3187,1152,494,93,99,0.129,696.6078183
