The Sort & Filter Function allows for filtering data ,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,DFA 256,DFA 256,DFA 256,DFA 256,MEDS (July data access),MEDS (July data access),MEDS (July data access),MEDS (July data access),CDPH & MEDS; March data access,CDPH & MEDS; March data access,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,US Census Bureau ACS annual estimate,State Data Exchange annual projection,"EDD, Labor Market Info annual estimate","US Census Bureau ACS Estimates, DFA 256, MEDS"
,,,,,,,,,,,,,,,,,,,,
County,Consortium,Calendar_Year,SFY,CF_Households_SFY_Avg,CF_Households_CY_Avg,CF_Persons_SFY_Avg,CF_Persons_CY_Avg,Elderly_CF_July,Children_CF_July,Child_Only_HHs_CF_July_CY,ESL_CF_July_CY,WIC_0-4_CF_Reachable,Percent_CF_0-4_in_WIC,Total_Pop_CY,Total_Elderly_60_plus_CY,Total_Children_under_18_CY,Total_ESL_over_5_CY,Total_SSI_Recipients_CY,Unemployment_Pct_CY,CF_Eligibles_CY
09 El Dorado,C-IV,2017,2017/18,0,6796.166667,0,12292.25,1575,5792,167,982,0,0,185090,53135,36164,0,2823,0,0
10 Fresno,CalWIN,2017,2017/18,0,89293.66667,0,206799.1667,11258,141201,8256,66147,0,0,999902,169283,280718,0,41278,0,0
11 Glenn,C-IV,2017,2017/18,0,1500.75,0,3363.25,257,2216,67,808,0,0,29204,6352,7482,0,1061,0,0
12 Humboldt,C-IV,2017,2017/18,0,12114.41667,0,20413.75,1895,8887,291,1065,0,0,136835,33792,27901,0,5236,0,0
13 Imperial,C-IV,2017,2017/18,0,17266.5,0,41816.33333,3755,23942,402,27486,0,0,189376,33277,54792,0,9988,0,0
14 Inyo,C-IV,2017,2017/18,0,1015.083333,0,1940.916667,242,1033,33,254,0,0,18693,5837,3868,0,366,0,0
15 Kern,C-IV,2017,2017/18,0,68975.91667,0,159899.5,9898,107711,7829,46482,0,0,897727,141680,255195,0,30862,0,0
16 Kings,C-IV,2017,2017/18,0,10631.41667,0,24003,1385,15524,694,7192,0,0,150441,22007,45775,0,4586,0,0
17 Lake,C-IV,2017,2017/18,0,6418.583333,0,11937.16667,1386,5850,160,1285,0,0,65161,19552,13580,0,3576,0,0
18 Lassen,C-IV,2017,2017/18,0,1563.916667,0,3113.666667,239,1662,33,90,0,0,30652,7058,5289,0,905,0,0
19 Los Angeles,LRS,2017,2017/18,0,539484.9167,0,1081619.333,92270,660289,100834,473516,0,0,10288515,1987419,2295832,0,374280,0,0
20 Madera,C-IV,2017,2017/18,0,11497.75,0,28161.08333,1343,20086,1824,11372,0,0,157296,30181,42323,0,4467,0,0
21 Marin,C-IV,2017,2017/18,0,5969.25,0,9875,1655,5609,653,4837,0,0,264413,78078,52532,0,2720,0,0
22 Mariposa,C-IV,2017,2017/18,0,1016.333333,0,1853.25,289,853,12,52,0,0,18058,6658,2863,0,426,0,0
23 Mendocino,C-IV,2017,2017/18,0,6286.333333,0,11737.41667,1257,6338,356,2046,0,0,89329,25395,19116,0,3031,0,0
24 Merced,C-IV,2017,2017/18,0,23506.83333,0,54391.66667,3019,35812,3402,17605,0,0,275926,43155,79909,0,10549,0,0
25 Modoc,C-IV,2017,2017/18,0,550.6666667,0,1172.5,85,635,22,50,0,0,9431,3135,1781,0,410,0,0
26 Mono,C-IV,2017,2017/18,0,413.9166667,0,699.3333333,86,436,45,233,0,0,13827,2967,2836,0,97,0,0
27 Monterey,C-IV,2017,2017/18,0,21141.08333,0,46717.25,3814,38798,5509,31264,0,0,445408,83304,114577,0,7831,0,0
28 Napa,C-IV,2017,2017/18,0,3191.666667,0,6396.166667,764,4556,436,3345,0,0,142898,35591,29466,0,1970,0,0
29 Nevada,C-IV,2017,2017/18,0,4119.25,0,7131.916667,1062,3286,82,301,0,0,98847,34886,16217,0,1868,0,0
30 Orange,CalWIN,2017,2017/18,0,116210.6667,0,235735.3333,27116,155269,18851,128041,0,0,3201395,650820,723961,0,67526,0,0
31 Placer,CalWIN,2017,2017/18,0,8725.5,0,16343.91667,2158,8872,306,2218,0,0,380976,100816,77003,0,5003,0,0
32 Plumas,C-IV,2017,2017/18,0,1140.75,0,2064.25,220,958,21,68,0,0,19434,7402,3174,0,633,0,0
33 Riverside,C-IV,2017,2017/18,0,122659.1667,0,271076,22037,171534,14127,73416,0,0,2395487,477592,598978,0,58028,0,0
34 Sacramento,CalWIN,2017,2017/18,0,98310.41667,0,205982.8333,14387,117949,6306,57865,0,0,1524524,295548,362411,0,61582,0,0
35 San Benito,C-IV,2017,2017/18,0,2225.75,0,4954.666667,438,3471,226,1985,0,0,58519,11234,14439,0,874,0,0
36 San Bernardino,C-IV,2017,2017/18,0,166402.25,0,362853.5,27050,221655,16473,77611,0,0,2168360,360581,579729,0,66585,0,0
37 San Diego,CalWIN,2017,2017/18,0,134121.8333,0,269769.5,32622,157645,12305,118919,0,0,3327562,660989,787752,0,74300,0,0
38 San Francisco,CalWIN,2017,2017/18,0,33958.83333,0,50941.75,12059,21826,4140,28402,0,0,879517,193624,127629,0,35747,0,0
39 San Joaquin,C-IV,2017,2017/18,0,48347.33333,0,107330.5833,7391,68847,5910,26006,0,0,750002,132452,200170,0,26463,0,0
40 San Luis Obispo,CalWIN,2017,2017/18,0,9538.166667,0,16939.75,2112,9697,1170,3999,0,0,280822,78771,50028,0,3913,0,0
41 San Mateo,CalWIN,2017,2017/18,0,13596.41667,0,26110.41667,4460,17765,2917,14947,0,0,774974,177938,162564,0,9550,0,0
42 Santa Barbara,CalWIN,2017,2017/18,0,18752.33333,0,38107.16667,3231,28186,3288,20029,0,0,451688,91564,100702,0,7869,0,0
43 Santa Clara,CalWIN,2017,2017/18,0,47339.66667,0,92083.41667,12738,56241,7858,49720,0,0,1952286,379958,444642,0,40724,0,0
44 Santa Cruz,CalWIN,2017,2017/18,0,14471.58333,0,25965.5,3069,15000,1817,12220,0,0,278335,63450,58310,0,4625,0,0
45 Shasta,C-IV,2017,2017/18,0,12400.25,0,23247.58333,2103,12053,470,572,0,0,178359,48890,37586,0,9049,0,0
46 Sierra,C-IV,2017,2017/18,0,161,0,272.4166667,55,96,2,7,0,0,3138,1248,464,0,79,0,0
47 Siskiyou,C-IV,2017,2017/18,0,3096.083333,0,6418.75,621,3324,101,320,0,0,44325,14972,8609,0,2334,0,0
48 Solano,CalWIN,2017,2017/18,0,21073.41667,0,39571.75,3956,23191,1567,8436,0,0,439320,96492,100669,0,11067,0,0
49 Sonoma,CalWIN,2017,2017/18,0,17342.5,0,30682.41667,4435,18889,2728,12107,0,0,507323,135829,98139,0,8029,0,0
50 Stanislaus,C-IV,2017,2017/18,0,39581.33333,0,82744.08333,5863,50355,5035,20060,0,0,551712,99859,145609,0,19222,0,0
51 Sutter,C-IV,2017,2017/18,0,5495.416667,0,12581.66667,773,7883,526,2782,0,0,98992,20046,25083,0,3766,0,0
52 Tehama,C-IV,2017,2017/18,0,4271.666667,0,9219,733,5794,395,1513,0,0,64313,16080,15426,0,2945,0,0
53 Trinity,C-IV,2017,2017/18,0,971.25,0,1699.333333,212,699,25,17,0,0,13447,5064,2147,0,614,0,0
54 Tulare,CalWIN,2017,2017/18,0,51259.75,0,118686.75,7325,76238,6963,47053,0,0,473308,75894,144428,0,17521,0,0
55 Tuolumne,C-IV,2017,2017/18,0,2839.666667,0,4984.666667,727,2360,86,101,0,0,54193,19020,8650,0,1540,0,0
56 Ventura,CalWIN,2017,2017/18,0,35321.66667,0,70145.58333,7668,47074,7089,34039,0,0,858585,183314,197824,0,14726,0,0
57 Yolo,CalWIN,2017,2017/18,0,9994.5,0,19071.33333,1808,10777,1009,6293,0,0,220171,38002,49156,0,5077,0,0
58 Yuba,C-IV,2017,2017/18,0,5979.083333,0,12915.25,780,7501,483,1693,0,0,76904,13591,21502,0,3621,0,0
